side,entry_bar,exit_bar,entry_price,exit_price,pnl,reason,entry_dt,exit_dt,month
L,84,108,1702.41,1791.9,206.26662202407178,MH,2025-04-23 00:00:00,2025-04-24 00:00:00,2025-04
L,301,325,1858.69,1851.57,-19.322619694516284,MH,2025-05-02 01:00:00,2025-05-03 01:00:00,2025-05
L,456,480,1900.51,2213.19,654.0970371110914,MH,2025-05-08 12:00:00,2025-05-09 12:00:00,2025-05
L,590,614,2609.61,2612.49,0.4144527343160922,MH,2025-05-14 02:00:00,2025-05-15 02:00:00,2025-05
S,713,715,2392.4,2476.134,-143.9999999999999,SL,2025-05-19 05:00:00,2025-05-19 07:00:00,2025-05
L,959,969,2770.2,2673.243,-143.99999999999983,SL,2025-05-29 11:00:00,2025-05-29 21:00:00,2025-05
S,1145,1157,2397.53,2481.44355,-143.99999999999957,SL,2025-06-06 05:00:00,2025-06-06 17:00:00,2025-06
L,1245,1269,2698.39,2783.83,122.65330067188222,MH,2025-06-10 09:00:00,2025-06-11 09:00:00,2025-06
S,1502,1526,2417.86,2386.72,47.51663040870907,MH,2025-06-21 02:00:00,2025-06-22 02:00:00,2025-06
L,1789,1813,2559.78,2576.02,21.377180851479082,MH,2025-07-03 01:00:00,2025-07-04 01:00:00,2025-07
L,1953,1977,2659.0,2783.22,182.8672433245578,MH,2025-07-09 21:00:00,2025-07-10 21:00:00,2025-07
L,2065,2087,3052.04,2945.2185999999997,-144.00000000000037,SL,2025-07-14 13:00:00,2025-07-15 11:00:00,2025-07
L,2221,2245,3808.96,3768.62,-46.36326976392521,MH,2025-07-21 01:00:00,2025-07-22 01:00:00,2025-07
L,2395,2419,3863.11,3796.0,-73.48805496089952,MH,2025-07-28 07:00:00,2025-07-29 07:00:00,2025-07
S,2515,2539,3461.64,3392.42,75.98520932274852,MH,2025-08-02 07:00:00,2025-08-03 07:00:00,2025-08
L,2674,2698,3998.94,4195.48,192.5920969056795,MH,2025-08-08 22:00:00,2025-08-09 22:00:00,2025-08
L,2769,2793,4404.92,4670.01,236.7217384197671,MH,2025-08-12 21:00:00,2025-08-13 21:00:00,2025-08
S,2941,2963,4141.19,4286.131649999999,-143.99999999999977,SL,2025-08-20 01:00:00,2025-08-20 23:00:00,2025-08
