side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2024-04-19 15:00:00,2024-04-20 03:00:00,3102.43,3103.36,-2.800939908394012,MH,2024-04
L,2024-04-27 22:00:00,2024-04-28 10:00:00,3149.61,3309.03,198.4631621057846,MH,2024-04
L,2024-04-28 10:00:00,2024-04-28 22:00:00,3264.76,3313.55,55.77774782832424,MH,2024-04
S,2024-04-29 07:00:00,2024-04-29 19:00:00,3289.37,3158.24,155.45910615102602,MH,2024-04
S,2024-04-30 17:00:00,2024-05-01 05:00:00,3066.01,2985.95,100.44845254907897,MH,2024-05
L,2024-05-01 21:00:00,2024-05-02 09:00:00,2915.92,2905.0,-18.979834837718556,MH,2024-05
L,2024-05-02 18:00:00,2024-05-03 06:00:00,2945.0,2995.78,64.97113752122269,MH,2024-05
S,2024-05-03 15:00:00,2024-05-03 23:00:00,2980.71,3085.03485,-143.99999999999997,SL,2024-05
S,2024-05-06 21:00:00,2024-05-07 09:00:00,3101.83,3092.95,7.451304552474003,MH,2024-05
L,2024-05-07 17:00:00,2024-05-08 05:00:00,3118.05,3050.46,-90.7080386780201,MH,2024-05
L,2024-05-09 10:00:00,2024-05-09 22:00:00,2996.35,2985.95,-17.88355832930077,MH,2024-05
L,2024-05-10 07:00:00,2024-05-10 19:00:00,3053.48,3036.44,-26.322071865543528,MH,2024-05
S,2024-05-14 21:00:00,2024-05-15 09:00:00,2893.42,2884.83,7.875220327501912,MH,2024-05
L,2024-05-15 13:00:00,2024-05-16 01:00:00,2902.56,2982.25,105.82029656579029,MH,2024-05
L,2024-05-16 03:00:00,2024-05-16 15:00:00,3001.96,3015.06,13.45526256179284,MH,2024-05
L,2024-05-18 09:00:00,2024-05-18 21:00:00,3095.3,3107.09,11.2360029722482,MH,2024-05
S,2024-05-19 15:00:00,2024-05-20 03:00:00,3108.84,3063.67,54.11814052830004,MH,2024-05
L,2024-05-21 04:00:00,2024-05-21 16:00:00,3438.29,3661.55,255.73376300428436,MH,2024-05
S,2024-05-24 15:00:00,2024-05-25 03:00:00,3674.73,3745.28,-80.79475771009045,MH,2024-05
