side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
S,2025-04-20 19:00:00,2025-04-21 07:00:00,1573.8,1586.56,-36.43105858431819,MH,2025-04
L,2025-04-23 11:00:00,2025-04-23 23:00:00,1791.31,1793.7,1.3368763642252883,MH,2025-04
L,2025-04-25 18:00:00,2025-04-26 06:00:00,1787.43,1794.92,12.76149555507071,MH,2025-04
L,2025-04-27 04:00:00,2025-04-27 16:00:00,1812.22,1809.06,-10.974870600699875,MH,2025-04
S,2025-04-28 09:00:00,2025-04-28 21:00:00,1772.79,1783.2,-27.48839964124365,MH,2025-04
S,2025-05-08 01:00:00,2025-05-08 11:00:00,1810.9,1874.2815,-143.9999999999999,SL,2025-05
L,2025-05-08 11:00:00,2025-05-08 23:00:00,1840.86,2050.56,451.6565952869856,MH,2025-05
L,2025-05-08 23:00:00,2025-05-09 11:00:00,1988.51,2204.56,430.596758376875,MH,2025-05
L,2025-05-09 15:00:00,2025-05-10 03:00:00,2255.94,2330.69,128.53898596593882,MH,2025-05
L,2025-05-14 00:00:00,2025-05-14 12:00:00,2564.88,2673.4,165.23988646642334,MH,2025-05
S,2025-05-17 10:00:00,2025-05-17 22:00:00,2474.52,2481.42,-15.153678289122887,MH,2025-05
S,2025-05-20 19:00:00,2025-05-21 07:00:00,2514.98,2523.09,-16.89871092414274,MH,2025-05
L,2025-05-22 12:00:00,2025-05-23 00:00:00,2628.59,2644.99,20.956345417124215,MH,2025-05
L,2025-05-27 17:00:00,2025-05-28 05:00:00,2634.54,2662.16,37.93521449664821,MH,2025-05
L,2025-05-29 11:00:00,2025-05-29 21:00:00,2770.2,2673.243,-143.99999999999983,SL,2025-05
L,2025-06-03 10:00:00,2025-06-03 22:00:00,2644.94,2647.16,-0.642645957942638,MH,2025-06
S,2025-06-05 19:00:00,2025-06-06 07:00:00,2595.64,2412.9,277.610701021713,MH,2025-06
L,2025-06-07 15:00:00,2025-06-08 03:00:00,2500.41,2515.78,20.58796757331853,MH,2025-06
S,2025-06-09 14:00:00,2025-06-10 00:00:00,2479.51,2566.29285,-143.99999999999935,SL,2025-06
L,2025-06-10 06:00:00,2025-06-10 18:00:00,2642.58,2694.59,74.72609343898799,MH,2025-06
L,2025-06-12 00:00:00,2025-06-12 06:00:00,2864.0,2763.7599999999998,-144.0000000000003,SL,2025-06
S,2025-06-14 18:00:00,2025-06-15 06:00:00,2521.94,2524.92,-8.726520059953874,MH,2025-06
L,2025-06-16 16:00:00,2025-06-17 04:00:00,2627.72,2668.54,58.13751845706569,MH,2025-06
S,2025-06-17 19:00:00,2025-06-18 07:00:00,2556.03,2508.99,69.61415945822297,MH,2025-06
S,2025-06-20 01:00:00,2025-06-20 13:00:00,2487.02,2514.69,-48.50305988693307,MH,2025-06
L,2025-06-24 07:00:00,2025-06-24 19:00:00,2405.8,2408.3,0.15662149804638759,MH,2025-06
L,2025-06-28 16:00:00,2025-06-29 04:00:00,2430.55,2428.56,-7.2749789142379075,MH,2025-06
L,2025-06-29 20:00:00,2025-06-30 08:00:00,2460.81,2517.79,88.61990970452821,MH,2025-06
L,2025-07-03 04:00:00,2025-07-03 16:00:00,2603.64,2586.99,-29.579573212886714,MH,2025-07
S,2025-07-04 16:00:00,2025-07-05 04:00:00,2533.85,2489.3,66.32776210114999,MH,2025-07
L,2025-07-17 02:00:00,2025-07-17 14:00:00,3316.13,3441.11,146.75404160874274,MH,2025-07
L,2025-07-20 12:00:00,2025-07-21 00:00:00,3657.12,3808.95,162.0651004068775,MH,2025-07
S,2025-07-25 11:00:00,2025-07-25 18:00:00,3614.11,3740.60385,-143.9999999999998,SL,2025-07
L,2025-07-31 13:00:00,2025-08-01 01:00:00,3869.86,3774.17,-102.90797083098619,MH,2025-08
S,2025-08-02 04:00:00,2025-08-02 16:00:00,3517.57,3489.81,27.567246707244166,MH,2025-08
L,2025-08-05 01:00:00,2025-08-05 13:00:00,3683.06,3662.77,-26.03602439276033,MH,2025-08
L,2025-08-07 18:00:00,2025-08-08 06:00:00,3730.13,3915.13,194.38450670620057,MH,2025-08
L,2025-08-08 07:00:00,2025-08-08 19:00:00,3915.13,3916.29,-2.8148541683163986,MH,2025-08
L,2025-08-10 05:00:00,2025-08-10 17:00:00,4289.35,4223.99,-64.95095993565512,MH,2025-08
S,2025-08-11 19:00:00,2025-08-12 07:00:00,4235.27,4221.31,9.184519522958428,MH,2025-08
L,2025-08-13 02:00:00,2025-08-13 14:00:00,4498.55,4621.52,105.34189905636283,MH,2025-08
L,2025-08-20 17:00:00,2025-08-21 05:00:00,4236.96,4340.0,93.27729315358178,MH,2025-08
L,2025-08-25 02:00:00,2025-08-25 04:00:00,4903.28,4731.6651999999995,-144.00000000000023,SL,2025-08
S,2025-08-25 19:00:00,2025-08-26 07:00:00,4542.72,4374.25,144.34284305438175,MH,2025-08
L,2025-08-31 12:00:00,2025-09-01 00:00:00,4485.75,4468.78,-19.13236359583147,MH,2025-09
L,2025-09-02 12:00:00,2025-09-03 00:00:00,4365.23,4294.18,-69.10538963582609,MH,2025-09
L,2025-09-11 10:00:00,2025-09-11 22:00:00,4363.69,4425.01,52.209309093909624,MH,2025-09
L,2025-09-12 09:00:00,2025-09-12 21:00:00,4510.82,4537.98,20.084312830039643,MH,2025-09
L,2025-09-13 04:00:00,2025-09-13 16:00:00,4656.0,4728.0,57.855670103092784,MH,2025-09
L,2025-09-17 07:00:00,2025-09-17 19:00:00,4517.9,4489.22,-29.392328294118403,MH,2025-09
S,2025-09-22 11:00:00,2025-09-22 23:00:00,4286.02,4165.82,108.17866458859335,MH,2025-09
S,2025-09-26 19:00:00,2025-09-27 01:00:00,3886.42,4022.4446999999996,-143.99999999999946,SL,2025-09
L,2025-09-27 02:00:00,2025-09-27 14:00:00,4042.26,4017.18,-28.817799943596285,MH,2025-09
S,2025-10-04 10:00:00,2025-10-04 22:00:00,4478.27,4468.26,4.94095264465985,MH,2025-10
L,2025-10-07 02:00:00,2025-10-07 14:00:00,4694.3,4667.48,-26.853247555546613,MH,2025-10
L,2025-10-08 19:00:00,2025-10-09 07:00:00,4497.69,4523.67,19.105193999586877,MH,2025-10
