side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason
S,2024-05-01 17:00:00,2024-05-02 02:00:00,2861.67,2961.82845,-143.99999999999986,SL
L,2024-05-21 04:00:00,2024-05-23 04:00:00,3438.29,3751.27,360.1112297101175,MH
S,2024-07-04 10:00:00,2024-07-06 10:00:00,3209.31,2979.29,282.6909086376822,MH
S,2024-08-05 02:00:00,2024-08-07 02:00:00,2698.99,2498.71,292.8221445800092,MH
L,2024-10-21 07:00:00,2024-10-22 08:00:00,2747.27,2651.11555,-144.0,SL
L,2024-11-07 10:00:00,2024-11-09 10:00:00,2815.3,2975.57,223.71285475792982,MH
L,2024-12-02 00:00:00,2024-12-02 16:00:00,3730.99,3600.4053499999995,-144.00000000000026,SL
S,2025-01-13 20:00:00,2025-01-14 10:00:00,3056.81,3163.7983499999996,-143.99999999999952,SL
S,2025-02-03 07:00:00,2025-02-05 07:00:00,2874.41,2730.03,196.91775355638154,MH
S,2025-03-04 10:00:00,2025-03-04 22:00:00,2055.65,2127.59775,-143.99999999999963,SL
S,2025-04-06 22:00:00,2025-04-08 22:00:00,1747.56,1530.34,493.19609054910853,MH
