side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason
L,2025-04-19 13:00:00,2025-04-20 01:00:00,1602.84,1618.03,33.90771380799095,MH
L,2025-04-20 02:00:00,2025-04-20 14:00:00,1618.03,1604.78,-36.75588215298851,MH
S,2025-04-20 15:00:00,2025-04-21 03:00:00,1604.78,1585.34,44.455239970588,MH
L,2025-04-21 04:00:00,2025-04-21 16:00:00,1585.34,1648.57,155.53675552247472,MH
S,2025-04-22 03:00:00,2025-04-22 15:00:00,1566.81,1621.6483499999997,-143.9999999999994,SL
L,2025-04-22 16:00:00,2025-04-23 04:00:00,1618.6,1694.52,183.61892993945403,MH
L,2025-04-23 06:00:00,2025-04-23 18:00:00,1753.65,1802.96,108.47398283579948,MH
S,2025-04-24 12:00:00,2025-04-25 00:00:00,1767.29,1769.38,-8.73040644150116,MH
L,2025-04-25 09:00:00,2025-04-25 21:00:00,1773.29,1768.11,-15.684496049715644,MH
L,2025-04-25 23:00:00,2025-04-26 11:00:00,1807.59,1796.51,-28.518834470206027,MH
S,2025-04-26 20:00:00,2025-04-27 08:00:00,1784.73,1847.19555,-143.99999999999977,SL
S,2025-04-28 09:00:00,2025-04-28 21:00:00,1772.79,1783.2,-27.48839964124365,MH
S,2025-04-28 22:00:00,2025-04-29 10:00:00,1783.21,1793.91,-28.001659927882965,MH
L,2025-04-29 15:00:00,2025-04-30 03:00:00,1820.37,1820.92,-2.791454484527471,MH
S,2025-04-30 06:00:00,2025-04-30 18:00:00,1799.25,1806.6,-20.340141725718848,MH
L,2025-04-30 20:00:00,2025-04-30 21:00:00,1814.79,1751.27235,-144.0,SL
S,2025-04-30 21:00:00,2025-05-01 09:00:00,1774.28,1809.22,-82.76997993552328,MH
L,2025-05-01 10:00:00,2025-05-01 22:00:00,1809.23,1847.63,80.8979952797601,MH
S,2025-05-02 14:00:00,2025-05-03 02:00:00,1831.06,1848.2,-41.442792699311006,MH
L,2025-05-03 02:00:00,2025-05-03 14:00:00,1851.57,1826.46,-58.24585621931636,MH
S,2025-05-03 17:00:00,2025-05-04 05:00:00,1824.64,1840.28,-38.28621536303024,MH
L,2025-05-04 06:00:00,2025-05-04 18:00:00,1840.29,1826.36,-34.277836645311474,MH
L,2025-05-05 05:00:00,2025-05-05 17:00:00,1835.41,1822.77,-31.546978604235782,MH
L,2025-05-06 03:00:00,2025-05-06 15:00:00,1821.95,1805.0,-41.212876313839665,MH
S,2025-05-06 19:00:00,2025-05-07 07:00:00,1784.21,1816.22,-75.76285302739025,MH
L,2025-05-07 07:00:00,2025-05-07 19:00:00,1810.24,1835.48,51.771610394201886,MH
S,2025-05-08 01:00:00,2025-05-08 11:00:00,1810.9,1874.2815,-143.9999999999999,SL
L,2025-05-08 12:00:00,2025-05-09 00:00:00,1900.51,2049.8,310.2103961568215,MH
L,2025-05-09 00:00:00,2025-05-09 12:00:00,2050.56,2213.19,313.2401685393261,MH
L,2025-05-09 15:00:00,2025-05-10 03:00:00,2255.94,2330.69,128.53898596593882,MH
L,2025-05-10 16:00:00,2025-05-11 04:00:00,2399.2,2489.84,147.11703901300487,MH
L,2025-05-11 06:00:00,2025-05-11 18:00:00,2532.65,2509.5,-40.56249383057286,MH
L,2025-05-12 09:00:00,2025-05-12 21:00:00,2530.2,2556.99,38.35238321081332,MH
S,2025-05-12 23:00:00,2025-05-13 11:00:00,2504.93,2424.07,125.12137265312754,MH
L,2025-05-13 20:00:00,2025-05-14 08:00:00,2512.25,2694.93,286.8627724151654,MH
S,2025-05-14 11:00:00,2025-05-14 23:00:00,2637.17,2596.28,58.0210301194081,MH
L,2025-05-15 09:00:00,2025-05-15 15:00:00,2630.94,2538.8571,-143.9999999999998,SL
S,2025-05-15 16:00:00,2025-05-16 04:00:00,2529.59,2535.83,-13.867211682525282,MH
L,2025-05-16 19:00:00,2025-05-17 06:00:00,2624.05,2532.20825,-144.00000000000006,SL
S,2025-05-17 06:00:00,2025-05-17 18:00:00,2566.24,2484.81,122.92499532389776,MH
S,2025-05-17 22:00:00,2025-05-18 10:00:00,2460.46,2480.09,-35.91273176560498,MH
