long_entry,long_exit,short_entry,short_exit,total_pnl,long_pnl,short_pnl,trades,win_rate,profit_factor,max_drawdown
m5_rsi_recover,fixed_2atr,h1_close,ema9_1h,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,ema9_1h,h1_close,ema9_1h,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,atr_trail,h1_close,ema9_1h,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_first_reversal,atr_trail,h1_close,ema9_1h,35.53,44.74,-9.21,6,66.7,3.68,-3.26
m5_first_reversal,ema9_1h,h1_close,ema9_1h,35.53,44.74,-9.21,6,66.7,3.68,-3.26
m5_first_reversal,fixed_2atr,h1_close,ema9_1h,35.53,44.74,-9.21,6,66.7,3.68,-3.26
m5_engulf,fixed_2atr,h1_close,ema9_1h,32.25,41.46,-9.21,6,66.7,3.43,-3.26
m5_engulf,ema9_1h,h1_close,ema9_1h,32.25,41.46,-9.21,6,66.7,3.43,-3.26
m5_engulf,atr_trail,h1_close,ema9_1h,32.25,41.46,-9.21,6,66.7,3.43,-3.26
m5_ema9_cross,fixed_2atr,h1_close,ema9_1h,29.64,38.86,-9.21,6,66.7,3.23,-3.26
m5_ema9_cross,atr_trail,h1_close,ema9_1h,29.64,38.86,-9.21,6,66.7,3.23,-3.26
m5_ema9_cross,ema9_1h,h1_close,ema9_1h,29.64,38.86,-9.21,6,66.7,3.23,-3.26
h1_close,ema9_1h,h1_close,ema9_1h,28.73,37.95,-9.21,6,66.7,3.16,-3.26
m5_next_open,fixed_2atr,h1_close,ema9_1h,28.73,37.95,-9.21,6,66.7,3.16,-3.26
m5_next_open,ema9_1h,h1_close,ema9_1h,28.73,37.95,-9.21,6,66.7,3.16,-3.26
m5_next_open,atr_trail,h1_close,ema9_1h,28.73,37.95,-9.21,6,66.7,3.16,-3.26
h1_close,fixed_2atr,h1_close,ema9_1h,28.73,37.95,-9.21,6,66.7,3.16,-3.26
h1_close,atr_trail,h1_close,ema9_1h,28.73,37.95,-9.21,6,66.7,3.16,-3.26
