long_entry,long_exit,short_entry,short_exit,total_pnl,long_pnl,short_pnl,trades,long_trades,short_trades,win_rate,profit_factor,max_drawdown
m5_first_reversal,atr_trail,h1_close,ema9_1h,17098.29,11876.21,5222.08,601,323,278,90.3,25.33,-263.04
h1_close,atr_trail,h1_close,ema9_1h,17071.27,11849.19,5222.08,601,323,278,90.3,26.04,-260.41
m5_first_reversal,ema9_1h,h1_close,ema9_1h,17062.41,11840.32,5222.08,601,323,278,90.3,25.28,-263.04
h1_close,ema9_1h,h1_close,ema9_1h,17048.16,11826.07,5222.08,601,323,278,90.3,26.0,-260.41
m5_next_open,atr_trail,h1_close,ema9_1h,17029.89,11807.8,5222.08,601,323,278,90.5,25.44,-262.75
m5_next_open,ema9_1h,h1_close,ema9_1h,17019.12,11797.04,5222.08,601,323,278,90.5,25.42,-262.75
m5_first_reversal,fixed_2atr,h1_close,ema9_1h,16977.13,11755.04,5222.08,601,323,278,90.3,25.15,-263.04
m5_next_open,fixed_2atr,h1_close,ema9_1h,16953.57,11731.49,5222.08,601,323,278,90.5,25.33,-262.75
h1_close,fixed_2atr,h1_close,ema9_1h,16952.49,11730.41,5222.08,601,323,278,90.3,25.86,-260.41
m5_engulf,atr_trail,h1_close,ema9_1h,16671.31,11449.23,5222.08,593,315,278,90.2,24.66,-272.38
m5_engulf,ema9_1h,h1_close,ema9_1h,16641.09,11419.01,5222.08,593,315,278,90.2,24.61,-272.38
m5_engulf,fixed_2atr,h1_close,ema9_1h,16531.31,11309.22,5222.08,593,315,278,90.2,24.46,-272.38
m5_ema9_cross,atr_trail,h1_close,ema9_1h,14905.29,9683.21,5222.08,553,275,278,89.0,22.43,-266.39
m5_ema9_cross,ema9_1h,h1_close,ema9_1h,14854.86,9632.78,5222.08,553,275,278,89.0,22.35,-266.39
m5_ema9_cross,fixed_2atr,h1_close,ema9_1h,14805.31,9583.23,5222.08,553,275,278,89.0,22.28,-266.39
m5_rsi_recover,atr_trail,h1_close,ema9_1h,10739.93,5517.85,5222.08,433,155,278,89.8,38.7,-73.44
m5_rsi_recover,fixed_2atr,h1_close,ema9_1h,10720.93,5498.85,5222.08,433,155,278,89.8,38.63,-73.44
m5_rsi_recover,ema9_1h,h1_close,ema9_1h,10706.64,5484.56,5222.08,433,155,278,89.8,38.58,-73.44
