long_entry,long_exit,short_entry,short_exit,total_pnl,long_pnl,short_pnl,trades,long_trades,short_trades,win_rate,profit_factor,max_drawdown
m5_rsi_recover,fixed_2atr,m5_ema9_cross,atr_trail,629.45,-119.24,748.69,392,155,237,55.9,1.22,-460.3
m5_rsi_recover,fixed_2atr,m5_ema9_cross,fixed_2atr,403.72,-119.24,522.96,392,155,237,55.9,1.14,-470.74
m5_rsi_recover,fixed_2atr,m5_engulf,atr_trail,391.93,-119.24,511.18,421,155,266,53.7,1.12,-448.08
m5_rsi_recover,fixed_2atr,m5_engulf,fixed_2atr,350.72,-119.24,469.97,421,155,266,53.9,1.11,-451.95
m5_rsi_recover,fixed_2atr,m5_next_open,atr_trail,308.63,-119.24,427.87,432,155,277,54.6,1.09,-462.13
m5_rsi_recover,fixed_2atr,m5_rsi_recover,atr_trail,296.89,-119.24,416.13,335,155,180,56.1,1.11,-565.52
m5_rsi_recover,fixed_2atr,m5_next_open,fixed_2atr,287.82,-119.24,407.06,432,155,277,54.6,1.09,-474.84
m5_rsi_recover,fixed_2atr,h1_close,fixed_2atr,273.06,-119.24,392.31,432,155,277,53.0,1.08,-541.17
m5_rsi_recover,fixed_2atr,m5_first_reversal,fixed_2atr,233.58,-119.24,352.82,432,155,277,52.3,1.07,-519.36
m5_rsi_recover,fixed_2atr,m5_rsi_recover,fixed_2atr,226.95,-119.24,346.19,335,155,180,56.1,1.09,-580.42
m5_rsi_recover,fixed_2atr,h1_close,atr_trail,195.64,-119.24,314.88,432,155,277,52.8,1.06,-531.37
m5_rsi_recover,fixed_2atr,m5_first_reversal,atr_trail,157.99,-119.24,277.23,432,155,277,52.1,1.05,-510.71
m5_rsi_recover,fixed_2atr,m5_ema9_cross,ema9_1h,130.54,-119.24,249.78,392,155,237,61.0,1.05,-443.1
m5_rsi_recover,fixed_2atr,m5_engulf,ema9_1h,56.57,-119.24,175.82,422,155,267,60.7,1.02,-435.99
m5_rsi_recover,fixed_2atr,m5_rsi_recover,ema9_1h,-24.54,-119.24,94.7,335,155,180,61.8,0.99,-532.97
m5_rsi_recover,fixed_2atr,m5_next_open,ema9_1h,-102.45,-119.24,16.79,432,155,277,61.1,0.97,-494.4
m5_rsi_recover,fixed_2atr,h1_close,ema9_1h,-170.96,-119.24,-51.72,433,155,278,60.7,0.95,-532.41
m5_rsi_recover,fixed_2atr,m5_first_reversal,ema9_1h,-175.72,-119.24,-56.48,433,155,278,59.8,0.95,-531.89
