side,signal,sl,exit,is_pnl,is_pf,oos_pnl_avg,oos_pf_avg,oos_wr_avg,oos_max_dd,all_oos_positive,degradation_pct,oos_pnl_w1,oos_pnl_w2,oos_pnl_w3
short,bb_squeeze_dn,atr_1.5,atr_trail_2.5,-119.63,0.42,61.12,144889817354.95,55.5,-24.04,False,34773556165088.0,-3.2,43.47,143.09
short,bb_squeeze_dn,atr_2.0,atr_trail_2.5,-175.4,0.32,57.03,144889817354.35,55.5,-31.39,False,44811283717741.2,-8.11,43.47,135.74
short,bb_squeeze_dn,pct_1.5,atr_trail_2.5,-159.3,0.34,53.37,144889817354.25,55.5,-31.98,False,43036579412054.4,-18.49,43.47,135.14
short,bb_squeeze_dn,atr_2.5,atr_trail_2.5,-62.31,0.73,52.95,144889817353.98,55.5,-38.74,False,19757702366352.3,-13.01,43.47,128.39
short,bb_squeeze_dn,atr_1.5,atr_trail_1.5,-142.2,0.3,38.6,143250001020.65,61.1,-23.91,False,48286517197871.9,-14.24,42.98,87.05
long,vol_spike_up,atr_2.0,atr_trail_2.5,-879.14,0.77,175.17,2.73,52.8,-187.66,False,252.6,-102.42,376.45,251.48
long,vol_spike_up,atr_2.0,fixed_3atr,-1077.84,0.72,154.31,2.11,51.0,-168.28,False,192.2,-142.07,342.59,262.42
long,vol_spike_up,atr_2.0,atr_trail_1.5,-937.24,0.76,157.76,2.01,58.3,-170.37,False,164.0,-69.82,351.52,191.58
long,ema_cross_up,atr_2.5,ema9_trail,-456.14,0.83,-47.68,1.2,42.9,-235.18,False,44.0,-162.05,-135.1,154.1
long,stoch_cross_up,atr_2.0,fixed_3atr,881.92,1.31,-206.6,0.55,35.6,-363.76,False,-57.9,-329.61,-138.52,-151.68
