side,signal,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,donchian_low,938.25,233,51.9,1.45,-271.42,4.03,0,233,0.0,938.25
short,vol_spike_dn,707.4,276,48.6,1.29,-488.87,2.56,0,276,0.0,707.4
short,bb_squeeze_dn,25.24,17,35.3,1.19,-99.1,1.48,0,17,0.0,25.24
long,ema_macd_up,61.16,68,47.1,1.11,-127.44,0.9,68,0,61.16,0.0
long,vol_spike_up,70.36,220,47.7,1.04,-591.72,0.32,220,0,70.36,0.0
short,bb_upper,-15.38,265,42.3,0.99,-389.59,-0.06,0,265,0.0,-15.38
short,stoch_cross_dn,-31.92,220,46.4,0.98,-332.31,-0.15,0,220,0.0,-31.92
short,momentum_dn,-14.72,67,43.3,0.97,-131.85,-0.22,0,67,0.0,-14.72
long,momentum_up,-29.93,54,48.1,0.94,-185.43,-0.55,54,0,-29.93,0.0
long,rsi30_vol,-37.02,39,51.3,0.93,-348.48,-0.95,39,0,-37.02,0.0
short,stoch_bb_dn,-244.31,275,43.3,0.91,-556.3,-0.89,0,275,0.0,-244.31
long,stoch_cross_up,-206.92,220,48.6,0.91,-728.38,-0.94,220,0,-206.92,0.0
short,shooting_star,-714.99,486,44.0,0.84,-1178.74,-1.47,0,486,0.0,-714.99
long,ema_cross_up,-196.82,108,43.5,0.83,-497.15,-1.82,108,0,-196.82,0.0
long,stoch_bb_up,-490.57,268,48.1,0.82,-989.14,-1.83,268,0,-490.57,0.0
short,macd_cross_dn,-333.09,191,41.4,0.82,-510.33,-1.74,0,191,0.0,-333.09
short,rsi70_vol,-61.2,30,30.0,0.81,-179.52,-2.04,0,30,0.0,-61.2
long,macd_cross_up,-405.06,192,45.3,0.81,-506.51,-2.11,192,0,-405.06,0.0
short,ema_cross_dn,-215.57,109,43.1,0.81,-380.27,-1.98,0,109,0.0,-215.57
long,hammer,-1794.97,467,41.1,0.67,-1809.44,-3.84,467,0,-1794.97,0.0
short,ema_macd_dn,-313.08,77,41.6,0.65,-349.35,-4.07,0,77,0.0,-313.08
short,rsi_70,-657.99,186,38.7,0.62,-862.91,-3.54,0,186,0.0,-657.99
long,donchian_high,-903.28,218,39.9,0.61,-1006.73,-4.14,218,0,-903.28,0.0
long,bb_lower,-1544.14,315,38.7,0.59,-1607.24,-4.9,315,0,-1544.14,0.0
long,rsi_30,-1492.08,226,40.3,0.54,-1543.21,-6.6,226,0,-1492.08,0.0
long,bb_squeeze_up,-80.79,13,38.5,0.36,-118.36,-6.21,13,0,-80.79,0.0
short,supertrend_dn,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
long,supertrend_up,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
