side,signal,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,bb_squeeze_dn,atr_1.5,atr_trail_2.5,122.73,17,29.4,2.2,-76.53,7.22,0,17,0.0,122.73
short,bb_squeeze_dn,atr_2.5,atr_trail_2.5,147.3,17,35.3,2.18,-84.77,8.66,0,17,0.0,147.3
short,bb_squeeze_dn,pct_1.5,atr_trail_2.5,93.53,17,29.4,1.71,-97.79,5.5,0,17,0.0,93.53
short,bb_squeeze_dn,atr_2.0,atr_trail_2.5,92.81,17,29.4,1.7,-99.1,5.46,0,17,0.0,92.81
short,bb_squeeze_dn,atr_1.5,atr_trail_1.5,55.17,17,35.3,1.54,-76.53,3.25,0,17,0.0,55.17
short,donchian_low,atr_2.0,atr_trail_1.5,938.25,233,51.9,1.45,-271.42,4.03,0,233,0.0,938.25
short,donchian_low,atr_2.5,atr_trail_1.5,975.67,233,54.9,1.45,-371.69,4.19,0,233,0.0,975.67
short,donchian_low,atr_1.5,atr_trail_1.5,859.75,234,47.0,1.42,-290.14,3.67,0,234,0.0,859.75
short,donchian_low,atr_2.0,atr_trail_2.5,804.62,212,44.8,1.41,-449.46,3.8,0,212,0.0,804.62
short,donchian_low,atr_1.5,atr_trail_2.5,786.03,214,40.2,1.41,-444.0,3.67,0,214,0.0,786.03
short,donchian_low,atr_2.5,fixed_3atr,858.35,231,48.1,1.4,-412.45,3.72,0,231,0.0,858.35
short,donchian_low,atr_2.5,atr_trail_2.5,808.95,211,47.4,1.39,-469.7,3.83,0,211,0.0,808.95
short,donchian_low,atr_2.0,fixed_3atr,799.35,231,45.0,1.39,-335.96,3.46,0,231,0.0,799.35
short,bb_squeeze_dn,atr_2.5,atr_trail_1.5,47.41,17,41.2,1.38,-84.77,2.79,0,17,0.0,47.41
long,momentum_up,atr_1.5,fixed_3atr,137.46,54,40.7,1.36,-118.89,2.55,54,0,137.46,0.0
short,bb_squeeze_dn,atr_2.5,fixed_3atr,43.58,17,35.3,1.35,-84.77,2.56,0,17,0.0,43.58
short,donchian_low,pct_1.5,atr_trail_1.5,752.46,233,50.2,1.35,-287.37,3.23,0,233,0.0,752.46
short,donchian_low,atr_1.5,fixed_3atr,658.68,232,40.5,1.33,-323.42,2.84,0,232,0.0,658.68
short,bb_squeeze_dn,atr_1.5,ema9_trail,30.16,17,35.3,1.3,-76.53,1.77,0,17,0.0,30.16
short,bb_squeeze_dn,pct_1.5,atr_trail_1.5,39.26,17,41.2,1.3,-84.48,2.31,0,17,0.0,39.26
short,donchian_low,pct_1.5,atr_trail_2.5,640.46,216,42.1,1.3,-447.49,2.97,0,216,0.0,640.46
long,momentum_up,atr_1.5,atr_trail_2.5,110.06,54,42.6,1.29,-146.66,2.04,54,0,110.06,0.0
short,stoch_cross_dn,atr_2.5,ema9_trail,538.24,216,55.6,1.29,-430.35,2.49,0,216,0.0,538.24
short,vol_spike_dn,atr_2.0,atr_trail_1.5,707.4,276,48.6,1.29,-488.87,2.56,0,276,0.0,707.4
short,bb_squeeze_dn,atr_1.5,fixed_3atr,28.59,17,29.4,1.28,-76.53,1.68,0,17,0.0,28.59
short,donchian_low,pct_1.5,fixed_3atr,523.76,232,43.1,1.24,-317.59,2.26,0,232,0.0,523.76
