side,filter,entry,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl
short,ema_macd,momentum,333.45,165,50.9,1.3,-224.77,2.02
short,ema_macd,donchian,1644.53,559,54.9,1.3,-1001.63,2.94
short,ema_macd,donchian_ema,1568.68,557,54.9,1.28,-955.09,2.82
short,ema_macd,vol_spike,1582.0,673,54.8,1.25,-781.69,2.35
short,macd_trend,donchian_ema,1715.67,754,51.5,1.25,-910.67,2.28
short,macd_trend,donchian,1699.58,765,51.1,1.25,-914.77,2.22
short,ema_macd,donchian_vol,1147.11,502,55.0,1.24,-760.38,2.29
short,macd_trend,donchian_vol,1355.96,676,52.1,1.23,-745.33,2.01
short,macd_trend,vol_spike,1718.16,896,52.1,1.22,-994.82,1.92
short,ema_trend,donchian_vol,978.34,590,55.8,1.17,-897.24,1.66
short,no_filter,donchian_ema,1570.61,939,56.2,1.16,-1242.48,1.67
short,no_filter,donchian,1530.53,959,55.8,1.16,-1303.87,1.6
short,ema_trend,vol_spike,1100.8,778,55.1,1.14,-1021.16,1.41
short,no_filter,donchian_vol,1197.99,872,54.0,1.14,-962.3,1.37
short,ema_trend,donchian,989.37,633,56.4,1.14,-1043.14,1.56
short,ema_trend,donchian_ema,903.67,628,56.2,1.13,-1042.19,1.44
short,price_ema,donchian,1009.92,817,55.0,1.12,-1224.9,1.24
short,price_ema,donchian_ema,893.94,813,54.9,1.11,-1235.85,1.1
short,no_filter,vol_spike,919.04,1243,51.6,1.07,-1441.48,0.74
long,ema_trend,momentum,136.78,239,45.6,1.06,-487.34,0.57
short,price_ema,donchian_vol,446.38,763,51.5,1.06,-1285.89,0.59
short,macd_trend,ema_cross,287.35,501,49.7,1.06,-776.89,0.57
short,ema_trend,momentum,92.34,255,50.6,1.04,-424.12,0.36
short,ema_macd,ema_cross,122.78,335,52.2,1.04,-812.52,0.37
long,ema_macd,momentum,53.32,153,42.5,1.03,-442.22,0.35
short,macd_trend,momentum,70.94,271,46.1,1.03,-480.94,0.26
short,price_ema,vol_spike,-31.58,908,50.7,1.0,-1404.49,-0.03
long,macd_trend,donchian_ema,-89.23,664,49.7,0.99,-744.41,-0.13
long,macd_trend,donchian,-51.86,667,49.5,0.99,-731.83,-0.08
short,price_ema,momentum,-24.39,279,49.8,0.99,-633.56,-0.09
long,price_ema,momentum,-47.31,268,44.4,0.98,-663.31,-0.18
short,no_filter,ema_cross,-199.24,859,50.3,0.98,-1140.73,-0.23
long,ema_macd,donchian_ema,-230.99,502,47.2,0.95,-832.67,-0.46
long,macd_trend,vol_spike,-413.02,806,48.1,0.95,-928.23,-0.51
long,macd_trend,momentum,-137.97,255,44.7,0.95,-774.41,-0.54
long,ema_macd,donchian,-282.48,507,46.7,0.94,-911.71,-0.56
long,no_filter,momentum,-390.98,499,46.5,0.93,-1152.86,-0.78
long,macd_trend,ema_cross,-366.19,504,46.8,0.93,-840.3,-0.73
short,price_ema,ema_cross,-485.3,502,51.4,0.92,-1069.43,-0.97
long,macd_trend,donchian_vol,-449.93,579,46.8,0.92,-1072.92,-0.78
long,no_filter,vol_spike,-1074.72,1160,48.1,0.92,-2226.02,-0.93
short,no_filter,momentum,-422.09,523,45.1,0.91,-927.19,-0.81
long,ema_macd,donchian_vol,-366.74,460,44.8,0.91,-1025.23,-0.8
long,ema_macd,vol_spike,-592.14,631,45.2,0.9,-1176.94,-0.94
short,ema_trend,ema_cross,-538.56,464,52.8,0.9,-1082.32,-1.16
long,price_ema,donchian_vol,-689.91,663,46.6,0.89,-1180.29,-1.04
long,ema_trend,vol_spike,-851.7,731,46.9,0.88,-1771.2,-1.17
long,ema_macd,ema_cross,-433.79,335,45.7,0.88,-840.55,-1.29
long,no_filter,ema_cross,-1130.01,815,47.4,0.88,-1767.65,-1.39
long,price_ema,donchian_ema,-996.27,726,45.6,0.87,-1499.86,-1.37
long,price_ema,vol_spike,-1084.05,806,45.8,0.87,-2016.86,-1.34
long,price_ema,donchian,-1074.22,732,45.5,0.86,-1583.22,-1.47
long,ema_trend,ema_cross,-741.23,442,45.7,0.85,-1292.13,-1.68
long,no_filter,donchian_vol,-1351.71,765,47.7,0.84,-1780.45,-1.77
long,ema_trend,donchian_ema,-981.8,584,45.9,0.84,-1430.61,-1.68
long,ema_trend,donchian_vol,-863.77,535,45.2,0.83,-1379.63,-1.61
long,price_ema,ema_cross,-965.41,486,44.9,0.83,-1417.47,-1.99
long,ema_trend,donchian,-1052.51,589,45.7,0.83,-1484.83,-1.79
long,no_filter,donchian_ema,-1863.93,851,48.3,0.82,-2410.08,-2.19
long,no_filter,donchian,-2123.36,883,47.7,0.8,-2682.11,-2.4
