side,filter,entry,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl
short,ema_macd,momentum,atr_2.0,ema9_trail,592.43,169,66.3,1.54,-238.77,3.51
short,ema_macd,momentum,atr_2.0,atr_trail_2.5,550.24,163,44.8,1.49,-268.34,3.38
short,ema_macd,momentum,atr_1.5,ema9_trail,470.46,169,62.1,1.46,-146.45,2.78
short,ema_macd,vol_spike,atr_1.5,atr_trail_2.5,2040.94,591,40.6,1.41,-747.07,3.45
short,ema_macd,vol_spike,atr_2.0,atr_trail_2.5,1997.79,533,45.0,1.4,-854.28,3.75
short,ema_macd,donchian,atr_2.5,atr_trail_2.5,1848.69,420,47.9,1.39,-1009.03,4.4
short,ema_macd,donchian,atr_2.0,atr_trail_2.5,1787.61,447,45.2,1.38,-835.69,4.0
short,ema_macd,momentum,atr_2.0,fixed_3atr,423.05,166,45.2,1.38,-205.22,2.55
short,ema_macd,donchian_ema,atr_2.0,atr_trail_2.5,1756.63,445,45.2,1.37,-831.34,3.95
short,ema_macd,donchian,atr_1.5,atr_trail_2.5,1784.19,500,40.8,1.37,-682.57,3.57
short,ema_macd,donchian_ema,atr_2.5,atr_trail_2.5,1782.04,418,47.6,1.37,-1003.58,4.26
short,ema_macd,momentum,atr_2.5,ema9_trail,458.71,169,68.6,1.36,-347.82,2.71
short,ema_macd,donchian_ema,atr_1.5,atr_trail_2.5,1720.2,496,40.7,1.36,-679.3,3.47
short,ema_macd,momentum,atr_1.5,atr_trail_2.5,368.46,164,41.5,1.36,-169.56,2.25
short,macd_trend,donchian_ema,atr_2.0,atr_trail_2.5,1890.21,605,40.8,1.34,-913.9,3.12
short,ema_macd,momentum,atr_2.5,atr_trail_2.5,436.13,163,45.4,1.34,-372.09,2.68
short,macd_trend,donchian_ema,atr_2.5,atr_trail_2.5,1820.61,564,42.7,1.33,-1066.78,3.23
short,ema_macd,momentum,atr_1.5,fixed_3atr,334.53,166,41.0,1.32,-132.73,2.02
short,ema_macd,momentum,atr_2.0,atr_trail_1.5,333.45,165,50.9,1.3,-224.77,2.02
short,ema_macd,donchian,atr_2.0,atr_trail_1.5,1644.53,559,54.9,1.3,-1001.63,2.94
short,ema_macd,vol_spike,atr_1.5,atr_trail_1.5,1784.29,740,50.1,1.29,-687.18,2.41
short,ema_macd,vol_spike,atr_2.5,atr_trail_2.5,1568.61,512,46.9,1.29,-1086.24,3.06
short,ema_macd,donchian,atr_2.5,atr_trail_1.5,1578.06,531,58.0,1.28,-1104.92,2.97
short,ema_macd,donchian_ema,atr_2.0,atr_trail_1.5,1568.68,557,54.9,1.28,-955.09,2.82
short,ema_macd,donchian_ema,atr_2.5,atr_trail_1.5,1582.64,529,58.2,1.28,-1047.15,2.99
short,macd_trend,donchian_ema,atr_1.5,atr_trail_2.5,1556.78,696,35.8,1.26,-732.52,2.24
short,ema_macd,momentum,atr_1.5,atr_trail_1.5,267.08,165,46.7,1.26,-167.69,1.62
short,ema_macd,vol_spike,atr_2.0,atr_trail_1.5,1582.0,673,54.8,1.25,-781.69,2.35
short,macd_trend,donchian_ema,atr_2.0,atr_trail_1.5,1715.67,754,51.5,1.25,-910.67,2.28
short,ema_macd,donchian,atr_2.0,fixed_3atr,1402.56,590,46.6,1.24,-980.24,2.38
short,ema_macd,donchian,atr_1.5,atr_trail_1.5,1282.91,627,49.0,1.22,-834.7,2.05
short,ema_macd,momentum,atr_2.5,fixed_3atr,283.74,166,45.8,1.22,-255.48,1.71
short,ema_macd,donchian_ema,atr_2.0,fixed_3atr,1216.89,590,46.4,1.21,-981.88,2.06
short,macd_trend,donchian_ema,atr_2.5,atr_trail_1.5,1468.47,708,54.4,1.21,-1112.82,2.07
short,ema_macd,donchian,atr_2.5,fixed_3atr,1221.25,563,49.0,1.2,-1075.37,2.17
short,ema_macd,donchian_ema,atr_1.5,atr_trail_1.5,1177.87,623,49.0,1.2,-799.39,1.89
short,ema_macd,vol_spike,atr_2.5,atr_trail_1.5,1300.27,643,57.4,1.2,-1007.14,2.02
long,ema_macd,momentum,atr_1.5,atr_trail_1.5,255.97,153,39.2,1.19,-372.79,1.67
short,ema_macd,donchian_ema,atr_2.5,fixed_3atr,1146.09,563,49.0,1.19,-1031.56,2.04
long,ema_trend,momentum,atr_1.5,atr_trail_1.5,342.84,245,42.0,1.17,-309.4,1.4
short,ema_macd,momentum,atr_2.5,atr_trail_1.5,196.7,165,51.5,1.16,-319.22,1.19
short,ema_macd,vol_spike,atr_1.5,fixed_3atr,988.11,772,40.8,1.15,-762.58,1.28
short,macd_trend,donchian_ema,atr_2.0,fixed_3atr,1066.59,794,40.7,1.15,-911.64,1.34
short,ema_macd,vol_spike,atr_2.0,fixed_3atr,982.32,692,45.1,1.15,-862.97,1.42
short,macd_trend,donchian_ema,atr_1.5,atr_trail_1.5,1008.47,865,45.3,1.14,-751.25,1.17
short,ema_macd,momentum,atr_2.0,fixed_2atr,141.69,167,47.9,1.13,-207.75,0.85
short,ema_macd,donchian,atr_1.5,fixed_3atr,800.91,661,41.3,1.13,-968.5,1.21
short,macd_trend,donchian_ema,atr_2.5,fixed_3atr,881.93,743,42.8,1.12,-1124.62,1.19
short,ema_macd,vol_spike,atr_2.5,fixed_3atr,825.07,665,47.4,1.12,-1115.11,1.24
short,ema_macd,momentum,atr_1.5,fixed_2atr,113.1,167,43.7,1.11,-164.22,0.68
short,ema_macd,donchian_ema,atr_1.5,fixed_3atr,547.0,659,41.1,1.09,-1019.54,0.83
long,ema_trend,momentum,atr_1.5,atr_trail_2.5,165.03,231,29.9,1.09,-323.96,0.71
long,ema_macd,momentum,atr_1.5,atr_trail_2.5,102.62,149,29.5,1.08,-476.11,0.69
short,ema_macd,vol_spike,atr_2.0,fixed_2atr,538.95,838,49.4,1.07,-882.65,0.64
short,ema_macd,donchian,atr_2.0,fixed_2atr,498.37,710,50.6,1.07,-1056.13,0.7
short,macd_trend,donchian_ema,atr_2.5,fixed_2atr,575.25,879,49.7,1.07,-1124.59,0.65
short,ema_macd,donchian,atr_2.5,fixed_2atr,481.47,670,53.4,1.07,-1204.92,0.72
short,ema_macd,donchian,atr_2.0,ema9_trail,453.09,655,64.0,1.07,-1050.4,0.69
short,macd_trend,donchian_ema,atr_2.0,fixed_2atr,595.04,943,46.8,1.07,-914.25,0.63
long,ema_trend,momentum,atr_2.0,atr_trail_1.5,136.78,239,45.6,1.06,-487.34,0.57
short,ema_macd,vol_spike,atr_2.0,ema9_trail,460.93,778,66.1,1.06,-821.5,0.59
short,ema_macd,donchian_ema,atr_2.0,fixed_2atr,396.19,708,50.3,1.06,-1041.26,0.56
short,ema_macd,donchian_ema,atr_2.5,fixed_2atr,456.02,668,53.3,1.06,-1178.82,0.68
long,price_ema,momentum,atr_1.5,atr_trail_1.5,109.14,273,40.3,1.05,-475.46,0.4
short,ema_macd,donchian_ema,atr_2.0,ema9_trail,342.23,654,63.9,1.05,-1064.43,0.52
short,ema_macd,vol_spike,atr_1.5,ema9_trail,347.56,875,60.9,1.05,-715.96,0.4
short,macd_trend,donchian_ema,atr_2.0,ema9_trail,311.72,902,64.3,1.04,-958.69,0.35
short,ema_macd,donchian,atr_2.5,ema9_trail,252.73,627,66.8,1.04,-1219.14,0.4
short,ema_macd,vol_spike,atr_1.5,fixed_2atr,351.52,928,44.8,1.04,-852.52,0.38
long,ema_macd,momentum,atr_2.0,atr_trail_1.5,53.32,153,42.5,1.03,-442.22,0.35
short,macd_trend,donchian_ema,atr_1.5,fixed_3atr,207.74,908,36.1,1.03,-959.22,0.23
short,ema_macd,donchian_ema,atr_2.5,ema9_trail,217.27,627,67.0,1.03,-1233.56,0.35
