side,filter,entry,sl,exit,is_pnl,is_pf,oos_pnl_avg,oos_pf_avg,oos_wr_avg,oos_max_dd,all_oos_positive,w1,w2,w3
short,ema_macd,momentum,atr_2.0,ema9_trail,735.55,1.32,196.58,2.71,78.0,-96.83,True,307.89,211.6,70.25
long,ema_macd,momentum,atr_1.5,atr_trail_1.5,-404.92,0.82,165.69,1.9,55.6,-141.46,False,-57.9,303.26,251.72
short,ema_macd,vol_spike,atr_1.5,atr_trail_2.5,2962.46,1.32,609.36,1.85,49.0,-327.99,True,539.89,1080.39,207.81
long,ema_trend,momentum,atr_1.5,atr_trail_1.5,-87.52,0.97,179.52,1.71,53.5,-203.27,True,41.6,368.27,128.68
short,macd_trend,donchian_ema,atr_2.0,atr_trail_2.5,2514.43,1.25,581.01,1.71,51.5,-623.54,True,365.26,988.77,388.99
short,ema_macd,donchian,atr_2.5,atr_trail_2.5,2726.32,1.32,521.31,1.7,53.9,-735.09,True,602.28,766.0,195.65
long,price_ema,momentum,atr_1.5,atr_trail_1.5,-428.63,0.9,138.57,1.68,50.8,-251.66,False,-75.92,538.79,-47.17
short,ema_macd,donchian_ema,atr_2.5,atr_trail_2.5,2641.45,1.3,514.42,1.68,53.9,-737.14,True,583.64,763.96,195.65
long,macd_trend,donchian,atr_1.5,atr_trail_1.5,705.52,1.07,-38.12,0.96,47.7,-484.3,False,-129.97,191.2,-175.6
long,macd_trend,donchian_ema,atr_1.5,atr_trail_1.5,1024.16,1.11,-64.95,0.94,47.9,-508.13,False,-114.4,168.7,-249.14
