side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars
long,121746.113394,2025-10-04 15:30:00+00:00,121746.113394,2025-10-04 15:55:00+00:00,breakeven_sl,-0.41098159374876425,True,5
long,123578.36660099999,2025-10-05 09:35:00+00:00,123263.60445814284,2025-10-05 09:40:00+00:00,stop_loss,-6.694130170427366,False,1
long,123588.72763699999,2025-10-07 13:55:00+00:00,123172.47763699999,2025-10-07 14:05:00+00:00,stop_loss,-8.336051223418908,False,2
short,122808.957876,2025-10-08 08:45:00+00:00,122542.24327433629,2025-10-08 10:00:00+00:00,breakeven_sl,3.5593138139417637,True,15
short,122680.040769,2025-10-09 11:25:00+00:00,122915.64791185714,2025-10-09 12:00:00+00:00,stop_loss,-5.44100203065274,False,7
short,122410.477728,2025-10-10 13:40:00+00:00,122259.01,2025-10-10 13:45:00+00:00,adaptive_trail,1.9015460738679748,True,1
short,112922.05666500001,2025-10-12 14:55:00+00:00,112922.05666500001,2025-10-12 15:05:00+00:00,breakeven_sl,0.7040694334376342,True,2
long,113654.694333,2025-10-13 11:30:00+00:00,114328.55483691278,2025-10-13 13:10:00+00:00,breakeven_sl,9.757700278605169,True,20
long,115096.828532,2025-10-13 23:50:00+00:00,115226.15,2025-10-14 00:15:00+00:00,adaptive_trail,1.458438788145117,True,5
long,114641.112965,2025-10-14 01:10:00+00:00,114378.52510785713,2025-10-14 01:45:00+00:00,stop_loss,-6.181041658641789,False,7
short,113282.940573,2025-10-15 08:35:00+00:00,113199.3194189683,2025-10-15 08:45:00+00:00,adaptive_trail,1.0988964699448593,True,2
short,113113.65750300001,2025-10-15 08:30:00+00:00,113113.65750300001,2025-10-15 09:05:00+00:00,breakeven_sl,-0.1794387061102855,True,7
short,107918.90703,2025-10-19 09:50:00+00:00,107796.65417012078,2025-10-19 10:55:00+00:00,breakeven_sl,2.4271014834394524,True,13
long,108077.58667799999,2025-10-20 00:15:00+00:00,107851.79596371428,2025-10-20 00:20:00+00:00,stop_loss,-5.778307847646939,False,1
long,109632.16212,2025-10-21 02:05:00+00:00,109392.33997714285,2025-10-21 02:25:00+00:00,stop_loss,-5.975032622172305,False,4
long,109476.93659900001,2025-10-21 02:10:00+00:00,109476.93659900001,2025-10-21 02:45:00+00:00,breakeven_sl,-0.01498686690428419,True,7
short,108577.701144,2025-10-21 10:50:00+00:00,108527.60263437798,2025-10-21 11:45:00+00:00,breakeven_sl,0.6118398571179776,True,11
short,108696.76923600001,2025-10-21 10:55:00+00:00,108527.60263437798,2025-10-21 11:45:00+00:00,breakeven_sl,2.4688283379061318,True,10
short,109351.823724,2025-10-21 12:25:00+00:00,109271.29614162698,2025-10-21 12:40:00+00:00,breakeven_sl,1.2292729429362699,True,3
short,112159.30294800001,2025-10-21 15:00:00+00:00,112971.47794800001,2025-10-21 15:20:00+00:00,stop_loss,-16.08252581199704,False,4
long,108716.880601,2025-10-21 22:40:00+00:00,108768.925498115,2025-10-21 23:30:00+00:00,breakeven_sl,1.8418737895828343,True,10
long,109042.873197,2025-10-21 22:35:00+00:00,108491.53748271428,2025-10-21 23:35:00+00:00,stop_loss,-11.712274156416514,False,12
long,114176.95655399999,2025-10-27 21:30:00+00:00,114415.42523318452,2025-10-27 21:45:00+00:00,adaptive_trail,3.0489315287054533,True,3
long,113936.30249100001,2025-10-28 19:25:00+00:00,113601.30749100001,2025-10-28 19:30:00+00:00,stop_loss,-7.4803909320553394,False,1
short,108646.724241,2025-10-31 00:15:00+00:00,108927.70209814286,2025-10-31 00:50:00+00:00,stop_loss,-6.772320824318584,False,7
long,109873.836285,2025-11-01 22:00:00+00:00,110044.7,2025-11-01 23:05:00+00:00,adaptive_trail,1.971039147420171,True,13
long,110283.237221,2025-11-02 13:25:00+00:00,110416.59795698384,2025-11-02 14:15:00+00:00,breakeven_sl,1.646510930690055,True,10
long,101813.390321,2025-11-08 11:55:00+00:00,101813.390321,2025-11-08 12:10:00+00:00,breakeven_sl,-0.17889028230285203,True,3
long,101687.45772899999,2025-11-09 00:20:00+00:00,101833.50093286288,2025-11-09 00:55:00+00:00,breakeven_sl,1.912507483685307,True,7
short,102728.22615,2025-11-09 13:40:00+00:00,102916.65079285715,2025-11-09 13:50:00+00:00,stop_loss,-5.268410327304179,False,2
short,102775.45142699999,2025-11-09 13:45:00+00:00,102968.1296412857,2025-11-09 13:50:00+00:00,stop_loss,-5.349498768634815,False,1
long,104724.87143999999,2025-11-10 14:55:00+00:00,104867.76648259125,2025-11-10 15:50:00+00:00,breakeven_sl,2.70597248044756,True,11
short,104158.773081,2025-11-12 08:40:00+00:00,104407.4698667143,2025-11-12 09:05:00+00:00,stop_loss,-6.375340153457584,False,5
long,103929.021863,2025-11-12 14:50:00+00:00,103990.39,2025-11-12 15:00:00+00:00,adaptive_trail,1.3362362807873964,True,2
short,103125.6864,2025-11-13 06:00:00+00:00,103446.05747142858,2025-11-13 06:20:00+00:00,stop_loss,-7.81321578769283,False,4
short,92223.496728,2025-11-20 00:45:00+00:00,92125.49979048049,2025-11-20 00:50:00+00:00,adaptive_trail,2.066352548094072,True,1
short,92082.120867,2025-11-20 00:40:00+00:00,92378.83479557144,2025-11-20 01:15:00+00:00,stop_loss,-8.044550272685381,False,7
short,85882.140927,2025-11-23 01:45:00+00:00,86134.88449842857,2025-11-23 01:50:00+00:00,stop_loss,-7.485823727738694,False,1
long,85876.856827,2025-11-24 09:35:00+00:00,85876.856827,2025-11-24 10:15:00+00:00,breakeven_sl,0.3419306762815656,True,8
long,87018.520982,2025-11-25 09:00:00+00:00,86786.52883914286,2025-11-25 09:15:00+00:00,stop_loss,-6.932017603588731,False,3
long,86982.427373,2025-11-26 09:35:00+00:00,86825.84880157142,2025-11-26 09:45:00+00:00,stop_loss,-5.20023457973023,False,2
long,90592.148309,2025-11-27 13:20:00+00:00,90715.05,2025-11-27 13:30:00+00:00,adaptive_trail,2.167621947410485,True,2
long,90544.813576,2025-11-27 13:25:00+00:00,90544.813576,2025-11-27 13:35:00+00:00,breakeven_sl,0.02497556126247258,True,2
long,90489.238019,2025-11-30 03:20:00+00:00,90830.96425158487,2025-11-30 04:30:00+00:00,breakeven_sl,5.619301419366443,True,14
long,90529.29202400001,2025-11-30 23:40:00+00:00,90529.29202400001,2025-11-30 23:50:00+00:00,breakeven_sl,-0.035797162433930274,True,2
long,91763.725455,2025-12-03 14:05:00+00:00,92568.325,2025-12-03 14:50:00+00:00,breakeven_sl,14.593028567137257,True,9
short,89755.213581,2025-12-06 03:15:00+00:00,89669.65085481727,2025-12-06 03:30:00+00:00,breakeven_sl,1.2657020391588603,True,3
short,90069.622137,2025-12-06 14:20:00+00:00,90069.622137,2025-12-06 14:30:00+00:00,breakeven_sl,-0.34451422229519096,True,2
long,90261.0252,2025-12-07 21:50:00+00:00,90013.3794857143,2025-12-07 21:55:00+00:00,stop_loss,-7.087323321156132,False,1
short,92041.69490999999,2025-12-09 15:45:00+00:00,92655.31919571428,2025-12-09 15:50:00+00:00,stop_loss,-14.933615516626592,False,1
long,91400.449131,2025-12-11 00:40:00+00:00,91186.41305957144,2025-12-11 00:45:00+00:00,stop_loss,-6.2834796429018756,False,1
short,91160.533035,2025-12-11 18:45:00+00:00,90960.04290610852,2025-12-11 19:15:00+00:00,breakeven_sl,4.000518295423302,True,6
long,90851.78426999999,2025-12-12 15:30:00+00:00,90365.86034142856,2025-12-12 15:35:00+00:00,stop_loss,-12.297069572730107,False,1
short,89171.091999,2025-12-15 01:40:00+00:00,89441.17128471428,2025-12-15 02:00:00+00:00,stop_loss,-7.6575525018199695,False,4
short,87134.91563700001,2025-12-16 10:45:00+00:00,87134.91563700001,2025-12-16 10:55:00+00:00,breakeven_sl,0.004268203591949571,True,2
short,87029.966133,2025-12-16 10:50:00+00:00,87263.97470442856,2025-12-16 11:30:00+00:00,stop_loss,-6.977655118719749,False,8
short,87034.30569899999,2025-12-16 10:55:00+00:00,87284.83248471428,2025-12-16 11:30:00+00:00,stop_loss,-7.356966375551115,False,7
long,86609.6601,2025-12-18 17:10:00+00:00,86152.0101,2025-12-18 17:15:00+00:00,stop_loss,-12.168105208393357,False,1
short,87137.325396,2025-12-19 03:30:00+00:00,86818.3169150906,2025-12-19 05:35:00+00:00,breakeven_sl,7.131474272289971,True,25
short,87177.2814,2025-12-19 03:35:00+00:00,86818.3169150906,2025-12-19 05:35:00+00:00,breakeven_sl,7.959598159345523,True,24
