open,high,low,close,volume,taker_buy_volume,datetime
54309.9,54377.6,54230.0,54371.5,2167.87,990.283,2024-09-08 11:00:00
54371.5,54544.8,54335.0,54464.6,4001.659,2144.464,2024-09-08 12:00:00
54464.6,54495.7,54301.0,54315.8,3101.903,1215.455,2024-09-08 13:00:00
54315.7,54397.0,54232.1,54268.0,2391.163,949.704,2024-09-08 14:00:00
54268.1,54513.5,54267.8,54411.5,4487.823,2392.052,2024-09-08 15:00:00
54411.5,54463.1,54322.9,54455.8,2732.673,1447.623,2024-09-08 16:00:00
54455.8,54700.0,54418.1,54418.1,7085.996,3395.103,2024-09-08 17:00:00
54418.1,54613.0,54408.8,54573.9,2786.654,1339.861,2024-09-08 18:00:00
54574.0,54644.1,54479.1,54528.6,2763.681,1310.562,2024-09-08 19:00:00
54528.7,54544.0,54066.3,54167.5,10080.71,4087.795,2024-09-08 20:00:00
54167.4,54375.1,54042.5,54360.0,7557.088,3972.654,2024-09-08 21:00:00
54359.9,54417.1,54010.5,54110.0,8043.41,3591.619,2024-09-08 22:00:00
54110.0,54166.8,53610.0,53663.6,16086.448,6948.654,2024-09-08 23:00:00
53663.4,53998.9,53596.5,53883.8,8896.37,4905.421,2024-09-09 00:00:00
53883.7,54485.0,53875.8,54470.0,9173.154,5247.13,2024-09-09 01:00:00
54470.1,54497.4,54244.1,54381.0,4643.35,2053.105,2024-09-09 02:00:00
54381.0,54445.8,54274.7,54301.3,2846.072,1291.562,2024-09-09 03:00:00
54301.3,54354.8,54130.3,54351.0,3459.325,1753.227,2024-09-09 04:00:00
54351.0,54599.9,54289.9,54430.9,5327.444,3004.743,2024-09-09 05:00:00
54430.9,55300.0,54335.0,54500.5,30964.518,16079.244,2024-09-09 06:00:00
54500.5,54944.0,54410.4,54839.6,9263.616,4516.772,2024-09-09 07:00:00
54839.6,55177.2,54650.2,55007.0,11329.717,5238.728,2024-09-09 08:00:00
55007.0,55351.4,54862.6,55071.9,11349.721,5634.313,2024-09-09 09:00:00
55071.9,55107.5,54811.7,55073.4,4857.66,2566.962,2024-09-09 10:00:00
55073.5,55185.1,54754.6,55084.9,7319.299,3587.885,2024-09-09 11:00:00
55085.0,55118.3,54819.6,54822.0,5556.392,2545.54,2024-09-09 12:00:00
54822.0,54901.8,54557.0,54645.0,8818.219,4149.197,2024-09-09 13:00:00
54645.0,54950.5,54617.0,54872.7,5436.445,3109.228,2024-09-09 14:00:00
54872.6,54983.5,54710.0,54939.1,5333.48,2633.276,2024-09-09 15:00:00
54939.0,55300.0,54920.7,55219.0,10845.442,5813.714,2024-09-09 16:00:00
55218.9,55549.0,55063.4,55127.7,12261.144,6307.701,2024-09-09 17:00:00
55127.7,55431.2,55064.0,55336.0,7726.997,4092.697,2024-09-09 18:00:00
55336.0,55359.2,55134.4,55236.8,4787.602,2462.564,2024-09-09 19:00:00
55236.7,55330.0,54928.8,55318.0,10430.193,5459.806,2024-09-09 20:00:00
55318.0,55774.9,55222.7,55652.2,23112.067,12780.184,2024-09-09 21:00:00
55652.2,55724.9,54755.0,54806.0,27446.389,13128.639,2024-09-09 22:00:00
54806.0,55442.0,54800.1,55360.3,16489.451,8583.473,2024-09-09 23:00:00
55360.3,56500.0,55319.4,56391.2,36406.668,19566.871,2024-09-10 00:00:00
56391.2,56750.0,56293.2,56479.9,22090.716,10810.125,2024-09-10 01:00:00
56480.0,56617.5,56221.2,56493.3,13477.685,6559.726,2024-09-10 02:00:00
56493.3,57148.6,56437.8,57060.1,17163.085,9533.547,2024-09-10 03:00:00
57060.1,57100.0,56770.4,56976.4,8313.081,3843.733,2024-09-10 04:00:00
56976.5,58153.2,56966.2,57424.9,28727.488,16670.985,2024-09-10 05:00:00
57424.9,57593.6,57158.2,57188.5,7422.559,3477.538,2024-09-10 06:00:00
57188.5,57233.6,56975.0,57010.0,6392.861,3252.865,2024-09-10 07:00:00
57010.1,57041.9,56585.5,56944.7,10798.072,5523.025,2024-09-10 08:00:00
56944.7,57027.0,56679.7,56871.1,5318.753,2607.027,2024-09-10 09:00:00
56871.1,56887.0,56603.8,56746.7,4333.844,2425.905,2024-09-10 10:00:00
56746.8,56778.4,56493.0,56500.1,5414.041,2389.753,2024-09-10 11:00:00
