name,label,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,status
base,現行基準,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631,BASELINE
tp25,S/DOWN TP2.5%,269,8169.162519006954,8169.162519006957,-7.787480993043243,2.998109525557083,62.825278810408925,368.53124739577197,-286.85574506921057,75,-3330.5362822248544,2,-167.78402024567558,1691,INCONCLUSIVE
tp30,S/DOWN TP3%,269,8443.643160737005,8443.643160737,-8.186839262998973,3.0590453588911806,62.45353159851301,368.53124739577197,-286.85574506921057,76,-3347.4407291706543,2,-167.78402024567558,1742,INCONCLUSIVE
tp35,S/DOWN TP3.5%,269,8460.6908527298,8460.690852729795,-7.449147270204577,2.9836909441948922,62.0817843866171,368.5312473957729,-286.85574506921057,76,-3347.4407291706543,3,-167.78402024567558,1763,INCONCLUSIVE
mh2,S MH+2h,269,7904.601669005677,7904.601669005678,-6.548330994321957,2.841798993714642,63.94052044609665,384.337588669071,-307.51280134469926,73,-3296.03502764293,4,-186.8789361228484,1720,REJECTED
mh3,S MH+3h,269,8137.423104560992,8137.423104560992,-5.06689543900778,2.973733395483198,64.68401486988847,376.98758866907065,-298.5428013446981,69,-2906.4744733871316,5,-186.8789361228484,1770,REJECTED
mh4,S MH+4h,268,8128.631979751615,8128.631979751613,-2.658020248386718,2.9577492603394218,64.55223880597015,385.5775886690717,-283.19651194378093,64,-2935.048816289334,5,-186.8789361228484,1815,REJECTED
vol10,S量比≥1.0,261,6745.549195254024,6745.549195254027,-6.430804745973621,2.608532199502642,61.30268199233716,361.140918555152,-292.7158925160211,79,-3583.9551575889986,2,-169.89386723817032,1605,REJECTED
vol15,S量比≥1.5,243,5896.8028773429305,5896.802877342932,-9.487122657066973,2.463314278928131,61.31687242798354,377.1371565002855,-292.71589251602063,71,-3125.016725855402,3,-169.89386723817032,1473,REJECTED
adx20,S ADX≥20＋−DI>＋DI,224,5327.149009235182,5327.149009235183,-11.99099076481699,2.4100052359913056,60.26785714285714,377.3519327406857,-297.41767379394605,66,-2959.588912154271,3,-165.93583589162913,1349,REJECTED
adx25,S ADX≥25＋−DI>＋DI,194,4928.79898845975,4928.798988459753,-14.221011540246954,2.6687481186631477,61.34020618556701,417.0840561905502,-347.37584306757844,52,-2117.307856941511,3,-187.17362593595186,1119,REJECTED
retest1,S回測確認最多1h,199,5015.169204944427,5015.16920494443,-11.140795055569606,2.6372977727360185,61.30653266331658,422.69367523217807,-403.7303330711825,55,-2342.12690485813,2,-165.93583589162913,1174,REJECTED
retest3,S回測確認最多3h,207,5836.28791364059,5836.287913640594,-8.84208635940648,3.0303765635738897,63.76811594202898,281.29177491603923,-187.31038847679838,52,-2152.497572691225,2,-165.93583589162913,1218,REJECTED
delay1,S單純延後1h,252,7172.472900393762,7172.472900393766,-11.137099606232855,2.960393012357519,65.87301587301587,363.8888515917406,-206.31492831388914,62,-2696.8338168514397,4,-187.17362593595186,1526,REJECTED
delay3,S單純延後3h,226,5744.7327823137175,5744.732782313717,-10.99721768628277,2.4231049038387553,63.27433628318584,378.31599891601854,-229.36984869150638,56,-2545.708996102727,6,-194.21865279124341,1331,REJECTED
