confirmation,side,period,n,original_net,exit_now_net,hold_minus_exit,hold_minus_exit_avg,hold_better_n
1,ALL,all,143,988.6217822767001,-4658.010016532267,5646.631798808967,39.48693565600676,99
1,ALL,early,93,1084.8944183422414,-3177.8558483007046,4262.750266642946,45.8360243725048,64
1,ALL,late,50,-96.27263606554123,-1480.154168231562,1383.881532166021,27.677630643320423,35
1,L,all,68,479.3831731952737,-2120.685200764075,2600.068373959348,38.236299617049234,47
1,L,early,43,358.5200515116525,-1517.367377688721,1875.8874292003738,43.625289051171485,28
1,L,late,25,120.86312168362115,-603.3178230753534,724.1809447589746,28.967237790358986,19
1,S,all,75,509.23860908142655,-2537.324815768192,3046.563424849618,40.62084566466157,52
1,S,early,50,726.3743668305888,-1660.488470611983,2386.8628374425716,47.73725674885143,36
1,S,late,25,-217.13575774916234,-876.8363451562086,659.7005874070463,26.388023496281853,16
2,ALL,all,97,-458.4314100295545,-4010.166277883268,3551.7348678537132,36.615823379935186,65
2,ALL,early,61,-140.2883959848947,-2528.41646882802,2388.1280728431257,39.149640538411894,41
2,ALL,late,36,-318.14301404465994,-1481.7498090552476,1163.606795010588,32.32241097251634,24
2,L,all,43,-147.92369847520698,-1748.139142526301,1600.215444051094,37.214312652351026,30
2,L,early,28,-83.01298283506856,-1242.3892900368999,1159.3763072018312,41.40629668577969,19
2,L,late,15,-64.91071564013839,-505.7498524894013,440.83913684926296,29.389275789950865,11
2,S,all,54,-310.5077115543477,-2262.0271353569674,1951.5194238026193,36.13924858893739,35
2,S,early,33,-57.27541314982619,-1286.0271787911206,1228.7517656412945,37.23490198913014,22
2,S,late,21,-253.2322984045215,-975.9999565658466,722.7676581613249,34.417507531491665,13
