name,slip,historical,fail_exits,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
base,0,False,0,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
fail1,0,False,132,246,2178.344360246545,2178.344360246545,-5.135639753455168,1.4478578856048019,37.39837398373984,543.9848742493036,-390.9741443493772,11,-371.7343008712249,0,-108.82,879
fail2,0,False,92,256,4306.467707488749,4306.467707488751,-7.992292511248763,1.903416270430079,50.0,447.3051300771331,-406.58362370517307,22,-758.7017185126331,0,-122.10304620269393,1148
base,2,False,0,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
fail1,2,False,129,239,1611.3793691467586,1611.3793691467595,-4.060630853240717,1.3204463630235788,36.82008368200837,579.6057658389236,-408.5038591597763,11,-399.97551844783186,0,-110.46,862
fail2,2,False,92,256,3943.9074478069774,3943.9074478069797,-7.882552193020575,1.7993005999755065,49.609375,468.1349118783687,-427.3531549868817,24,-803.9795922635863,0,-123.6630555915756,1149
base,5,False,0,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
fail1,5,False,128,237,1109.5984153507973,1109.598415350799,-4.891584649201074,1.208612536503763,36.28691983122363,631.3864200398308,-399.843378384121,11,-426.4548436955628,0,-112.92,848
fail2,5,False,91,252,3273.566487221122,3273.566487221121,-7.433512778879198,1.6271563620495093,48.01587301587302,523.1591354110619,-458.5224519292424,24,-861.7182602264368,0,-125.98306966786,1139
base,0,True,0,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
fail1,0,True,132,246,2043.1995322074968,2043.1995322074972,-5.110467792503084,1.3950535133897166,37.39837398373984,543.9848742493036,-390.9741443493772,11,-387.13671064806016,0,-128.48476469849092,879
fail2,0,True,92,256,4249.338128855781,4249.338128855783,-9.011871144217062,1.845659761282121,50.0,447.3051300771331,-406.58362370517307,22,-774.1041282894683,0,-130.1247646984909,1148
base,2,True,0,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
fail1,2,True,129,239,1447.4447394571282,1447.4447394571293,-4.035260542870927,1.2700565583426842,36.82008368200837,579.6057658389236,-408.5038591597763,11,-416.9878706951166,0,-132.53470163881866,862
fail2,2,True,92,256,3860.258308113872,3860.2583081138755,-8.901691886125233,1.7413802504274625,49.609375,468.1349118783687,-427.3531549868817,24,-820.991944510871,0,-134.17470163881868,1149
base,5,True,0,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632
fail1,5,True,128,237,902.4340831891739,902.4340831891753,-4.865916810824797,1.1587400304334055,36.28691983122363,663.3580480060546,-404.08207600543074,11,-445.877109605353,0,-138.6046070019919,848
fail2,5,True,91,252,3150.2080057851063,3150.2080057851053,-8.451994214894782,1.5709409279407907,48.01587301587302,523.1591354110619,-458.5224519292424,24,-881.1405261362269,0,-140.2446070019919,1139
