name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
base,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
quality,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
m5_w30,0,False,201,3737.91446196484,3737.914461964841,-3.365538035159,2.0267490986713,56.71641791044776,310.46118703399156,-229.53036801804,60,-2598.514350748847,3,-167.78402024567558,1253
m5_w60,0,False,77,857.853265675612,857.8532656756119,2.543265675611768,1.4357882024634046,55.84415584415584,501.21747595935994,-416.05379353572016,24,-1349.3581488930276,3,-169.89386723817032,487
m15_w30,0,False,229,5720.266356789247,5720.266356789249,-5.113643210750434,2.459640015909915,61.135371179039296,484.5324698302975,-397.6546636940909,66,-2992.761692225583,3,-167.78402024567558,1427
m15_w60,0,False,145,2352.31129106064,2352.31129106064,-4.258708939359426,1.839655629127319,57.931034482758626,352.9205002742235,-316.23061712896106,39,-1773.8355064760224,4,-169.89386723817032,877
m30_w30,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
m30_w60,0,False,192,4254.543073808083,4254.543073808086,-3.8969261919138316,2.274214524557832,58.854166666666664,436.86858243750726,-397.6546636940907,54,-2440.4613458350486,3,-167.78402024567558,1206
base,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
quality,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
m5_w30,2,False,200,3556.170050241638,3556.170050241637,-2.859949758362933,1.9703441818231362,55.50000000000001,313.1139818303575,-243.29705984769635,66,-2771.90878197427,3,-167.99400504668492,1263
m5_w60,2,False,74,631.4148182956833,631.4148182956833,2.1448182956833164,1.3233053327575228,55.4054054054054,507.93681538906174,-420.34313216215264,24,-1387.8573255977315,3,-165.69499284810598,479
m15_w30,2,False,229,5499.79726015081,5499.797260150812,-5.00273984918806,2.4004254658032096,59.388646288209614,492.8007199448623,-401.9328619533708,71,-3139.0431065075695,3,-167.99400504668492,1432
m15_w60,2,False,143,2086.471950535527,2086.471950535528,-4.408049464472173,1.7563830478315647,55.24475524475524,354.7310686078297,-325.24084840938565,43,-1885.137820115856,4,-170.09385200857201,881
m30_w30,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
m30_w60,2,False,189,3621.7884016103644,3621.7884016103644,-3.141598389635796,2.084530205225939,56.613756613756614,441.95438500139676,-401.9328619533708,57,-2554.7411732216333,3,-167.99400504668492,1191
base,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
