fee,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
4.0,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
3.6,0,False,269,8034.301053608399,8034.301053608432,-7.3889463915683145,3.0367112393454003,63.94052044609665,365.3312473957749,-290.7102480460653,75,-3300.5362822248544,2,-167.38402024567557,1631
3.5,0,False,271,8095.582368039296,8095.582368039295,-6.967631960704377,3.0573050237363355,64.20664206642066,364.53124739577197,-289.3602480460622,75,-3293.0362822248544,2,-167.28402024567558,1647
3.0,0,False,273,8169.490547456876,8169.490547456877,-7.159452543123043,3.0621333210176536,64.46886446886447,360.53124739577197,-282.6102480460622,76,-3330.398102807273,2,-166.78402024567558,1654
2.0,0,False,277,8406.151814849176,8406.151814849172,-7.498185150827659,3.119004676157208,64.25992779783394,356.39892330966995,-269.1102480460622,79,-3356.117108463514,2,-165.78402024567558,1683
0.0,0,False,279,9132.448847731173,9132.44884773116,-7.77115226883938,3.4226229902572896,64.87455197132617,336.53124739577197,-242.11024804606222,79,-3198.117108463514,2,-163.78402024567558,1702
4.0,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
3.6,2,False,269,7692.132535028662,7692.132535028696,-7.277464971303248,2.8934040811193578,62.825278810408925,378.07187719096146,-303.0193224269897,77,-3429.982690566977,2,-167.5940050466849,1633
3.5,2,False,269,7719.032535028697,7719.032535028698,-7.277464971303248,2.9047138836732085,62.825278810408925,377.2718771909613,-301.6693224269875,77,-3422.282690566977,2,-167.49400504668492,1633
3.0,2,False,269,7853.532535028698,7853.532535028697,-7.277464971303248,2.961963336625538,63.19702602230484,373.2718771909613,-294.9193224269875,77,-3383.782690566977,2,-166.99400504668492,1633
2.0,2,False,269,8122.532535028696,8122.532535028698,-7.277464971303248,3.0804124845892145,63.94052044609665,365.2718771909613,-281.4193224269875,77,-3306.782690566977,2,-165.99400504668492,1633
0.0,2,False,278,8701.81505015572,8701.815050155717,-7.46494984428151,3.2387282855947688,64.38848920863309,349.95861676145796,-254.41932242698658,81,-3326.733503019054,2,-163.99400504668492,1695
4.0,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
3.6,5,False,267,7125.6921803150735,7125.692180315107,-6.867819684892545,2.6996412402835475,61.79775280898876,397.1716378349638,-335.35029254279107,78,-3561.978874164471,2,-167.91398223679397,1632
3.5,5,False,267,7152.3921803151125,7152.392180315107,-6.867819684892545,2.7101705359926616,61.79775280898876,396.3716378349627,-334.0002925427889,78,-3554.178874164472,2,-167.81398223679395,1632
3.0,5,False,269,7247.699429807108,7247.699429807103,-7.330570192896946,2.725771869726448,62.0817843866171,392.3716378349627,-327.2502925427889,79,-3583.4268057376553,2,-167.31398223679395,1642
2.0,5,False,269,7516.699429807109,7516.699429807103,-7.330570192896946,2.8343283161271393,62.45353159851301,384.3716378349627,-313.7502925427889,79,-3504.4268057376553,2,-166.31398223679395,1642
