side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,valid,F45,F15,F60,R15,strong,weak,divergent,V45,V15,B45,B15
S,200.0,1.5226320217127325,4.0,2627.03,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2627.03,2646.25,-0.732,-33.26,MH,10,0.734,-1.529,33.3,MILD_UP,0.19302238923803686,0.19302238923803686,0.19302238923803686,-33.06697761076196,True,0.06795773302657349,0.07483855658488647,0.07009294422968548,0.006290521474016986,True,False,False,110484.277,49710.606,51488.008,22995.168
S,200.0,1.5287422655196004,4.0,2616.53,417,422,2024-09-25 21:00:00,2024-09-26 02:00:00,2616.53,2574.56,1.604,60.16,TP,5,2.116,-0.463,14.1,UP,0.1406210756994951,0.1406210756994951,0.1406210756994951,60.30062107569949,True,0.1274167195519078,0.12212208292954407,0.12603950898594152,0.0021699170931499534,False,False,False,29786.193,10471.635999999999,12995.467,4596.409
L,200.0,1.5061772092795578,4.0,2655.73,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2655.73,2579.72,-2.862,-118.48,MH,7,0.045,-3.41,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-118.87835224213305,True,0.07056309433852026,0.2498875266495173,0.1624029839385548,0.004934366119370814,True,False,False,44294.727,46499.904,23710.15,29059.825
S,200.0,1.5505558742809298,4.0,2579.72,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.72,2523.54,2.178,83.11,TP,2,3.866,-0.423,1.0,MILD_UP,0.32868175993197574,0.0,0.32868175993197574,83.43868175993198,True,0.07831140401344738,-0.09781944349557459,0.035361190483224725,0.0008559488444690455,False,False,False,310995.433,100294.764,143320.472,55052.77099999999
S,200.0,1.6428454082470838,4.0,2434.8,748,759,2024-10-09 16:00:00,2024-10-10 03:00:00,2434.8,2414.24,0.844,29.78,BE,11,1.101,-1.513,19.2,DOWN,0.40419582717266306,0.40419582717266306,0.5498027652823592,30.184195827172665,True,0.018355870684750863,0.2758940828863312,0.05196797003237652,0.0008863502068149343,True,False,False,61489.701,9229.821,30180.502000000004,3341.6839999999997
S,200.0,1.5416040390025822,4.0,2594.7,890,900,2024-10-15 14:00:00,2024-10-16 00:00:00,2594.7,2572.58,0.853,30.1,TP,10,2.238,-3.625,6.1,MILD_UP,0.7997502601456816,0.4031602882799553,0.7997502601456816,30.899750260145684,True,0.2726064389848464,0.05913424451756066,0.24454281533895006,-0.0008987914533804542,False,True,False,106680.015,16147.192,38799.178,7596.17
S,200.0,1.5163921996785248,4.0,2637.84,1053,1063,2024-10-22 09:00:00,2024-10-22 19:00:00,2637.84,2632.46,0.204,4.16,MHx,10,0.942,-0.825,34.3,UP,0.40132973810541955,0.40132973810541955,0.40132973810541955,4.56132973810542,True,0.2283115449389439,-0.009262209158190204,0.20070010940236183,-0.0019485625078341506,False,True,False,292649.22199999995,38485.311,112917.01299999999,19420.885
S,200.0,1.5372199377425926,4.0,2602.1,1084,1092,2024-10-23 16:00:00,2024-10-24 00:00:00,2602.1,2539.53,2.405,92.18,TP,8,2.809,-0.321,27.3,MILD_UP,0.3903915112855002,0.0,0.7904002117581954,92.57039151128551,True,0.1338414898323218,0.10203396708727563,0.12310311933403917,0.0017876597768878844,False,False,False,56064.61800000001,28574.602,24280.423000000003,12829.510999999999
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11,True,0.25424933412315587,-0.15763468223615118,0.20576954333239528,-0.0021698568502492854,False,True,False,94460.035,12601.402,35221.817,7293.91
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666,True,0.19252073149020332,0.19613194877908446,0.19373863195546748,0.006982319924420888,True,False,False,138086.552,70268.87299999999,55751.013999999996,28243.451
L,200.0,1.5767772250297616,4.0,2536.82,1305,1307,2024-11-01 21:00:00,2024-11-01 23:00:00,2536.82,2562.0,0.993,35.7,MFE,2,2.012,-0.268,17.2,SIDE,0.0,0.0,0.0,35.7,True,0.13530972060274848,-0.17020258486352924,0.08810277373761966,0.0004061850547560919,False,False,False,172302.196,31489.322,97808.179,13064.879
L,200.0,1.637787022175636,4.0,2442.32,1396,1402,2024-11-05 16:00:00,2024-11-05 22:00:00,2442.32,2441.19,-0.046,-5.85,MH,6,0.215,-0.538,9.1,SIDE,0.0,-0.4000151296783386,0.0,-5.85,True,0.13621262837997583,0.12587570948757332,0.1332227694747239,0.0012914229020528634,False,False,False,77032.652,31348.153,43762.736000000004,17647.061999999998
L,200.0,1.5184414716734742,4.0,2634.28,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,True,0.005655370766882051,0.2405248285808752,0.03884103243451276,-0.0032276251414213863,True,True,True,285995.042,47058.489,143806.225,29188.612
L,200.0,1.3676195555920254,4.0,2924.79,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2924.79,2913.46,-0.387,-19.5,MFE,4,1.135,-0.565,2.0,MILD_UP,0.0,0.0,0.0,-19.5,True,0.08200083315232032,0.16267583726899693,0.12042610320503022,0.0026705519369214503,True,False,False,54213.376000000004,49305.958,29329.459000000003,28663.423
S,200.0,1.2458691650496323,4.0,3210.61,1584,1586,2024-11-13 12:00:00,2024-11-13 14:00:00,3210.61,3143.86,2.079,79.16,TP,2,2.35,-0.71,4.0,UP,0.0,0.0,0.0,79.16,True,0.08525315986662707,0.05037366033325208,0.07457008522346587,0.0017442836621871516,False,False,False,98843.175,43640.704,45208.241,20721.181
S,200.0,1.2623592863882953,4.0,3168.67,1618,1620,2024-11-14 22:00:00,2024-11-15 00:00:00,3168.67,3079.25,2.822,108.88,TP,2,3.52,-0.903,2.0,UP,0.3887119832611159,0.0,0.3887119832611159,109.26871198326111,True,0.01558131907114313,0.167574884294022,0.061331156261145714,0.007290237285161982,True,False,False,118746.044,51133.486,58447.912,21282.399
S,200.0,1.2818787214541632,4.0,3120.42,1732,1743,2024-11-19 16:00:00,2024-11-20 03:00:00,3120.42,3143.29,-0.733,-33.32,BE,11,1.393,-1.029,33.3,MILD_UP,0.6113745445805372,0.6113745445805372,1.460734544580537,-32.708625455419465,True,-0.016226865826255876,0.088448745666168,-0.0017420889510395554,0.0008773165639928138,True,False,False,87651.985,14077.034,44537.151,6415.969
L,200.0,1.2698372386119408,4.0,3150.01,1784,1785,2024-11-21 20:00:00,2024-11-21 21:00:00,3150.01,3288.05,4.382,171.29,TP,1,5.428,-0.047,6.1,DOWN,0.0,0.0,0.0,171.29,True,0.0761046489916859,-0.07718871222943346,0.047172413441418204,0.001911577608142645,False,False,False,142543.447,33162.297000000006,76695.83299999998,15301.271
L,200.0,1.175899930915879,4.0,3401.65,1876,1879,2024-11-25 16:00:00,2024-11-25 19:00:00,3401.65,3504.57,3.026,117.02,TP,3,3.83,-0.083,22.2,MILD_UP,0.0,-0.9574028145164846,0.0,117.02,True,0.18492590659259367,-0.14793729195159566,0.0748857289775493,-0.0037546090608497895,False,True,False,104222.228,51469.693,61747.809,21927.703
S,200.0,1.1775164999499554,4.0,3396.98,1900,1903,2024-11-26 16:00:00,2024-11-26 19:00:00,3396.98,3320.1,2.263,86.53,TP,3,2.354,-0.084,29.3,MILD_UP,0.0,0.0,0.49080144481274535,86.53,True,0.08914231018359342,0.008972754607574185,0.0671007544440052,0.0017572936502339154,False,False,False,156315.63700000002,59273.325,71190.65000000001,29370.74
L,200.0,1.1567480342513095,4.0,3457.97,1927,1935,2024-11-27 19:00:00,2024-11-28 03:00:00,3457.97,3587.98,3.76,146.39,TP,8,4.001,-0.595,24.2,MILD_UP,-0.6457629247217299,-0.6457629247217299,-0.6457629247217299,145.74423707527825,True,0.22587978702663714,-0.11418364802412206,0.10605592606116399,-0.005072505466682031,False,True,False,187765.641,102156.046,115089.052,45245.74799999999
S,200.0,1.1071101380843118,4.0,3613.01,2070,2074,2024-12-03 18:00:00,2024-12-03 22:00:00,3613.01,3548.21,1.794,67.74,TP,4,2.021,-0.233,15.2,UP,0.0,0.0,0.0,67.74,True,0.21365649093148342,0.07811194259692567,0.18886804352592002,-0.0005677160644261825,False,True,False,78237.492,17510.421000000002,30760.771999999997,8071.3240000000005
