period,side,strong,weak,n,net,wr,mh,mh_net,wins,winning_net,losing_net
full,ALL,False,False,93,2907.6060485277944,66.66666666666666,26,-1376.0805937579808,62,4352.88660132536,-1445.280552797567
full,ALL,False,True,75,3262.9534767698688,73.33333333333333,15,-509.5109907257834,55,3850.759037841853,-587.8055610719844
full,ALL,True,False,95,1793.844438848186,54.736842105263165,30,-1262.5395452312562,52,3556.1230903894884,-1762.2786515413025
full,ALL,True,True,6,-37.7029105374171,16.666666666666664,4,-182.40515250983373,1,150.87,-188.5729105374171
full,L,False,False,50,1323.779558568961,64.0,14,-644.7811385757134,32,2029.1906561842607,-705.4110976152997
full,L,False,True,43,1753.8769187611388,67.44186046511628,9,-302.05341404644633,29,2134.2249031537863,-380.34798439264733
full,L,True,False,42,788.8760848941737,59.523809523809526,8,-371.8050053979457,25,1446.5751985855986,-657.6991136914247
full,L,True,True,3,56.20837978964859,33.33333333333333,2,-94.6616202103514,1,150.87,-94.6616202103514
full,S,False,False,43,1583.8264899588335,69.76744186046511,12,-731.2994551822674,30,2323.6959451411008,-739.8694551822673
full,S,False,True,32,1509.07655800873,81.25,6,-207.45757667933708,26,1716.534134688067,-207.45757667933708
full,S,True,False,53,1004.9683539540121,50.943396226415096,22,-890.734539833311,27,2109.5478918038903,-1104.5795378498776
full,S,True,True,3,-93.9112903270657,0.0,2,-87.74353229948231,0,0.0,-93.9112903270657
early,ALL,False,False,65,2177.1965578774752,67.6923076923077,17,-888.9061304856515,44,3134.5679244194025,-957.3713665419281
early,ALL,False,True,51,2538.786693912309,76.47058823529412,9,-340.167901032872,39,2939.5695785068297,-400.7828845945208
early,ALL,True,False,62,933.8268024961395,54.83870967741935,17,-763.520933931514,34,2135.94602828324,-1202.119225787101
early,ALL,True,True,2,144.70224197241663,50.0,0,0.0,1,150.87,-6.16775802758338
early,L,False,False,38,1016.576609523178,63.1578947368421,11,-531.058202639478,24,1607.5300482189327,-590.9534386957547
early,L,False,True,28,1350.0820175390324,67.85714285714286,6,-225.78005448325067,19,1636.4770555839316,-286.3950380448994
early,L,True,False,28,118.68920938709554,57.14285714285714,5,-274.8857137587234,16,618.3282169848392,-499.6390075977436
early,L,True,True,1,150.87,100.0,0,0.0,1,150.87,0.0
early,S,False,False,27,1160.6199483542966,74.07407407407408,6,-357.8479278461734,20,1527.0378762004705,-366.4179278461734
early,S,False,True,23,1188.7046763732774,86.95652173913044,3,-114.38784654962132,20,1303.0925229228988,-114.38784654962132
early,S,True,False,34,815.1375931090438,52.94117647058824,12,-488.6352201727906,18,1517.6178112984014,-702.4802181893575
early,S,True,True,1,-6.16775802758338,0.0,0,0.0,0,0.0,-6.16775802758338
late,ALL,False,False,28,730.4094906503194,64.28571428571429,9,-487.17446327232915,18,1218.318676905958,-487.9091862556388
late,ALL,False,True,24,724.1667828575594,66.66666666666666,6,-169.3430896929114,16,911.1894593350231,-187.0226764774637
late,ALL,True,False,33,860.0176363520462,54.54545454545454,13,-499.0186112997425,18,1420.1770621062478,-560.1594257542014
late,ALL,True,True,4,-182.40515250983373,0.0,4,-182.40515250983373,0,0.0,-182.40515250983373
late,L,False,False,12,307.2029490457829,66.66666666666666,3,-113.72293593623536,8,421.6606079653279,-114.45765891954501
late,L,False,True,15,403.79490122210655,66.66666666666666,3,-76.27335956319567,10,497.7478475698545,-93.95294634774794
late,L,True,False,14,670.1868755070781,64.28571428571429,3,-96.91929163922228,9,828.2469816007593,-158.06010609368116
late,L,True,True,2,-94.6616202103514,0.0,2,-94.6616202103514,0,0.0,-94.6616202103514
late,S,False,False,16,423.20654160453637,62.5,6,-373.4515273360939,10,796.6580689406303,-373.4515273360939
late,S,False,True,9,320.37188163545284,66.66666666666666,3,-93.06973012971575,6,413.4416117651686,-93.06973012971575
late,S,True,False,19,189.83076084496827,47.368421052631575,10,-402.0993196605203,9,591.9300805054885,-402.0993196605203
late,S,True,True,2,-87.74353229948231,0.0,2,-87.74353229948231,0,0.0,-87.74353229948231
recent,ALL,False,False,10,400.62165719789147,70.0,3,-139.8339942787635,7,540.455651476655,-139.8339942787635
recent,ALL,False,True,10,191.77500403813235,70.0,2,-59.76961530043781,7,269.0287701524068,-77.25376611427447
recent,ALL,True,False,12,87.46334179432706,41.66666666666667,7,-336.9035002599663,5,424.36684205429333,-336.9035002599663
recent,ALL,True,True,3,-136.19515250983372,0.0,3,-136.19515250983372,0,0.0,-136.19515250983372
recent,L,False,False,5,184.58249251987124,80.0,1,-41.91,4,226.49249251987123,-41.91
recent,L,False,True,6,-17.946667628906233,66.66666666666666,1,-45.13,4,44.66748318493042,-62.61415081383666
recent,L,True,False,5,258.2890973136405,80.0,1,-73.83,4,332.1190973136405,-73.83
recent,L,True,True,1,-48.45162021035141,0.0,1,-48.45162021035141,0,0.0,-48.45162021035141
recent,S,False,False,5,216.03916467802026,60.0,2,-97.92399427876349,3,313.96315895678373,-97.92399427876349
recent,S,False,True,4,209.7216716670386,75.0,1,-14.639615300437812,3,224.36128696747642,-14.639615300437812
recent,S,True,False,7,-170.8257555193135,14.285714285714285,6,-263.0735002599663,1,92.24774474065279,-263.0735002599663
recent,S,True,True,2,-87.74353229948231,0.0,2,-87.74353229948231,0,0.0,-87.74353229948231
