name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
base,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
quality,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
pair,0,False,265,8078.584487059141,8078.58448705914,-8.215512940859577,3.1285396757338084,64.52830188679245,368.53124739577197,-296.1102480460622,71,-3148.1311297150205,2,-167.78402024567558,1599
pair_long,0,False,267,7914.517814477467,7914.517814477467,-7.6221855225326305,3.034959128910646,63.670411985018724,368.5312473957729,-296.1102480460622,73,-3235.8746620145025,2,-167.78402024567558,1616
pair_short,0,False,267,8090.7677261901035,8090.767726190104,-7.982273809895261,3.079874767969748,64.04494382022472,368.5312473957729,-296.1102480460622,73,-3242.792749925372,2,-167.78402024567558,1614
price,0,False,218,5531.600537520338,5531.60053752034,-3.2694624796592597,2.5343551646139626,60.550458715596335,434.4852554290828,-359.4064625154824,63,-2833.008938426694,3,-167.78402024567558,1337
flow,0,False,208,5817.403486639168,5817.403486639167,-6.3965133608334845,2.7729751645540808,64.42307692307693,393.92395796529763,-335.6347954475905,57,-2624.2138782928623,2,-169.89386723817032,1232
hour,0,False,232,5433.647201831499,5433.647201831502,-4.542798168497745,2.341514929483314,59.48275862068966,434.4852554290828,-359.4064625154824,69,-3051.9673556694124,4,-185.33,1407
base,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
quality,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
pair,2,False,265,7742.895896428682,7742.895896428683,-8.104103571317529,2.982241124016096,63.77358490566037,381.2718771909613,-308.4193224269866,73,-3271.977639681323,2,-167.99400504668492,1601
pair_long,2,False,267,7575.559342536231,7575.559342536231,-7.510657463769071,2.8915804913139844,62.92134831460674,381.2718771909613,-308.4193224269875,75,-3362.961104673804,2,-167.99400504668492,1618
pair_short,2,False,267,7751.869088921148,7751.869088921148,-7.870911078851705,2.936053583537298,63.29588014981273,381.2718771909613,-308.4193224269866,75,-3369.7992255744966,2,-167.99400504668492,1616
price,2,False,217,5146.356086365539,5146.356086365541,-3.4839136344592214,2.347446101651549,59.907834101382484,413.9956038709074,-378.5768186292321,63,-2897.4854106361104,4,-167.99400504668492,1323
flow,2,False,208,5514.502997867365,5514.502997867369,-6.287002132630875,2.630848620289301,62.5,412.33684411824606,-341.5794061785723,59,-2725.7618970974177,2,-170.09385200857201,1233
hour,2,False,230,5054.093204796754,5054.093204796756,-4.75679520324377,2.1894784959822604,59.130434782608695,413.9956038709074,-378.57681862923164,68,-3099.103674083927,5,-185.52,1387
base,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
quality,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
