name,original_reason,n,delta,rescued,spoiled
tp5,TP,103,-346.7001799671911,2,0
tp5,MFE,62,0.0,0,0
tp5,BE,13,0.0,0,0
tp5,MH,75,0.0,0,0
tp5,MHx,14,0.0,0,0
tp5,SN,2,1.870000000000033,0,0
tp15,TP,103,-169.70724254401853,2,0
tp15,MFE,59,0.0,0,0
tp15,BE,13,0.0,0,0
tp15,MH,73,0.0,0,0
tp15,MHx,14,0.0,0,0
tp15,SN,2,1.870000000000033,0,0
protect5,TP,103,-989.8628259553749,0,0
protect5,MFE,61,712.5908987768956,12,1
protect5,BE,13,-48.07999999999999,0,5
protect5,MH,75,0.0,0,0
protect5,MHx,14,-77.64128318405517,0,0
protect5,SN,2,1.870000000000033,0,0
protect15,TP,103,-424.0499041962804,0,0
protect15,MFE,61,418.60052938293495,7,2
protect15,BE,13,-29.409999999999993,2,3
protect15,MH,75,0.0,0,0
protect15,MHx,14,-78.10128318405515,0,0
protect15,SN,2,1.870000000000033,0,0
both5,TP,103,-1170.9744170424692,2,0
both5,MFE,61,712.5908987768956,12,1
both5,BE,13,-48.07999999999999,0,5
both5,MH,75,0.0,0,0
both5,MHx,14,-77.64128318405517,0,0
both5,SN,2,1.870000000000033,0,0
both15,TP,103,-468.4672425440186,2,0
both15,MFE,61,418.60052938293495,7,2
both15,BE,13,-29.409999999999993,2,3
both15,MH,75,0.0,0,0
both15,MHx,14,-78.10128318405515,0,0
both15,SN,2,1.870000000000033,0,0
