name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
hourly,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
control,0,False,269,7928.571053608433,7928.571053608432,-7.3889463915683145,2.991068886522718,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-166.65402024567555,1629
tp5,0,False,270,7650.9834281755975,7650.983428175603,-7.4365718243975465,2.928496895006289,64.07407407407408,368.5312473957729,-307.5093172799343,75,-3330.5362822248544,2,-166.65402024567555,1544
tp15,0,False,265,7859.094350101762,7859.094350101762,-6.085649898237872,3.024017173219906,64.15094339622641,368.53124739577197,-303.6293172799342,73,-3246.1251725468496,2,-166.65402024567555,1535
protect5,0,False,275,7518.615128930746,7518.615128930742,-2.8848710692571324,2.943571974262072,65.45454545454545,367.991247395772,-292.7693172799345,77,-3448.7377066339477,2,-166.65402024567555,1540
protect15,0,False,275,7796.637681295881,7796.637681295877,-4.832318704123513,2.9925360772279497,64.72727272727272,370.14124739577164,-296.2593172799334,77,-3448.7377066339477,2,-166.65402024567555,1570
both5,0,False,275,7336.4607101234005,7336.460710123403,-3.8092898765971706,2.903737541601607,66.18181818181819,368.2973578723613,-310.8193172799347,77,-3448.7377066339477,2,-166.65402024567555,1463
both15,0,False,275,7754.987515227896,7754.987515227894,-5.692484772107231,2.989384699139783,65.45454545454545,370.14124739577164,-310.42931727993346,77,-3448.7377066339477,2,-166.65402024567555,1504
hourly,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
control,2,False,269,7586.4025350286975,7586.402535028697,-7.277464971303248,2.8499653189521723,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-166.86400504668492,1631
tp5,2,False,270,7330.414306649689,7330.414306649685,-7.325693350314175,2.7953952411146266,63.33333333333333,385.76738785548423,-321.413729554547,77,-3460.782690566977,2,-166.86400504668492,1546
tp15,2,False,265,7589.015095620462,7589.015095620462,-5.974904379538905,2.899482703674483,63.39622641509434,381.8873878554841,-317.5337295545469,75,-3373.1916710928676,2,-166.86400504668492,1537
protect5,2,False,274,7160.610960229215,7160.610960229213,-2.6390397707871136,2.823324351306848,64.23357664233576,346.7917062778333,-282.708562525444,78,-3494.4388296857387,2,-166.86400504668492,1538
protect15,2,False,275,7372.638734976892,7372.63873497689,-4.721265023110362,2.82030988867921,63.63636363636363,423.9768733069359,-361.2337295545467,79,-3582.13399671484,2,-166.86400504668492,1573
both5,2,False,274,7001.5861916464055,7001.586191646402,-3.5638083535973957,2.7910119818169954,64.96350364963503,355.1272169423564,-300.7585625254442,78,-3494.4388296857387,2,-166.86400504668492,1461
both15,2,False,275,7396.578343460432,7396.578343460432,-5.581656539567844,2.8343446188790993,64.36363636363637,429.772383971459,-375.40372955454677,79,-3582.13399671484,2,-166.86400504668492,1507
hourly,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
control,5,False,267,7020.772180315113,7020.772180315107,-6.867819684892545,2.6591725128288615,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-167.17398223679396,1630
tp5,5,False,268,6818.693047509362,6818.693047509363,-6.916952490636378,2.6201259967271002,62.31343283582089,416.9274483412901,-356.13271740654454,78,-3593.178874164472,2,-167.17398223679396,1545
tp15,5,False,265,7002.370886741625,7002.370886741626,-6.029113258373579,2.6729879492890842,62.64150943396226,413.0474483412909,-352.25271740654534,77,-3570.0859215017686,2,-167.17398223679396,1544
protect5,5,False,274,6472.3805176857595,6472.380517685759,-3.0294823142415543,2.5443158622642263,62.77372262773723,412.51659028553695,-358.3436626481416,80,-3741.698879823922,2,-167.17398223679396,1541
protect15,5,False,273,6639.591458925558,6639.591458925555,-5.1785410744452385,2.5461978359545494,60.43956043956044,450.15564504394206,-395.9827174065458,81,-3788.5079345823256,2,-167.17398223679396,1566
both5,5,False,274,6383.555224300894,6383.555224300897,-3.9547756991036893,2.531434121826394,63.503649635036496,429.58863582075537,-376.4036626481411,80,-3741.698879823922,2,-167.17398223679396,1463
both15,5,False,273,6672.99072910724,6672.990729107243,-6.039270892756667,2.562251557196915,61.172161172161175,463.34769057916037,-410.1627174065452,81,-3788.5079345823256,2,-167.17398223679396,1498
hourly,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
control,0,True,269,7871.515330759006,7871.515330759002,-8.504669240997945,2.8376112909713895,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-166.65402024567555,1629
tp5,0,True,270,7593.3877053261685,7593.387705326173,-8.552294673827177,2.7788022253411886,64.07407407407408,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-166.65402024567555,1544
tp15,0,True,265,7804.738627252333,7804.738627252333,-7.201372747667504,2.865194722670434,64.15094339622641,393.7191407811533,-328.9853117125922,73,-3538.8688480654964,2,-166.65402024567555,1535
protect5,0,True,275,7514.67258596295,7514.672585962944,-3.397414037055703,2.8045495732513763,65.45454545454545,367.991247395772,-292.7693172799345,77,-3741.481382152594,2,-166.65402024567555,1540
