name,side,origin_bar,original_exit_bar,original_reason,original_net,retry_entry_bar,retry_net,retry_reason
re12,L,1396,1402,MH,-5.85,1411,73.85148585899012,MFE
re12,L,3568,3571,TP,148.92,3583,8.74,MFE
re12,L,3608,3611,MFE,-22.32,3618,59.94235844715258,MHx
re12,L,5081,5087,MFE,43.72732161658876,5096,-145.26,SN
re12,S,5625,5626,TP,72.97,5634,-51.09264195385642,MH
re12,L,5790,5796,MH,-61.414452234375,5808,53.05428249277559,MFE
re12,L,6166,6167,MFE,40.91,6173,-153.36,SN
re12,L,8813,8819,MFE,60.12,8825,71.83611273852325,MHx
re12,L,9843,9849,MH,-43.43649404600532,9859,133.22441869251497,MHx
re12,S,10858,10864,TP,61.67965362546105,10872,58.50116800073195,TP
re12,L,11347,11353,MH,-24.22000599256355,11364,-22.81,MH
re12,L,17012,17018,MH,-41.91,17028,-15.83,MH
re24,S,417,422,TP,60.30062107569949,443,-40.89405636014669,MH
re24,S,890,900,TP,30.899750260145684,915,-15.061175376252171,MH
re24,L,1396,1402,MH,-5.85,1411,73.85148585899012,MFE
re24,S,1584,1586,TP,79.16,1600,-78.69295797431184,MH
re24,S,1900,1903,TP,86.53,1926,-171.09,SN
re24,S,2128,2131,TP,25.4,2145,-177.71,SN
re24,L,2598,2599,MFE,18.45,2612,-67.16,MH
re24,S,2621,2633,MHx,39.61048804353377,2647,85.59917815590074,TP
re24,L,3568,3571,TP,148.92,3583,8.74,MFE
re24,L,3608,3611,MFE,-22.32,3618,59.94235844715258,MHx
re24,S,3635,3636,TP,57.80491671542466,3660,57.52,TP
re24,L,3725,3731,MFE,5.37,3755,-100.93056965791868,MH
re24,S,4975,4977,TP,71.47,4990,-7.225369722297054,MH
re24,L,5081,5087,MFE,43.72732161658876,5096,-145.26,SN
re24,S,5625,5626,TP,72.97,5634,-51.09264195385642,MH
re24,L,5790,5796,MH,-61.414452234375,5808,53.05428249277559,MFE
re24,L,6166,6167,MFE,40.91,6173,-153.36,SN
re24,L,7779,7783,MFE,-3.3750996282391914,7799,-31.90323575212841,MH
re24,S,8666,8677,TP,67.33012066117392,8699,-50.74994581634278,MH
re24,L,8813,8819,MFE,60.12,8825,71.83611273852325,MHx
re24,L,8975,8981,BE,-20.96498356164868,8994,49.32121155872617,MFE
re24,S,9626,9627,TP,61.79,9648,66.62200677718485,TP
re24,S,9792,9793,TP,69.64,9811,56.43108288444376,TP
re24,S,9822,9834,TP,93.17578202527356,9857,-165.87422143019324,SN
re24,L,9843,9849,MH,-43.43649404600532,9859,133.22441869251497,MHx
re24,S,10306,10310,TP,63.50143455484156,10331,81.50566578197649,TP
re24,L,10471,10478,MFE,86.84972659898285,10492,-27.21,MH
re24,S,10490,10501,TP,85.8514001074663,10514,42.00394747660367,TP
re24,S,10858,10864,TP,61.67965362546105,10872,58.50116800073195,TP
re24,L,11190,11194,TP,152.77,11208,54.644289881526426,MFE
re24,L,11347,11353,MH,-24.22000599256355,11364,-22.81,MH
