name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
base,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
wait6,0,False,94,1922.0746171216824,1922.0746171216829,3.2946171216828914,2.1411801830830797,60.63829787234043,366.591001007921,-319.4139502982523,26,-1123.4020849426538,2,-169.89386723817032,527
wait12,0,False,108,1651.7322709524399,1651.73227095244,3.6422709524401045,1.7576547532665723,56.481481481481474,366.5910010079209,-319.4139502982522,36,-1509.006178720363,3,-169.89386723817032,614
wait24,0,False,113,1437.1354378179135,1437.135437817913,4.955437817913137,1.558106425878307,54.86725663716814,368.4649485183304,-319.4139502982522,39,-1739.6556585613139,4,-169.89386723817032,666
re12,0,False,269,7916.531335151196,7916.531335151194,-6.758664848805221,2.9194395062784007,63.56877323420075,335.81498941216796,-232.78505398355537,74,-3224.0760198218263,4,-167.78402024567558,1643
re24,0,False,287,7389.527643270515,7389.527643270515,-3.352356729484387,2.4337726867735605,61.672473867595826,404.65127957092955,-234.5380553373907,83,-3730.10277605354,7,-177.71,1767
re48,0,False,291,7172.987353275748,7172.98735327575,-4.232646724250381,2.3370790413247575,60.824742268041234,404.65127957092864,-234.5380553373907,85,-3763.477691802533,8,-177.71,1789
outside12,0,False,359,6172.373516323076,6172.373516323075,-1.2664836769254024,1.862805381031733,56.26740947075209,409.3604492840516,-306.6567659273369,118,-5321.273248609383,9,-176.82,2305
outside24,0,False,358,5444.435544848153,5444.435544848156,-4.854455151844953,1.7207923559148575,55.02793296089386,464.6201586754364,-306.6567659273371,119,-5352.830644717571,11,-177.71,2297
outside48,0,False,359,5544.86478626238,5544.864786262382,-4.945213737617614,1.7402391398091204,54.874651810584965,464.6201586754364,-306.6567659273371,119,-5288.486920507987,11,-177.71,2302
base,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
wait6,2,False,94,1756.7978472272932,1756.7978472272932,3.297847227293583,2.0089666063770792,58.51063829787234,371.57406169767586,-325.2066844634541,26,-1165.0109044064945,2,-170.09385200857201,528
wait12,2,False,108,1465.515589868707,1465.5155898687074,3.6455898687077752,1.6508780724565164,54.629629629629626,371.57406169767586,-325.2066844634541,36,-1566.654784631351,3,-170.09385200857201,615
wait24,2,False,111,1241.607222599353,1241.6072225993532,4.977222599353773,1.4759277170012162,53.153153153153156,384.394928376792,-325.20668446345417,38,-1759.3501766474892,4,-170.09385200857201,644
re12,2,False,269,7605.322855619342,7605.322855619339,-6.6471443806615,2.794188603627457,62.825278810408925,356.64476097419265,-245.22903063737976,76,-3352.8224532508016,4,-167.99400504668492,1649
re24,2,False,284,7046.476910819514,7046.476910819511,-3.5530891804882483,2.3500490223841632,61.267605633802816,430.24019052262247,-247.68289500379888,82,-3795.7701969035666,7,-177.92,1744
re48,2,False,288,6833.036719203077,6833.036719203075,-4.433280796923683,2.259059016120302,60.416666666666664,430.24019052262247,-247.68289500379888,85,-3837.7552430911305,8,-177.92,1765
outside12,2,False,357,5832.590126896139,5832.590126896137,-0.4398731038625896,1.800396345196234,55.74229691876751,422.3812734127789,-319.8364306810902,117,-5436.907095748081,9,-177.03,2300
outside24,2,False,356,4975.649207194746,4975.649207194745,-4.9207928052547025,1.6488655079190249,54.21348314606742,486.7192427670293,-319.8364306810904,119,-5448.004712982829,11,-177.92,2291
outside48,2,False,358,5022.914226157237,5022.914226157236,-5.275773842763531,1.654756874155124,54.18994413407822,486.7192427670293,-319.8364306810904,119,-5448.004712982829,11,-177.92,2304
base,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
wait6,5,False,90,1378.3309507444703,1378.3309507444703,3.870950744470185,1.7029563711854252,56.666666666666664,379.0336728573202,-333.88019888463805,26,-1227.479133088948,3,-170.4138291527467,515
wait12,5,False,104,1096.848826654065,1096.8488266540644,4.218826654064558,1.439940511549311,52.88461538461539,379.0336728573201,-333.88019888463793,36,-1653.2126929190272,4,-170.4138291527467,608
wait24,5,False,107,753.0844831557515,753.0844831557507,5.184483155750838,1.2633220314691964,51.4018691588785,437.6397788367633,-333.88019888463805,39,-1857.4813606215134,5,-170.4138291527467,632
re12,5,False,270,7043.783380861838,7043.783380861836,-6.636619138164529,2.576361083273538,62.59259259259259,400.160631407909,-280.368895590027,77,-3542.433034170023,4,-168.31398223679395,1659
re24,5,False,285,6457.848106482519,6457.848106482519,-3.5418935174806467,2.181860397846532,61.40350877192983,480.9047694743358,-281.2319090258752,83,-3999.7103443477313,7,-178.24,1753
re48,5,False,289,6204.01806230159,6204.018062301588,-4.421937698412132,2.0860413485201126,60.207612456747405,480.9047694743367,-281.2319090258752,85,-3917.604872548039,9,-178.24,1774
outside12,5,False,356,5018.204165134627,5018.204165134627,-1.755834865372913,1.6670048333653937,55.33707865168539,468.2678286300106,-361.1053923863112,117,-5609.184600452307,9,-173.7090627360943,2302
outside24,5,False,359,4291.086714381795,4291.086714381793,-4.653285618207052,1.5366401836318855,54.038997214484674,520.6986569476253,-367.94138988415807,120,-5711.239364157053,11,-178.24,2327
outside48,5,False,361,4333.531839785377,4333.531839785375,-5.008160214625174,1.5415704156600487,54.016620498614955,520.6986569476253,-367.94138988415807,120,-5711.239364157053,11,-178.24,2340
base,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
wait6,0,True,94,1969.8003252849207,1969.8003252849214,3.4103252849215577,2.0833642925309652,60.63829787234043,366.591001007921,-319.4139502982523,26,-1225.7706366376244,2,-169.89386723817032,527
wait12,0,True,108,1699.4579791156784,1699.4579791156789,3.7579791156787703,1.7344250546085325,56.481481481481474,366.5910010079209,-319.4139502982522,36,-1611.3747304153337,3,-169.89386723817032,614
wait24,0,True,113,1457.5514761701065,1457.5514761701063,5.271476170106225,1.5333723775132975,54.86725663716814,368.4649485183304,-319.4139502982522,39,-1865.7742102562845,4,-169.89386723817032,666
re12,0,True,269,7835.725612301769,7835.725612301765,-7.8743876982348535,2.7609804039501404,63.56877323420075,433.29914078115235,-368.5653117125912,74,-3540.569695340473,4,-167.78402024567558,1643
re24,0,True,287,7308.721920421086,7308.721920421086,-4.468079578914019,2.3339164148040346,61.672473867595826,433.29914078115235,-368.5653117125921,83,-4046.596451572187,7,-177.71,1767
re48,0,True,291,7092.181630426318,7092.18163042632,-5.348369573680014,2.24644873646615,60.824742268041234,433.29914078115326,-368.5653117125921,85,-4079.9713673211795,8,-177.71,1789
outside12,0,True,359,6168.771054708943,6168.771054708942,-1.868945291058437,1.81921814345322,56.26740947075209,469.5695873236464,-382.6270708681259,118,-5697.502411696338,9,-176.82,2305
outside24,0,True,358,5328.008350331242,5328.0083503312435,-5.871649668756428,1.6712256866686857,55.02793296089386,657.6108088282763,-471.9241784868209,119,-5737.157207879756,11,-177.71,2297
outside48,0,True,359,5428.437591745469,5428.437591745471,-5.962408254529088,1.6893283499857532,54.874651810584965,657.6108088282763,-471.9241784868218,119,-5672.813483670172,11,-177.71,2302
base,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
wait6,2,True,94,1790.1637149169335,1790.163714916934,3.41371491693404,1.9510492906390269,58.51063829787234,371.57406169767586,-325.2066844634541,26,-1272.169402856146,2,-170.09385200857201,528
wait12,2,True,108,1498.8814575583474,1498.881457558348,3.7614575583482313,1.6264351118180347,54.629629629629626,371.57406169767586,-325.2066844634541,36,-1673.8132830810023,3,-170.09385200857201,615
wait24,2,True,113,1266.5549247877134,1266.5549247877136,5.274924787713948,1.4493134396828564,53.09734513274337,384.394928376792,-325.20668446345417,39,-1935.442696021656,4,-170.09385200857201,666
re12,2,True,269,7494.887648657059,7494.887648657056,-7.762351342943486,2.636502212889238,62.825278810408925,476.54637083770376,-400.91862706701613,76,-3683.725969472693,4,-167.99400504668492,1649
re24,2,True,287,6935.354465966291,6935.354465966289,-4.355534033711013,2.2313280841428917,60.97560975609756,476.54637083770376,-400.91862706701613,84,-4198.712212236119,7,-177.92,1774
re48,2,True,291,6721.914274349854,6721.914274349853,-5.235725650146448,2.1509943797666975,60.13745704467354,476.54637083770376,-400.91862706701704,87,-4240.697258423684,8,-177.92,1795
outside12,2,True,357,5795.348211266192,5795.34821126619,-1.0417887338092284,1.7545355996122025,55.74229691876751,520.4750014400552,-413.3866009429694,117,-5829.946060628013,9,-177.03,2300
outside24,2,True,356,4830.442463133818,4830.442463133817,-5.937536866182876,1.598578881296599,54.21348314606742,700.3863821583591,-504.64371313922493,119,-5849.111064954463,11,-177.92,2291
outside48,2,True,358,4877.707482096309,4877.707482096308,-6.292517903691706,1.6041970308373525,54.18994413407822,700.3863821583591,-504.64371313922493,119,-5849.111064954463,11,-177.92,2304
base,5,True,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632
wait6,5,True,90,1390.1870577411537,1390.1870577411535,3.987057741153308,1.6580295002242698,56.666666666666664,379.0336728573202,-333.88019888463805,26,-1341.8275516478757,3,-170.4138291527467,515
wait12,5,True,104,1108.7049336507482,1108.7049336507475,4.334933650747681,1.419160006068684,52.88461538461539,379.0336728573201,-333.88019888463793,36,-1767.561111477955,4,-170.4138291527467,608
wait24,5,True,109,749.3623590546842,749.3623590546835,5.482359054683513,1.242766670854729,51.37614678899083,481.5222672472818,-333.88019888463805,40,-2046.763753287826,5,-170.4138291527467,654
re12,5,True,270,6935.6889475631915,6935.688947563188,-7.751052436812679,2.4360561691422506,62.59259259259259,541.4098205508499,-449.44211307132355,77,-3898.403348215722,4,-168.31398223679395,1659
re24,5,True,288,6341.866529168502,6341.866529168501,-4.34347083149907,2.0744715292946667,61.111111111111114,541.4098205508499,-449.44211307132355,85,-4432.559024987568,7,-178.24,1783
re48,5,True,292,6088.036484987573,6088.03648498757,-5.223515012430556,1.9898150610161787,59.93150684931506,541.4098205508508,-449.44211307132355,87,-4350.4535531878755,9,-178.24,1804
outside12,5,True,356,4930.403068390878,4930.403068390878,-2.356931609122583,1.6204008905138383,55.33707865168539,596.8366263003309,-459.5043969691742,117,-6027.493267872973,9,-173.7090627360943,2302
outside24,5,True,359,4102.660645852498,4102.6606458524975,-5.669354147503002,1.486798004188143,54.038997214484674,764.5382459429088,-553.7130152787158,120,-6137.5553993377325,11,-178.24,2327
outside48,5,True,361,4145.1057712560805,4145.105771256079,-6.024228743921125,1.4915088741076774,54.016620498614955,764.5382459429084,-553.7130152787158,120,-6137.5553993377325,11,-178.24,2340
