period,side,sync,n,net,wr,mh,mh_net,wins,winning_net,losing_net
full,ALL,True,266,7886.635155516042,63.53383458646616,75,-3330.5362822248544,169,11850.338108481003,-3963.7029529649612
full,ALL,False,3,40.06589809238983,33.33333333333333,0,0.0,1,60.30062107569949,-20.234722983309656
full,L,True,136,3942.975664997232,63.970588235294116,33,-1413.301178230457,87,5760.860757923646,-1817.8850929264136
full,L,False,2,-20.234722983309656,0.0,0,0.0,0,0.0,-20.234722983309656
full,S,True,130,3943.6594905188103,63.07692307692307,42,-1917.2351039943974,82,6089.4773505573585,-2145.817860038548
full,S,False,1,60.30062107569949,100.0,0,0.0,1,60.30062107569949,0.0
early,ALL,True,178,5753.71167518264,65.73033707865169,43,-1992.5949654500373,117,8300.652910133773,-2546.941234951133
early,ALL,False,2,40.80062107569949,50.0,0,0.0,1,60.30062107569949,-19.5
early,L,True,94,2655.7178364493057,63.829787234042556,22,-1031.7239708814523,60,4013.2053207877034,-1357.4874843383977
early,L,False,1,-19.5,0.0,0,0.0,0,0.0,-19.5
early,S,True,84,3097.993838733335,67.85714285714286,21,-960.8709945685853,57,4287.447589346071,-1189.4537506127356
early,S,False,1,60.30062107569949,100.0,0,0.0,1,60.30062107569949,0.0
late,ALL,True,88,2132.923480333401,59.09090909090909,32,-1337.941316774817,52,3549.6851983472284,-1416.761718013828
late,ALL,False,1,-0.7347229833096558,0.0,0,0.0,0,0.0,-0.7347229833096558
late,L,True,42,1287.2578285479258,64.28571428571429,11,-381.57720734900465,27,1747.6554371359416,-460.3976085880158
late,L,False,1,-0.7347229833096558,0.0,0,0.0,0,0.0,-0.7347229833096558
late,S,True,46,845.665651785475,54.347826086956516,21,-956.3641094258123,25,1802.0297612112872,-956.3641094258123
late,S,False,0,0.0,,0,0.0,0,0.0,0.0
recent,ALL,True,35,543.664850520517,54.285714285714285,15,-672.7022623490013,19,1233.851263683355,-690.186413162838
recent,ALL,False,0,0.0,,0,0.0,0,0.0,0.0
recent,L,True,17,376.4733019942542,70.58823529411765,4,-209.32162021035143,12,603.2790730184423,-226.8057710241881
recent,L,False,0,0.0,,0,0.0,0,0.0,0.0
recent,S,True,18,167.19154852626306,38.88888888888889,11,-463.38064213864993,7,630.5721906649129,-463.38064213864993
recent,S,False,0,0.0,,0,0.0,0,0.0,0.0
