name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
base,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631
both,0,False,269,7896.498196304004,7896.498196304003,-7.63180369599775,2.9812932866343336,63.56877323420075,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1641
long,0,False,269,7938.361528374443,7938.361528374443,-7.788471625556872,2.991797124756671,63.56877323420075,368.53124739577197,-296.1102480460613,75,-3330.5362822248544,2,-167.78402024567558,1636
short,0,False,269,7884.837721537992,7884.837721537991,-7.232278462009193,2.9791568952346155,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1636
base,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633
both,2,False,269,7554.299788953191,7554.29978895319,-7.520211046809818,2.841302056661632,62.825278810408925,381.2718771909613,-308.4193224269866,77,-3460.782690566977,2,-167.99400504668492,1643
long,2,False,269,7596.183089683776,7596.183089683776,-7.676910316222822,2.8515107867795155,62.825278810408925,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1638
short,2,False,269,7542.64923429811,7542.649234298109,-7.120765701890242,2.8384576098095597,62.45353159851301,381.27187719096037,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1638
base,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
both,5,False,267,7000.84960104662,7000.849601046615,-7.110398953385024,2.65946471712336,61.79775280898876,409.01011092362023,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1639
long,5,False,267,7042.752854743909,7042.752854743904,-7.267145256095501,2.6693973645884514,61.79775280898876,409.0101109236193,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1634
short,5,False,267,6976.9889266178225,6976.988926617818,-6.711073382182068,2.6480932789974347,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1637
base,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
both,0,True,269,7839.442473454575,7839.442473454573,-8.74752654542738,2.828647009438948,63.56877323420075,393.7191407811515,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1641
long,0,True,269,7881.305805525017,7881.305805525013,-8.904194474986502,2.8384121499135393,63.56877323420075,393.7191407811506,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1636
short,0,True,269,7827.781998688564,7827.781998688561,-8.348001311438823,2.8266043015911073,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1636
base,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
both,2,True,269,7470.004581990907,7470.004581990908,-8.635418009091804,2.690998528055427,62.825278810408925,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1643
long,2,True,269,7511.887882721494,7511.887882721495,-8.79211727850481,2.700479727043748,62.825278810408925,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1638
short,2,True,269,7458.354027335827,7458.354027335828,-8.23597266417223,2.6883571498495598,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1638
base,5,True,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632
both,5,True,267,6882.925167747972,6882.925167747966,-8.224832252033174,2.512625832463429,61.79775280898876,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1639
long,5,True,267,6924.8284214452615,6924.828421445256,-8.381578554743651,2.5218346996909555,61.79775280898876,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1634
short,5,True,267,6859.064493319174,6859.06449331917,-7.825506680830218,2.502550976198348,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1637
