repeat,net,delta,wr,mdd,n
0,5146.938218331135,-2779.762835277297,62.616822429906534,300.5573299159205,214
1,4654.933245951512,-3271.767807656921,60.09852216748769,414.23254256325936,203
2,6139.403576383748,-1787.2974772246844,63.541666666666664,283.1647595515615,192
3,5214.414827788393,-2712.2862258200394,63.5,312.5710340264859,200
4,4349.313690298923,-3577.38736330951,61.37566137566137,349.79034940590145,189
5,4279.224640197403,-3647.47641341103,60.40609137055838,346.13301367032136,197
6,4506.304639955014,-3420.3964136534187,63.387978142076506,505.724588968013,183
7,3498.297407695299,-4428.403645913133,60.54054054054055,492.75062058908543,185
8,5105.406745292825,-2821.294308315608,63.1578947368421,365.669636114013,190
9,4364.603360841089,-3562.0976927673437,57.61904761904761,364.7442733251046,210
10,5120.255420577594,-2806.4456330308385,62.189054726368155,378.92980218308185,201
11,4898.134081521821,-3028.5669720866117,62.37623762376238,258.5104848306137,202
12,5148.590400166564,-2778.1106534418686,61.19402985074627,285.7342341889158,201
13,5270.853260339719,-2655.8477932687138,59.90338164251207,413.85021236568264,207
14,4591.346615851991,-3335.3544377564413,55.55555555555556,450.6894738482117,198
15,5339.877492907746,-2586.8235607006864,60.29411764705882,261.6789220038095,204
16,4675.591855824496,-3251.109197783937,60.591133004926114,476.9107061269185,203
17,3784.944959173216,-4141.756094435217,58.46153846153847,405.5164187286101,195
18,3928.99356564452,-3997.7074879639126,58.97435897435898,380.1467383141289,195
19,5118.172071390418,-2808.528982218015,61.88118811881188,359.63267354779055,202
20,4139.046558260955,-3787.6544953474777,57.920792079207914,336.1922893102237,202
21,5353.568417204607,-2573.132636403826,63.54679802955665,338.03790593381154,203
22,4040.0748345933607,-3886.626219015072,58.94736842105262,337.82994308979266,190
23,4742.211729763262,-3184.4893238451705,58.65384615384615,386.2926523240533,208
24,3663.1075504916903,-4263.593503116743,60.84656084656085,364.1495277399943,189
25,5064.678253503616,-2862.0228001048163,62.87128712871287,299.85959906374273,202
26,3902.7318881509555,-4023.969165457477,58.2089552238806,339.25483112480424,201
27,5761.370753565546,-2165.330300042887,62.13592233009708,342.89807685088294,206
28,4439.23313753706,-3487.467916071372,59.5,336.0639185539103,200
29,4876.10433883937,-3050.5967147690626,61.30653266331658,396.9746492937106,199
30,5845.488779927347,-2081.212273681085,65.19607843137256,383.54091550555677,204
