side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.5226320217127325,4.0,2627.03,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2627.03,2646.25,-0.732,-33.26,MH,10,0.734,-1.529,33.3,MILD_UP,0.19302238923803686,0.19302238923803686,0.19302238923803686,-33.06697761076196,1
S,200.0,1.5505558742809298,4.0,2579.72,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.72,2523.54,2.178,83.11,TP,2,3.866,-0.423,1.0,MILD_UP,0.32868175993197574,0.0,0.32868175993197574,83.43868175993198,2
S,200.0,1.6428454082470838,4.0,2434.8,748,759,2024-10-09 16:00:00,2024-10-10 03:00:00,2434.8,2414.24,0.844,29.78,BE,11,1.101,-1.513,19.2,DOWN,0.40419582717266306,0.40419582717266306,0.5498027652823592,30.184195827172665,3
S,200.0,1.5163921996785248,4.0,2637.84,1053,1063,2024-10-22 09:00:00,2024-10-22 19:00:00,2637.84,2632.46,0.204,4.16,MHx,10,0.942,-0.825,34.3,UP,0.40132973810541955,0.40132973810541955,0.40132973810541955,4.56132973810542,4
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11,5
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666,5
L,200.0,1.637787022175636,4.0,2442.32,1396,1402,2024-11-05 16:00:00,2024-11-05 22:00:00,2442.32,2441.19,-0.046,-5.85,MH,6,0.215,-0.538,9.1,SIDE,0.0,-0.4000151296783386,0.0,-5.85,6
L,200.0,1.5184414716734742,4.0,2634.28,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,7
L,200.0,1.175899930915879,4.0,3401.65,1876,1879,2024-11-25 16:00:00,2024-11-25 19:00:00,3401.65,3504.57,3.026,117.02,TP,3,3.83,-0.083,22.2,MILD_UP,0.0,-0.9574028145164846,0.0,117.02,8
S,200.0,1.1775164999499554,4.0,3396.98,1900,1903,2024-11-26 16:00:00,2024-11-26 19:00:00,3396.98,3320.1,2.263,86.53,TP,3,2.354,-0.084,29.3,MILD_UP,0.0,0.0,0.49080144481274535,86.53,8
