repeat,net,delta,wr,mdd,n
0,6034.605344904583,-1892.0957087038496,59.57446808510638,354.1700097777002,235
1,7002.250692544628,-924.4503610638048,62.655601659751035,335.81498941216887,241
2,6684.028409176026,-1242.6726444324067,60.0,327.1524467556992,245
3,6569.8752700064615,-1356.8257836019711,62.447257383966246,341.7477282312061,237
4,6808.555406971917,-1118.1456466365153,63.37448559670782,311.16132218906205,243
5,6326.750931302168,-1599.9501223062643,60.16597510373444,311.8211870339901,241
6,5640.278319873904,-2286.4227337345283,61.94690265486725,372.93125989668624,226
7,6800.448423996828,-1126.2526296116048,59.756097560975604,375.2594890331693,246
8,6384.1597421676015,-1542.5413114408311,60.65573770491803,369.84446866763665,244
9,6525.641501751646,-1401.059551856787,61.78861788617886,365.9868526634964,246
10,6484.982374281035,-1441.7186793273977,61.25000000000001,335.67019223560874,240
11,7333.528683732969,-593.172369875464,63.26530612244898,354.1700097777002,245
12,6671.85595430824,-1254.8450993001925,62.5,380.41244675570033,248
13,6091.1025477613375,-1835.598505847095,61.63265306122449,341.7477282312061,245
14,6900.399165715909,-1026.301887892524,60.96491228070175,350.6332612101587,228
15,5827.930832433715,-2098.7702211747173,60.816326530612244,346.02487687609505,245
16,6718.799939230179,-1207.9011143782536,63.33333333333333,335.81498941216887,240
17,6537.43643337027,-1389.264620238163,60.40816326530612,400.30338194731576,245
18,6629.654767707071,-1297.0462859013614,61.50627615062761,365.9533819473154,239
19,6971.004200795697,-955.6968528127354,63.86554621848739,329.8766168010734,238
20,6253.942672142724,-1672.7583814657082,61.18143459915611,319.74338194731536,237
21,6797.5633774338085,-1129.1376761746242,60.4,361.6291953232412,250
22,6890.708952229352,-1035.9921013790809,62.5,368.53124739577197,240
23,7069.0971508208195,-857.6039027876132,60.317460317460316,365.9868526634964,252
24,6496.16374735643,-1430.537306252003,61.15702479338842,366.1473558913631,242
25,6793.333027389122,-1133.3680262193102,62.24066390041494,343.27417495770896,241
26,7017.694982605722,-909.006071002711,63.05220883534136,350.6332612101587,249
27,5950.250780455722,-1976.450273152711,59.148936170212764,365.9533819473154,235
28,6668.660654896472,-1258.0403987119607,62.295081967213115,335.81498941216796,244
29,6814.004601587021,-1112.6964520214115,62.60504201680672,370.1649894121683,238
30,6921.771836795977,-1004.9292168124557,62.06896551724138,354.1700097777011,232
31,6999.796686946695,-926.9043666617372,62.75303643724697,350.6332612101596,247
32,6040.377398288132,-1886.3236553203005,60.83333333333333,335.67019223560874,240
33,6279.324663845959,-1647.376389762474,62.44541484716157,356.90446866763705,229
34,7190.965981604951,-735.735072003482,62.44897959183674,365.9533819473154,245
35,6132.025767015276,-1794.6752865931567,60.33057851239669,373.4460382090374,242
36,7040.123579395856,-886.5774742125768,61.6600790513834,341.7477282312061,253
37,7535.607463285621,-391.0935903228119,63.91304347826087,338.0578381243213,230
38,6987.534856756905,-939.1661968515273,63.86554621848739,350.4884640335995,238
39,6455.166794571205,-1471.5342590372275,61.016949152542374,356.90446866763705,236
40,6694.528375708806,-1232.1726778996263,63.71308016877637,341.74772823120566,237
41,6956.0116030438485,-970.6894505645841,61.885245901639344,404.0264987556734,244
42,6813.913086012443,-1112.7879675959894,61.47540983606557,373.4125674928555,244
43,7367.637197312008,-559.063856296425,62.76150627615063,341.7477282312061,239
44,6524.649025041239,-1402.0520285671937,60.72874493927125,341.7477282312061,247
45,6943.983856766685,-982.7171968417479,62.8,318.62050773460214,250
46,6834.472388768067,-1092.228664840366,60.58091286307054,368.5312473957729,241
47,7258.858156302244,-667.8428973061882,64.01673640167364,335.81498941216796,239
48,5653.788729399326,-2272.9123242091064,61.18143459915611,349.56741565422635,237
49,6674.249041470212,-1252.4520121382202,60.90534979423868,341.7477282312061,243
50,6730.6709273624865,-1196.0301262459461,62.096774193548384,371.7227404656278,248
51,6774.294320962554,-1152.406732645879,60.72874493927125,335.81498941216796,247
52,7178.209212172249,-748.4918414361837,62.24066390041494,310.694468667637,241
53,6460.968200410177,-1465.7328531982557,62.06896551724138,343.12937778114974,232
54,6362.1125020695845,-1564.5885515388482,60.16597510373444,368.5312473957729,241
55,6877.125350207982,-1049.575703400451,61.63265306122449,335.81498941216887,245
56,6535.373792388125,-1391.3272612203073,60.851063829787236,335.81498941216887,235
57,6682.484176791223,-1244.2168768172096,61.63265306122449,354.1700097777002,245
58,6303.743076250479,-1622.9579773579535,61.27659574468085,420.6626292799938,235
59,6490.975974512463,-1435.7250790959697,61.224489795918366,335.67019223560874,245
60,6581.32110502476,-1345.3799485836726,60.40816326530612,357.560159433835,245
61,6636.025427110349,-1290.675626498084,60.83333333333333,335.81498941216887,240
62,6381.8951347582315,-1544.8059188502011,62.727272727272734,341.7477282312059,220
63,6476.504728838104,-1450.1963247703288,59.75103734439834,380.93186214474827,241
64,6599.46975664373,-1327.2312969647028,61.34453781512605,370.49288904932655,238
65,6022.933870091783,-1903.7671835166493,60.40816326530612,342.757626693985,245
66,7218.997397722013,-707.7036558864193,63.45381526104418,336.1753041012157,249
67,6470.257177655441,-1456.4438759529912,58.50622406639005,335.81498941216796,241
68,6425.940768442183,-1500.7602851662496,61.016949152542374,361.0641862308503,236
69,6280.20241580379,-1646.4986378046424,63.04347826086957,354.1700097777002,230
70,7018.497917380412,-908.2031362280204,62.655601659751035,311.8211870339901,241
71,7320.453333998324,-606.247719610109,61.904761904761905,348.55532715359277,252
72,6294.456160666831,-1632.2448929416014,61.50627615062761,354.0966227936369,239
73,6676.95865674779,-1249.7423968606427,61.1336032388664,335.81498941216796,247
74,6344.97983449664,-1581.7212191117924,60.25104602510461,354.1700097777011,239
75,6044.640191873572,-1882.0608617348607,59.74025974025974,335.81498941216796,231
76,6444.914852781692,-1481.7862008267402,61.1336032388664,387.04286120278357,247
77,6597.818093457788,-1328.882960150645,61.94690265486725,311.8211870339901,226
78,5814.1869556152105,-2112.514097993222,61.50627615062761,387.27314734643915,239
79,7263.427133878661,-663.2739197297715,64.13502109704642,365.9868526634964,237
80,6861.553719428693,-1065.14733417974,60.851063829787236,375.2594890331693,235
81,7226.180560350209,-700.5204932582237,62.903225806451616,342.757626693985,248
82,6113.86701078198,-1812.8340428264528,58.89830508474576,354.1700097777011,236
83,6975.731143127658,-950.9699104807751,60.65573770491803,368.53124739577197,244
84,6448.2751511478555,-1478.4259024605772,60.42553191489362,356.90446866763705,235
85,7409.332725029888,-517.3683285785446,63.07053941908713,335.67019223560874,241
86,6964.720674097769,-961.9803795106636,63.793103448275865,335.81498941216796,232
87,6318.061360103816,-1608.6396935046168,60.0,361.0641862308503,235
88,6331.4486921654325,-1595.2523614430002,62.93103448275862,342.75762669398546,232
89,6921.576712479809,-1005.1243411286232,62.083333333333336,335.81498941216796,240
90,6983.551298628008,-943.1497549804244,60.8,335.81498941216796,250
91,6827.695345873709,-1099.0057077347237,62.19512195121951,356.90446866763705,246
92,6757.227365539933,-1169.4736880684995,60.33057851239669,359.2653271535928,242
93,6538.230981769643,-1388.4700718387894,61.60337552742617,335.81498941216887,237
94,7093.988830135971,-832.712223472462,61.943319838056674,365.80858477075617,247
95,6353.559873841145,-1573.1411797672872,60.59322033898306,329.8766168010743,236
96,5845.462155809305,-2081.2388977991277,60.245901639344254,387.77405814475014,244
97,6709.6681542642345,-1217.032899344198,61.50627615062761,335.81498941216887,239
98,7043.061062450086,-883.6399911583467,62.55144032921811,342.757626693985,243
99,6174.594010890352,-1752.1070427180803,61.50627615062761,344.3723663972696,239
