side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
L,200.0,1.637787022175636,4.0,2442.32,1396,1402,2024-11-05 16:00:00,2024-11-05 22:00:00,2442.32,2441.19,-0.046,-5.85,MH,6,0.215,-0.538,9.1,SIDE,0.0,-0.4000151296783386,0.0,-5.85,1
L,200.0,1.5184414716734742,4.0,2634.28,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,2
L,200.0,1.175899930915879,4.0,3401.65,1876,1879,2024-11-25 16:00:00,2024-11-25 19:00:00,3401.65,3504.57,3.026,117.02,TP,3,3.83,-0.083,22.2,MILD_UP,0.0,-0.9574028145164846,0.0,117.02,3
L,200.0,1.1002855240935023,4.0,3635.42,2083,2087,2024-12-04 07:00:00,2024-12-04 11:00:00,3635.42,3651.03,0.429,13.18,MFE,4,2.101,-0.592,11.1,MILD_UP,-0.7454401470886075,-0.7454401470886075,-0.7454401470886075,12.434559852911391,4
L,200.0,1.031097913057824,4.0,3879.36,2279,2281,2024-12-12 11:00:00,2024-12-12 13:00:00,3879.36,3907.74,0.732,25.26,MFE,2,1.76,-0.807,22.2,MILD_UP,0.0,0.0,0.0,25.26,5
L,200.0,1.1581345926116804,4.0,3453.83,2579,2581,2024-12-24 23:00:00,2024-12-25 01:00:00,3453.83,3478.26,0.707,24.29,MFE,2,1.839,-0.35,23.2,DOWN,-0.11148045488148971,-0.11148045488148971,-0.11148045488148971,24.178519545118508,6
L,200.0,1.2746931972810793,4.0,3138.01,3070,3078,2025-01-14 10:00:00,2025-01-14 18:00:00,3138.01,3242.52,3.33,129.22,MHx,8,3.755,-0.244,22.2,DOWN,-0.30115578063804765,-0.30115578063804765,-0.30115578063804765,128.91884421936194,7
L,200.0,1.4417895491884527,4.0,2774.33,3658,3662,2025-02-07 22:00:00,2025-02-08 02:00:00,2774.33,2672.94,-3.655,-150.18,SN,4,0.785,-4.118,22.2,DOWN,0.046953797306073755,0.046953797306073755,0.046953797306073755,-150.13304620269395,8
L,200.0,1.491296421261413,4.0,2682.23,3814,3817,2025-02-14 10:00:00,2025-02-14 13:00:00,2682.23,2698.39,0.602,20.1,MFE,3,1.434,-0.132,24.2,DOWN,0.0,0.0,0.0,20.1,9
L,200.0,1.4575347257648412,4.0,2744.36,3967,3974,2025-02-20 19:00:00,2025-02-21 02:00:00,2744.36,2734.17,-0.371,-18.85,MH,7,0.952,-1.411,0.0,MILD_UP,-0.25307913903423745,-0.25307913903423745,-0.25307913903423745,-19.10307913903424,10
L,200.0,2.2015763286513144,4.0,1816.88,4996,5002,2025-04-04 16:00:00,2025-04-04 22:00:00,1816.88,1801.33,-0.856,-38.23,MH,6,0.981,-3.267,10.1,DOWN,0.0,0.0,0.08371953921007441,-38.23,11
L,200.0,2.6928229536228567,4.0,1485.43,5119,5123,2025-04-09 19:00:00,2025-04-09 23:00:00,1485.43,1470.35,-1.015,-44.61,MFE,4,1.05,-3.124,23.2,DOWN,0.0,0.0,0.0,-44.61,12
L,200.0,2.2809568614033586,4.0,1753.65,5442,5446,2025-04-23 06:00:00,2025-04-23 10:00:00,1753.65,1761.34,0.439,13.54,MFE,4,2.016,-0.914,24.2,SIDE,-0.2674540260599321,-0.2674540260599321,-0.2674540260599321,13.272545973940067,13
L,200.0,2.2556942180917954,4.0,1773.29,5493,5498,2025-04-25 09:00:00,2025-04-25 14:00:00,1773.29,1766.62,-0.376,-19.05,MH,5,0.936,-2.024,12.1,MILD_UP,0.0,0.0,0.0,-19.05,14
L,200.0,1.6312548427878146,4.0,2452.1,7135,7141,2025-07-02 19:00:00,2025-07-03 01:00:00,2452.1,2559.78,4.391,171.65,TP,6,4.524,-0.884,2.0,MILD_UP,-0.21338911232090896,-0.21338911232090896,-0.21338911232090896,171.4366108876791,15
L,200.0,1.045005786719544,4.0,3827.73,7779,7783,2025-07-29 15:00:00,2025-07-29 19:00:00,3827.73,3828.72,0.026,-2.97,MFE,4,1.507,-0.124,15.2,MILD_UP,-0.4050996282391914,-0.4050996282391914,-0.4050996282391914,-3.3750996282391914,16
L,200.0,1.0997500817939123,4.0,3637.19,7970,7976,2025-08-06 14:00:00,2025-08-06 20:00:00,3637.19,3618.16,-0.523,-24.93,MH,6,0.297,-0.803,13.1,DOWN,-0.3281091172031156,-0.3281091172031156,-0.3281091172031156,-25.258109117203116,17
L,200.0,0.9195571412807592,4.0,4349.92,8646,8654,2025-09-03 18:00:00,2025-09-04 02:00:00,4349.92,4469.84,2.757,106.27,MHx,8,3.183,-0.238,9.1,DOWN,-0.13067246091691267,-0.13067246091691267,-0.13067246091691267,106.13932753908308,18
L,200.0,0.9060022650056625,4.0,4415.0,8692,8698,2025-09-05 16:00:00,2025-09-05 22:00:00,4415.0,4441.23,0.594,19.76,MFE,6,1.8,-1.008,23.2,DOWN,0.0,0.0,0.1382511639840413,19.76,19
L,200.0,0.9237853954147911,4.0,4330.01,8813,8819,2025-09-10 17:00:00,2025-09-10 23:00:00,4330.01,4399.42,1.603,60.12,MFE,6,2.853,-0.564,21.2,DOWN,0.0,0.0,0.0,60.12,20
L,200.0,0.8985977382294928,4.0,4451.38,8851,8854,2025-09-12 07:00:00,2025-09-12 10:00:00,4451.38,4496.57,1.015,36.61,MFE,3,1.959,-0.068,0.0,SIDE,-0.1945617401182044,-0.1945617401182044,-0.1945617401182044,36.415438259881796,21
L,200.0,0.9204183301310445,4.0,4345.85,9332,9340,2025-10-02 08:00:00,2025-10-02 16:00:00,4345.85,4373.65,0.64,21.59,MFE,8,1.759,-0.362,12.1,DOWN,-0.12209622840042907,-0.18157910259074855,0.0,21.46790377159957,22
L,200.0,1.028335792769771,4.0,3889.78,9843,9849,2025-10-23 15:00:00,2025-10-23 21:00:00,3889.78,3851.59,-0.982,-43.27,MH,6,0.403,-1.408,0.0,SIDE,-0.16649404600531195,-0.16649404600531195,-0.16649404600531195,-43.436494046005315,23
L,200.0,0.962213861652891,4.0,4157.08,9970,9975,2025-10-28 22:00:00,2025-10-29 03:00:00,4157.08,4113.19,-1.056,-46.23,MH,5,0.409,-2.191,22.2,MILD_UP,-0.07077322158823021,-0.07077322158823021,-0.07077322158823021,-46.30077322158823,24
L,200.0,1.033017832470333,4.0,3872.15,10040,10046,2025-10-31 20:00:00,2025-11-01 02:00:00,3872.15,3826.68,-1.174,-50.97,MH,6,0.384,-1.795,22.2,SIDE,0.05114630166810232,0.05114630166810232,0.05114630166810232,-50.918853698331894,25
L,200.0,1.4226167612706815,4.0,2811.72,10803,10812,2025-12-02 15:00:00,2025-12-03 00:00:00,2811.72,3005.55,6.894,271.75,TP,9,7.622,-1.107,23.2,MILD_UP,-0.3988120990227102,-0.3988120990227102,-0.22149692041317576,271.35118790097727,26
L,200.0,1.402952513564797,4.0,2851.13,11190,11194,2025-12-18 18:00:00,2025-12-18 22:00:00,2851.13,2962.87,3.919,152.77,TP,4,4.508,-0.11,1.0,DOWN,0.0,0.0,0.0,152.77,27
L,200.0,1.352082206598161,4.0,2958.4,11347,11353,2025-12-25 07:00:00,2025-12-25 13:00:00,2958.4,2943.64,-0.499,-23.96,MH,6,0.024,-0.802,12.1,DOWN,-0.26000599256354784,-0.26000599256354784,-0.26000599256354784,-24.22000599256355,28
L,200.0,1.3354700854700856,4.0,2995.2,11483,11489,2025-12-30 23:00:00,2025-12-31 05:00:00,2995.2,2957.51,-1.258,-54.33,MH,6,0.208,-1.801,20.2,SIDE,-0.39910389957264963,-0.39910389957264963,-0.39910389957264963,-54.72910389957265,29
L,200.0,1.3331200341278728,4.0,3000.48,11504,11510,2025-12-31 20:00:00,2026-01-01 02:00:00,3000.48,2974.56,-0.864,-38.55,MH,6,0.908,-1.429,13.1,SIDE,-0.1403192302564923,-0.1403192302564923,-0.1403192302564923,-38.69031923025649,29
