repeat,net,delta,wr,mdd,n
0,5571.046837218758,-2355.6542163896747,61.30434782608696,358.6504272067848,230
1,5391.3197040176765,-2535.381349590756,60.550458715596335,362.62389372067264,218
2,5442.148727913968,-2484.5523256944643,61.46788990825688,451.219979152665,218
3,6419.749694195572,-1506.9513594128603,62.11453744493392,357.0374699576714,227
4,6029.372644631104,-1897.3284089773288,62.11453744493392,355.0893854768692,227
5,6236.499519600154,-1690.201534008279,62.66666666666667,414.8906783122511,225
6,6103.4612359662615,-1823.2398176421711,62.55506607929515,360.5007641700163,227
7,5639.841098785714,-2286.8599548227185,61.16071428571429,448.233954086867,224
8,6314.802050524721,-1611.8990030837112,63.20346320346321,323.42077576192787,231
9,6514.043777980516,-1412.6572756279165,63.27433628318584,382.8584618610539,226
10,5214.871965994492,-2711.829087613941,58.9041095890411,377.1123728891075,219
11,6413.294546564478,-1513.4065070439547,64.31718061674009,367.8910930106367,227
12,6397.972225948976,-1528.7288276594563,63.04347826086957,350.20571930520373,230
13,5462.523967635097,-2464.177085973336,61.43497757847533,363.55065129089826,223
14,6557.3860928051745,-1369.3149608032581,64.31718061674009,405.43208558152173,227
15,5889.330915777316,-2037.370137831117,62.38938053097345,358.65042720678457,226
16,5959.523954202521,-1967.1770994059116,63.63636363636363,373.12705160628207,220
17,6185.3836874280105,-1741.3173661804221,64.06926406926407,367.90749645040614,231
18,5642.117752558202,-2284.583301050231,62.38532110091744,438.16351795190667,218
19,5586.64258934599,-2340.0584642624426,60.51502145922747,361.14091855515153,233
20,5398.394807432481,-2528.306246175952,59.91189427312775,368.5312473957715,227
21,5942.758730678286,-1983.9423229301465,61.94690265486725,400.1889957656449,226
22,6549.644511572763,-1377.0565420356697,63.1578947368421,399.26092495962166,228
23,6653.468557113719,-1273.2324964947138,64.34782608695652,361.140918555152,230
24,6212.716210457299,-1713.9848431511336,62.55506607929515,377.3519327406866,227
25,6146.445468095771,-1780.255585512662,62.99559471365639,361.140918555152,227
26,6361.094258304462,-1565.606795303971,62.231759656652365,382.85846186105437,233
27,6419.404693582262,-1507.296360026171,65.04424778761062,357.0374699576714,226
28,6445.002602616927,-1481.6984509915055,62.39316239316239,360.5007641700163,234
29,5792.901674660973,-2133.7993789474594,61.16071428571429,353.6000748352435,224
30,5724.645585959628,-2202.0554676488046,61.8421052631579,448.6239258063574,228
31,5947.562050724317,-1979.139002884116,61.94690265486725,448.83861166513816,226
32,5687.27297685675,-2239.428076751683,61.43497757847533,363.8245407491195,223
33,5658.161124025384,-2268.5399295830484,61.36363636363637,357.0374699576714,220
34,5945.014401028187,-1981.6866525802452,63.11111111111111,380.76687806479185,225
35,6199.353781446953,-1727.3472721614799,62.44541484716157,355.0893854768683,229
36,5743.791256811487,-2182.9097967969456,61.77777777777778,360.50076417001674,225
37,5692.773874870142,-2233.9271787382904,61.77777777777778,459.77381091508823,225
38,5954.386311513282,-1972.314742095151,61.60714285714286,382.40865209204503,224
39,5813.757851838506,-2112.9432017699264,60.73059360730594,416.60366293442075,219
40,6238.768425462826,-1687.932628145607,63.436123348017624,386.51413975570813,227
41,6072.157638483374,-1854.5434151250583,61.80257510729614,417.0840561905502,233
42,5292.067181298351,-2634.6338723100816,60.0,367.1940231561657,230
43,6153.160298790997,-1773.5407548174353,61.471861471861466,367.8910930106367,231
44,6499.393733524186,-1427.3073200842464,62.06896551724138,360.5007641700158,232
45,7083.724673729797,-842.9763798786353,64.91228070175438,422.34536364849555,228
46,5755.832602418686,-2170.8684511897463,60.17699115044248,370.66121087132615,226
47,6938.500328011894,-988.2007255965382,64.31718061674009,349.5655649200671,227
48,6590.823181568676,-1335.8778720397568,63.59649122807017,350.20571930520236,228
49,6427.42455133382,-1499.2765022746125,64.31718061674009,351.6950299468281,227
50,7147.6835191226055,-779.0175344858271,65.06550218340611,353.6000748352444,229
51,6055.329781830803,-1871.3712717776298,60.71428571428571,350.20571930520373,224
52,5664.930201079577,-2261.7708525288554,62.22222222222222,356.6228477858772,225
53,6604.428601498133,-1322.2724521103,63.20346320346321,431.9357643102967,231
54,5755.225437734903,-2171.47561587353,60.71428571428571,398.62077057448596,224
55,6088.6465043313765,-1838.0545492770561,63.1578947368421,460.27674087994956,228
56,6733.7270180898,-1192.9740355186323,62.93103448275862,338.0379059338111,232
57,6300.146918546549,-1626.5541350618832,62.44541484716157,361.14091855515244,229
58,5827.132018791463,-2099.569034816969,61.77777777777778,459.0301725091331,225
59,6194.658960904916,-1732.0420927035166,62.33183856502242,360.5007641700172,223
60,6383.265373772176,-1543.435679836257,63.83928571428571,399.26092495962166,224
61,5543.751480113852,-2382.9495734945804,60.96491228070175,422.57689996853196,228
62,6317.479244044969,-1609.2218095634635,63.27433628318584,324.0609301470636,226
63,6877.001916322709,-1049.6991372857237,64.44444444444444,361.140918555152,225
64,5992.8067757994295,-1933.8942778090031,62.727272727272734,449.1090446327921,220
65,6564.148350505644,-1362.5527031027887,62.11453744493392,393.5717581366862,227
66,5981.460802840735,-1945.240250767698,62.22222222222222,353.60007483524305,225
67,6489.246403375729,-1437.454650232704,63.11111111111111,357.03746995767165,225
68,6639.627468088495,-1287.0735855199373,63.716814159292035,355.0893854768692,226
69,6377.831221763409,-1548.8698318450233,64.8068669527897,361.14091855515244,233
70,6172.138247132725,-1754.5628064757075,62.33766233766234,463.6294972191745,231
71,5992.739260171414,-1933.961793437019,62.99559471365639,351.6950299468276,227
72,5697.125579692442,-2229.57547391599,61.711711711711715,387.50638668995634,222
73,6451.556306282699,-1475.144747325734,63.83928571428571,368.53124739577197,224
74,6126.861586566477,-1799.8394670419557,61.94690265486725,382.13251304620235,226
75,6376.097104890361,-1550.6039487180715,63.22869955156951,377.71498552623143,223
76,6752.979295786585,-1173.7217578218479,64.19213973799127,373.0778629739307,229
77,6140.107021385728,-1786.5940322227043,63.1578947368421,349.5655649200676,228
78,6202.53045729239,-1724.170596316043,62.11453744493392,359.1784290679793,227
79,6671.822731451658,-1254.8783221567746,63.63636363636363,352.4237872156102,231
80,5914.492902726296,-2012.2081508821366,61.46788990825688,398.1071819506551,218
81,6288.933351788615,-1637.7677018198174,61.73913043478261,398.6207705744855,230
82,5652.458286885259,-2274.242766723173,61.135371179039296,368.7035064586862,229
