side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.5226320217127325,4.0,2627.03,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2627.03,2646.25,-0.732,-33.26,MH,10,0.734,-1.529,33.3,MILD_UP,0.19302238923803686,0.19302238923803686,0.19302238923803686,-33.06697761076196,1
S,200.0,1.5505558742809298,4.0,2579.72,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.72,2523.54,2.178,83.11,TP,2,3.866,-0.423,1.0,MILD_UP,0.32868175993197574,0.0,0.32868175993197574,83.43868175993198,2
S,200.0,1.6428454082470838,4.0,2434.8,748,759,2024-10-09 16:00:00,2024-10-10 03:00:00,2434.8,2414.24,0.844,29.78,BE,11,1.101,-1.513,19.2,DOWN,0.40419582717266306,0.40419582717266306,0.5498027652823592,30.184195827172665,3
S,200.0,1.5163921996785248,4.0,2637.84,1053,1063,2024-10-22 09:00:00,2024-10-22 19:00:00,2637.84,2632.46,0.204,4.16,MHx,10,0.942,-0.825,34.3,UP,0.40132973810541955,0.40132973810541955,0.40132973810541955,4.56132973810542,4
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11,5
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666,5
S,200.0,1.1775164999499554,4.0,3396.98,1900,1903,2024-11-26 16:00:00,2024-11-26 19:00:00,3396.98,3320.1,2.263,86.53,TP,3,2.354,-0.084,29.3,MILD_UP,0.0,0.0,0.49080144481274535,86.53,6
S,200.0,1.0433131452239732,4.0,3833.94,2128,2131,2024-12-06 04:00:00,2024-12-06 07:00:00,3833.94,3805.76,0.735,25.4,TP,3,5.711,-0.8,6.1,UP,0.0,0.0,0.0,25.4,7
S,200.0,1.0878463090734543,4.0,3676.99,2241,2244,2024-12-10 21:00:00,2024-12-11 00:00:00,3676.99,3568.08,2.962,114.48,TP,3,3.332,-1.509,6.1,MILD_UP,0.3880004618397113,0.0,0.3880004618397113,114.86800046183971,8
S,200.0,1.1886083773118432,4.0,3365.28,2621,2633,2024-12-26 17:00:00,2024-12-27 05:00:00,3365.28,3328.8,1.084,39.36,MHx,12,1.792,-0.522,32.3,DOWN,0.25048804353377074,0.25048804353377074,0.25048804353377074,39.61048804353377,9
