repeat,net,delta,wr,mdd,n
0,5312.6175543858335,-2614.083499222599,59.512195121951216,365.990237913491,205
1,4276.040598670276,-3650.6604549381564,55.55555555555556,448.7717197095976,207
2,5338.289298257552,-2588.4117553508804,61.951219512195124,368.53124739577197,205
3,4796.4955197058225,-3130.20553390261,59.80392156862745,366.09726104018523,204
4,5601.395416625396,-2325.3056369830365,59.900990099009896,426.3148300774783,202
5,4161.823953221197,-3764.8771003872353,54.59183673469388,418.0008952478854,196
6,5489.879255373677,-2436.821798234756,61.855670103092784,299.31708447849223,194
7,4467.601164719887,-3459.099888888546,59.09090909090909,490.7253637321424,198
8,5213.860237580995,-2712.8408160274375,60.71428571428571,423.650889319483,196
9,5568.183237140878,-2358.5178164675544,63.46153846153846,276.4537830941381,208
10,6078.5238714786265,-1848.1771821298062,64.56310679611651,258.6721417368972,206
11,6039.470568596925,-1887.2304850115079,62.5,313.2741715126026,200
12,5385.917421013122,-2540.7836325953103,57.345971563981045,315.9687953953726,211
13,4848.162769401894,-3078.5382842065383,58.97435897435898,531.4500176491188,195
14,4823.655165853832,-3103.0458877546007,59.09090909090909,394.87304777091094,198
15,4387.826173704725,-3538.8748799037076,57.97872340425532,350.7249660497275,188
16,5678.6362888599915,-2248.064764748441,61.88118811881188,368.5445546969909,202
17,5067.731549401433,-2858.9695042069998,62.62626262626263,388.0064958318037,198
18,5510.201262322533,-2416.4997912859,61.19402985074627,369.64531172418583,201
19,4150.416271595597,-3776.2847820128354,60.30927835051546,527.8386753504592,194
20,4908.315969269839,-3018.3850843385935,61.23348017621145,394.94099001285576,227
21,4424.271794143008,-3502.4292594654244,58.673469387755105,821.4508410729838,196
22,5738.081687045814,-2188.619366562619,60.28708133971292,313.93103402648603,209
23,5617.236825921262,-2309.464227687171,63.1578947368421,436.86858243750726,190
24,5596.186985845616,-2330.514067762817,63.44086021505376,360.5182536614842,186
25,4542.851954307474,-3383.849099300958,58.58585858585859,314.1350852988062,198
26,4676.4433566288835,-3250.257696979549,60.09852216748769,386.4162685842614,203
27,5328.752831254802,-2597.9482223536306,60.396039603960396,305.9511337202641,202
28,5272.8707630058725,-2653.83029060256,57.76699029126213,344.4374972987773,206
29,5268.818090193719,-2657.8829634147132,57.476635514018696,350.20571930520236,214
30,4940.186546913472,-2986.514506694961,61.42131979695431,485.7621414426226,197
31,5529.515292386176,-2397.1857612222566,61.6822429906542,338.03790593381154,214
32,5159.181059719266,-2767.5199938891665,59.512195121951216,350.6971221134979,205
33,6096.271334275191,-1830.4297193332413,64.70588235294117,268.6916718623552,204
34,5643.45809248968,-2283.2429611187526,59.11330049261084,492.9882642721552,203
35,4277.269388691232,-3649.4316649172006,58.37563451776649,433.9514719823417,197
36,5268.482980841483,-2658.2180727669493,59.13461538461539,358.6522135679422,208
37,5029.158295408745,-2897.5427581996873,62.944162436548226,385.518816893926,197
38,3827.129001411848,-4099.572052196585,55.376344086021504,588.375656271855,186
39,5771.376982419231,-2155.3240711892013,61.083743842364534,357.293357496751,203
40,4662.883420619416,-3263.8176329890166,59.4059405940594,341.74772823120543,202
41,5663.643034754688,-2263.058018853744,61.34020618556701,305.68588507657114,194
42,5119.129371389506,-2807.571682218927,59.80861244019139,353.6000748352435,209
43,4997.206061732097,-2929.494991876336,58.87850467289719,319.15931241721955,214
