side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.5226320217127325,4.0,2627.03,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2627.03,2646.25,-0.732,-33.26,MH,10,0.734,-1.529,33.3,MILD_UP,0.19302238923803686,0.19302238923803686,0.19302238923803686,-33.06697761076196,1
L,200.0,1.5061772092795578,4.0,2655.73,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2655.73,2579.72,-2.862,-118.48,MH,7,0.045,-3.41,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-118.87835224213305,2
S,200.0,1.5505558742809298,4.0,2579.72,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.72,2523.54,2.178,83.11,TP,2,3.866,-0.423,1.0,MILD_UP,0.32868175993197574,0.0,0.32868175993197574,83.43868175993198,2
S,200.0,1.5372199377425926,4.0,2602.1,1084,1092,2024-10-23 16:00:00,2024-10-24 00:00:00,2602.1,2539.53,2.405,92.18,TP,8,2.809,-0.321,27.3,MILD_UP,0.3903915112855002,0.0,0.7904002117581954,92.57039151128551,3
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11,4
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666,4
L,200.0,1.5184414716734742,4.0,2634.28,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,5
L,200.0,1.3676195555920254,4.0,2924.79,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2924.79,2913.46,-0.387,-19.5,MFE,4,1.135,-0.565,2.0,MILD_UP,0.0,0.0,0.0,-19.5,6
S,200.0,1.2623592863882953,4.0,3168.67,1618,1620,2024-11-14 22:00:00,2024-11-15 00:00:00,3168.67,3079.25,2.822,108.88,TP,2,3.52,-0.903,2.0,UP,0.3887119832611159,0.0,0.3887119832611159,109.26871198326111,7
S,200.0,1.2818787214541632,4.0,3120.42,1732,1743,2024-11-19 16:00:00,2024-11-20 03:00:00,3120.42,3143.29,-0.733,-33.32,BE,11,1.393,-1.029,33.3,MILD_UP,0.6113745445805372,0.6113745445805372,1.460734544580537,-32.708625455419465,8
L,200.0,1.1567480342513095,4.0,3457.97,1927,1935,2024-11-27 19:00:00,2024-11-28 03:00:00,3457.97,3587.98,3.76,146.39,TP,8,4.001,-0.595,24.2,MILD_UP,-0.6457629247217299,-0.6457629247217299,-0.6457629247217299,145.74423707527825,9
S,200.0,1.0878463090734543,4.0,3676.99,2241,2244,2024-12-10 21:00:00,2024-12-11 00:00:00,3676.99,3568.08,2.962,114.48,TP,3,3.332,-1.509,6.1,MILD_UP,0.3880004618397113,0.0,0.3880004618397113,114.86800046183971,10
L,200.0,1.144990095835671,4.0,3493.48,2598,2599,2024-12-25 18:00:00,2024-12-25 19:00:00,3493.48,3513.09,0.561,18.45,MFE,1,1.532,-0.091,17.2,DOWN,0.0,0.0,0.0,18.45,11
S,200.0,1.1886083773118432,4.0,3365.28,2621,2633,2024-12-26 17:00:00,2024-12-27 05:00:00,3365.28,3328.8,1.084,39.36,MHx,12,1.792,-0.522,32.3,DOWN,0.25048804353377074,0.25048804353377074,0.25048804353377074,39.61048804353377,11
S,200.0,1.0928513858721636,4.0,3660.15,2910,2915,2025-01-07 18:00:00,2025-01-07 23:00:00,3660.15,3567.95,2.519,96.76,TP,5,4.376,-0.13,6.1,MILD_UP,0.0,0.0,0.0,96.76,12
S,200.0,1.2093360744951023,4.0,3307.6,2931,2941,2025-01-08 15:00:00,2025-01-09 01:00:00,3307.6,3313.17,-0.168,-10.74,MH,10,0.033,-2.337,23.2,MILD_UP,0.8101949339811344,0.8101949339811344,0.8101949339811344,-9.929805066018865,12
L,200.0,1.2746931972810793,4.0,3138.01,3070,3078,2025-01-14 10:00:00,2025-01-14 18:00:00,3138.01,3242.52,3.33,129.22,MHx,8,3.755,-0.244,22.2,DOWN,-0.30115578063804765,-0.30115578063804765,-0.30115578063804765,128.91884421936194,13
L,200.0,1.2494260449106194,4.0,3201.47,3408,3414,2025-01-28 12:00:00,2025-01-28 18:00:00,3201.47,3195.71,-0.18,-11.2,MH,6,0.641,-0.613,6.1,DOWN,-0.16149580618462647,-0.16149580618462647,-0.16149580618462647,-11.361495806184626,14
L,200.0,1.2498828234852981,4.0,3200.3,3456,3464,2025-01-30 12:00:00,2025-01-30 20:00:00,3200.3,3221.16,0.652,22.07,MHx,8,0.896,-0.728,23.2,DOWN,-0.3986763185401368,-0.3986763185401368,-0.3986763185401368,21.671323681459864,15
S,200.0,1.4561869744075138,4.0,2746.9,3635,3636,2025-02-06 23:00:00,2025-02-07 00:00:00,2746.9,2704.25,1.553,58.11,TP,1,2.424,-0.461,20.2,DOWN,-0.30508328457533945,-0.30508328457533945,0.0,57.80491671542466,16
L,200.0,1.4417895491884527,4.0,2774.33,3658,3662,2025-02-07 22:00:00,2025-02-08 02:00:00,2774.33,2672.94,-3.655,-150.18,SN,4,0.785,-4.118,22.2,DOWN,0.046953797306073755,0.046953797306073755,0.046953797306073755,-150.13304620269395,16
S,200.0,1.5192892764764643,4.0,2632.81,3754,3763,2025-02-11 22:00:00,2025-02-12 07:00:00,2632.81,2584.89,1.82,68.8,TP,9,3.036,-1.651,19.2,DOWN,-0.0499772504662319,-0.0499772504662319,-0.0499772504662319,68.75002274953377,17
L,200.0,1.4577259475218658,4.0,2744.0,3787,3793,2025-02-13 07:00:00,2025-02-13 13:00:00,2744.0,2720.68,-0.85,-37.99,MH,6,0.456,-1.156,21.2,DOWN,-0.380646,-0.380646,-0.380646,-38.370646,18
L,200.0,1.491296421261413,4.0,2682.23,3814,3817,2025-02-14 10:00:00,2025-02-14 13:00:00,2682.23,2698.39,0.602,20.1,MFE,3,1.434,-0.132,24.2,DOWN,0.0,0.0,0.0,20.1,19
L,200.0,1.4826950948739523,4.0,2697.79,3939,3945,2025-02-19 15:00:00,2025-02-19 21:00:00,2697.79,2703.32,0.205,4.2,MFE,6,1.421,-0.054,21.2,SIDE,-0.29192348069460056,-0.29192348069460056,-0.29192348069460056,3.9080765193053995,20
S,200.0,1.475334255417243,4.0,2711.25,3972,3982,2025-02-21 00:00:00,2025-02-21 10:00:00,2711.25,2740.31,-1.072,-46.87,MH,10,0.207,-2.077,31.3,MILD_UP,0.14431090279391426,0.14431090279391426,0.4004806643430152,-46.725689097206086,21
L,200.0,1.6961010876248226,4.0,2358.35,4134,4140,2025-02-27 18:00:00,2025-02-28 00:00:00,2358.35,2322.32,-1.528,-65.11,MH,6,0.979,-2.912,9.1,DOWN,-0.1980305389704044,-0.1980305389704044,0.0,-65.3080305389704,22
S,200.0,1.733477789815818,4.0,2307.5,4139,4145,2025-02-27 23:00:00,2025-02-28 05:00:00,2307.5,2255.1,2.271,86.83,TP,6,2.962,-1.277,14.1,DOWN,0.20239450556049976,0.20239450556049976,0.20239450556049976,87.0323945055605,22
L,200.0,1.9284543438434096,4.0,2074.2,4396,4398,2025-03-10 16:00:00,2025-03-10 18:00:00,2074.2,2100.98,1.291,47.64,MFE,2,3.799,-1.323,19.2,DOWN,0.0,-0.10300996031005206,0.0,47.64,23
L,200.0,2.0874974558624757,4.0,1916.17,4422,4426,2025-03-11 18:00:00,2025-03-11 22:00:00,1916.17,1902.49,-0.714,-32.56,MFE,4,2.797,-2.673,10.1,DOWN,0.0,0.0,0.0,-32.56,24
L,200.0,2.0274928024005514,4.0,1972.88,4615,4617,2025-03-19 19:00:00,2025-03-19 21:00:00,1972.88,2003.11,1.532,57.29,MFE,2,3.034,-0.009,20.2,DOWN,0.0,0.0,0.0,57.29,25
