repeat,net,delta,wr,mdd,n
0,6149.530643165818,-1777.1704104426144,60.45454545454545,442.3071618338445,220
1,6117.784886828057,-1808.9161667803755,60.26200873362445,341.7477282312061,229
2,7070.140663980033,-856.5603896283992,63.27433628318584,368.53124739577197,226
3,6555.327556712031,-1371.3734968964018,61.224489795918366,313.8021434961993,245
4,6588.1064196342195,-1338.5946339742131,61.702127659574465,348.83084496739684,235
5,6934.5718141802445,-992.1292394281882,62.33766233766234,369.92451219050326,231
6,6463.801175035817,-1462.8998785726153,62.00873362445415,373.4125674928555,229
7,6434.121216269292,-1492.5798373391408,61.504424778761056,406.6511369217369,226
8,6945.959756378737,-980.7412972296952,62.60504201680672,310.4611870339904,238
9,6896.272051862288,-1030.4290017461444,64.28571428571429,358.60053975196115,224
10,7118.023864671748,-808.6771889366846,62.869198312236286,368.53124739577197,237
11,6975.073291823869,-951.6277617845635,63.20346320346321,345.27748998055586,231
12,5911.460421925534,-2015.2406316828983,58.36909871244635,356.71185615218656,233
13,6029.217129884343,-1897.4839237240894,60.851063829787236,371.7227404656278,235
14,6569.485762774628,-1357.2152908338048,62.869198312236286,392.44663149237294,237
15,6647.552232172581,-1279.1488214358515,62.00873362445415,325.9795939870528,229
16,6242.498410659436,-1684.202642948997,61.8421052631579,368.53124739577197,228
17,5859.2040407542545,-2067.497012854178,60.53811659192825,378.893381947315,223
18,6211.9645394711615,-1714.7365141372711,59.64912280701754,370.0201922356091,228
19,5749.619713765437,-2177.0813398429955,60.61946902654868,383.1049894121679,226
20,6232.057920623654,-1694.6431329847783,59.227467811158796,344.31124140320935,233
21,6785.818116188963,-1140.8829374194693,62.5,343.27417495770896,232
22,6274.29316209449,-1652.4078915139426,59.82905982905983,350.4884640336004,234
23,5026.3689093628045,-2900.332144245628,61.29032258064516,432.36743058010256,217
24,6195.921208558671,-1730.7798450497612,59.583333333333336,380.93186214474827,240
25,6827.02687425969,-1099.6741793487427,62.39316239316239,329.3715453780351,234
26,6149.472823608262,-1777.2282300001707,60.08583690987125,388.5200097777015,233
27,6644.854760213893,-1281.8462933945393,59.91561181434599,313.8021434961993,237
28,6903.514083821992,-1023.1869697864404,63.20346320346321,356.90446866763705,231
29,6932.7832882110915,-993.9177653973411,61.34453781512605,361.2771170576225,238
30,6397.955956959178,-1528.7450966492543,61.86440677966102,311.8211870339901,236
31,6740.515675527884,-1186.1853780805486,62.0253164556962,396.1252451986438,237
32,5967.1228543998595,-1959.578199208573,59.56521739130435,327.1524467556992,230
33,7091.454916249918,-835.2461373585147,62.34309623430963,372.75199568810785,239
34,6827.486363289174,-1099.2146903192588,60.42553191489362,402.852567492856,235
35,6810.461569355103,-1116.2394842533295,61.206896551724135,350.6332612101587,232
36,7108.399201613683,-818.30185199475,61.904761904761905,332.71685266349596,231
37,5383.120798148061,-2543.5802554603715,61.18721461187214,348.61019223560834,219
38,6420.493951020827,-1506.2071025876057,60.526315789473685,329.8409281655163,228
39,5920.619538268311,-2006.0815153401218,60.08583690987125,361.06418623085074,233
40,6408.954103546274,-1517.7469500621582,60.88888888888889,331.23198563352116,225
41,6393.991867131241,-1532.709186477192,61.80257510729614,361.0641862308503,233
42,6644.129278397949,-1282.5717752104838,63.4703196347032,338.0578381243213,219
43,7148.086775738227,-778.614277870206,61.382113821138205,332.25080144453113,246
44,6250.133151839813,-1676.5679017686198,61.88340807174888,344.37236639726916,223
45,6255.908224415382,-1670.7928291930502,59.7457627118644,403.6229047256502,236
46,5708.385877227206,-2218.3151763812266,59.73451327433629,383.94919532324184,226
47,6481.3912467541595,-1445.3098068542731,61.30434782608696,350.6332612101596,230
48,6489.6082159690395,-1437.092837639393,60.94420600858369,371.7227404656278,233
49,6325.891818755738,-1600.8092348526943,60.792951541850215,376.55189533404155,227
50,6243.534452516127,-1683.1666010923054,61.77777777777778,338.0578381243222,225
51,6436.972320333817,-1489.7287332746155,59.83263598326359,361.0641862308503,239
52,6826.768836056528,-1099.9322175519046,60.256410256410255,318.153654213178,234
53,6912.486225607215,-1014.2148280012179,62.0253164556962,387.04286120278357,237
54,5979.90783438828,-1946.7932192201524,61.16071428571429,315.4191953232421,224
55,6189.7847707194205,-1736.916282889012,62.17391304347826,323.657558359178,230
56,6245.798183670873,-1680.9028699375594,63.51351351351351,355.2226215444057,222
57,6352.499189766956,-1574.2018638414766,62.28070175438597,324.87605229030487,228
58,6850.799646227356,-1075.9014073810768,61.440677966101696,343.27417495770896,236
59,6382.953439545929,-1543.747614062504,61.504424778761056,331.6231524929972,226
