side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
L,200.0,1.5061772092795578,4.0,2655.73,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2655.73,2579.72,-2.862,-118.48,MH,7,0.045,-3.41,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-118.87835224213305,1
L,200.0,1.5184414716734742,4.0,2634.28,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,2
L,200.0,1.3676195555920254,4.0,2924.79,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2924.79,2913.46,-0.387,-19.5,MFE,4,1.135,-0.565,2.0,MILD_UP,0.0,0.0,0.0,-19.5,3
L,200.0,1.1567480342513095,4.0,3457.97,1927,1935,2024-11-27 19:00:00,2024-11-28 03:00:00,3457.97,3587.98,3.76,146.39,TP,8,4.001,-0.595,24.2,MILD_UP,-0.6457629247217299,-0.6457629247217299,-0.6457629247217299,145.74423707527825,4
L,200.0,1.144990095835671,4.0,3493.48,2598,2599,2024-12-25 18:00:00,2024-12-25 19:00:00,3493.48,3513.09,0.561,18.45,MFE,1,1.532,-0.091,17.2,DOWN,0.0,0.0,0.0,18.45,5
L,200.0,1.2746931972810793,4.0,3138.01,3070,3078,2025-01-14 10:00:00,2025-01-14 18:00:00,3138.01,3242.52,3.33,129.22,MHx,8,3.755,-0.244,22.2,DOWN,-0.30115578063804765,-0.30115578063804765,-0.30115578063804765,128.91884421936194,6
L,200.0,1.2494260449106194,4.0,3201.47,3408,3414,2025-01-28 12:00:00,2025-01-28 18:00:00,3201.47,3195.71,-0.18,-11.2,MH,6,0.641,-0.613,6.1,DOWN,-0.16149580618462647,-0.16149580618462647,-0.16149580618462647,-11.361495806184626,7
L,200.0,1.2498828234852981,4.0,3200.3,3456,3464,2025-01-30 12:00:00,2025-01-30 20:00:00,3200.3,3221.16,0.652,22.07,MHx,8,0.896,-0.728,23.2,DOWN,-0.3986763185401368,-0.3986763185401368,-0.3986763185401368,21.671323681459864,8
L,200.0,1.4417895491884527,4.0,2774.33,3658,3662,2025-02-07 22:00:00,2025-02-08 02:00:00,2774.33,2672.94,-3.655,-150.18,SN,4,0.785,-4.118,22.2,DOWN,0.046953797306073755,0.046953797306073755,0.046953797306073755,-150.13304620269395,9
L,200.0,1.4577259475218658,4.0,2744.0,3787,3793,2025-02-13 07:00:00,2025-02-13 13:00:00,2744.0,2720.68,-0.85,-37.99,MH,6,0.456,-1.156,21.2,DOWN,-0.380646,-0.380646,-0.380646,-38.370646,10
L,200.0,1.491296421261413,4.0,2682.23,3814,3817,2025-02-14 10:00:00,2025-02-14 13:00:00,2682.23,2698.39,0.602,20.1,MFE,3,1.434,-0.132,24.2,DOWN,0.0,0.0,0.0,20.1,11
L,200.0,1.4826950948739523,4.0,2697.79,3939,3945,2025-02-19 15:00:00,2025-02-19 21:00:00,2697.79,2703.32,0.205,4.2,MFE,6,1.421,-0.054,21.2,SIDE,-0.29192348069460056,-0.29192348069460056,-0.29192348069460056,3.9080765193053995,12
L,200.0,1.6961010876248226,4.0,2358.35,4134,4140,2025-02-27 18:00:00,2025-02-28 00:00:00,2358.35,2322.32,-1.528,-65.11,MH,6,0.979,-2.912,9.1,DOWN,-0.1980305389704044,-0.1980305389704044,0.0,-65.3080305389704,13
L,200.0,1.9284543438434096,4.0,2074.2,4396,4398,2025-03-10 16:00:00,2025-03-10 18:00:00,2074.2,2100.98,1.291,47.64,MFE,2,3.799,-1.323,19.2,DOWN,0.0,-0.10300996031005206,0.0,47.64,14
L,200.0,2.0874974558624757,4.0,1916.17,4422,4426,2025-03-11 18:00:00,2025-03-11 22:00:00,1916.17,1902.49,-0.714,-32.56,MFE,4,2.797,-2.673,10.1,DOWN,0.0,0.0,0.0,-32.56,15
L,200.0,2.0274928024005514,4.0,1972.88,4615,4617,2025-03-19 19:00:00,2025-03-19 21:00:00,1972.88,2003.11,1.532,57.29,MFE,2,3.034,-0.009,20.2,DOWN,0.0,0.0,0.0,57.29,16
L,200.0,2.154243860404998,4.0,1856.8,4923,4927,2025-04-01 15:00:00,2025-04-01 19:00:00,1856.8,1872.49,0.845,29.8,MFE,4,1.864,-0.288,4.0,DOWN,-0.11486887725464735,-0.11486887725464735,-0.11486887725464735,29.685131122745354,17
L,200.0,2.577336194176509,4.0,1551.99,5164,5165,2025-04-11 16:00:00,2025-04-11 17:00:00,1551.99,1550.79,-0.077,-7.09,MFE,1,1.31,-1.0,6.1,DOWN,0.0,0.0,0.23428000000000002,-7.09,18
L,200.0,2.4276116549635556,4.0,1647.71,5262,5267,2025-04-15 18:00:00,2025-04-15 23:00:00,1647.71,1619.57,-1.708,-72.31,MH,5,0.787,-2.895,0.0,DOWN,0.0,0.0,0.0,-72.31,19
L,200.0,2.502674733621558,4.0,1598.29,5306,5312,2025-04-17 14:00:00,2025-04-17 20:00:00,1598.29,1592.5,-0.362,-18.49,MH,6,0.726,-0.663,2.0,DOWN,-0.20771029437711555,-0.20771029437711555,-0.20771029437711555,-18.697710294377114,20
L,200.0,2.5158973262301165,4.0,1589.89,5336,5343,2025-04-18 20:00:00,2025-04-19 03:00:00,1589.89,1592.72,0.178,3.12,BE,7,0.424,-0.776,23.2,SIDE,0.05939702858873406,0.05939702858873406,0.05939702858873406,3.1793970285887343,21
L,200.0,2.4355937673155497,4.0,1642.31,5434,5436,2025-04-22 22:00:00,2025-04-23 00:00:00,1642.31,1702.41,3.659,142.38,TP,2,5.092,-0.315,22.2,SIDE,-0.33599588129401886,-0.33599588129401886,0.0,142.04400411870597,22
L,200.0,2.170138888888889,4.0,1843.2,5790,5796,2025-05-07 18:00:00,2025-05-08 00:00:00,1843.2,1816.73,-1.436,-61.44,MH,6,0.179,-1.619,2.0,SIDE,0.025547765624999996,0.0,0.025547765624999996,-61.414452234375,23
L,200.0,1.5183665412748966,4.0,2634.41,6148,6150,2025-05-22 16:00:00,2025-05-22 18:00:00,2634.41,2664.36,1.137,41.48,MFE,2,2.209,-0.304,16.2,SIDE,0.0,-0.3999104163740649,0.0,41.48,24
L,200.0,1.4954389113204725,4.0,2674.8,6166,6167,2025-05-23 10:00:00,2025-05-23 11:00:00,2674.8,2704.83,1.123,40.91,MFE,1,2.224,-0.133,24.2,SIDE,0.0,0.0,0.0,40.91,24
L,200.0,1.4424862693338238,4.0,2772.99,6608,6613,2025-06-10 20:00:00,2025-06-11 01:00:00,2772.99,2729.74,-1.56,-66.39,MH,5,0.199,-3.046,21.2,SIDE,-0.394062726515422,-0.394062726515422,-0.394062726515422,-66.78406272651543,25
L,200.0,1.4377163313792372,4.0,2782.19,7319,7324,2025-07-10 11:00:00,2025-07-10 16:00:00,2782.19,2789.54,0.264,6.57,MFE,5,1.439,-0.638,8.1,MILD_UP,-0.1126254680487242,-0.1126254680487242,0.0,6.457374531951276,26
L,200.0,1.3316022504078031,4.0,3003.9,7346,7350,2025-07-11 14:00:00,2025-07-11 18:00:00,3003.9,3014.86,0.365,10.59,MFE,4,1.233,-1.444,7.1,MILD_UP,-0.39526615399980025,-0.39526615399980025,-0.39526615399980025,10.194733846000199,27
