repeat,net,delta,wr,mdd,n
0,7325.687534627551,-601.0135189808816,64.70588235294117,406.71771843748684,238
1,6661.033115689522,-1265.6679379189109,62.655601659751035,375.2978252910252,241
2,6407.850021994192,-1518.851031614241,64.01673640167364,377.7834283622151,239
3,7129.176982596828,-797.524071011605,65.02057613168725,324.0609301470631,243
4,5823.28371489162,-2103.417338716813,60.25104602510461,382.13251304620235,239
5,7158.009515456058,-768.691538152375,63.74999999999999,400.75023560124646,240
6,7080.72490755752,-845.9761460509126,63.82113821138211,465.2931450924634,246
7,6652.728260930895,-1273.9727926775377,62.396694214876035,396.7762858777087,242
8,5910.130390198446,-2016.570663409987,59.583333333333336,387.5063866899561,240
9,6082.994153798368,-1843.706899810065,62.76150627615063,368.5312473957729,239
10,6798.668466973343,-1128.0325866350895,62.96296296296296,345.3568036782235,243
11,6917.844745492472,-1008.8563081159609,64.55696202531645,383.49861624618916,237
12,6493.543650246812,-1433.1574033616207,64.95726495726495,368.5312473957729,234
13,6335.954389809737,-1590.7466637986954,61.965811965811966,370.02055803739677,234
14,6150.811560601938,-1775.8894930064944,61.37339055793991,353.6000748352444,233
15,6190.636981631542,-1736.0640719768908,62.34309623430963,447.87125774153446,239
16,7016.515801165946,-910.1852524424867,63.33333333333333,426.3404464563728,240
17,6339.789458235524,-1586.9115953729088,61.98347107438017,430.2163774630874,242
18,6215.473803607963,-1711.2272500004692,61.382113821138205,368.53124739577197,246
19,6136.338942228524,-1790.362111379909,61.60337552742617,373.7180173590673,237
20,6673.422083748118,-1253.2789698603146,62.704918032786885,420.4784117205918,244
21,6259.080874406837,-1667.6201792015954,62.139917695473244,399.26092495962166,243
22,6998.450647572796,-928.2504060356368,63.37448559670782,324.0609301470631,243
23,6434.4655698899405,-1492.235483718492,63.36206896551724,399.9168679921295,232
24,6434.599970682409,-1492.101082926024,61.41078838174274,355.0893854768683,241
25,7532.563854384772,-394.1371992236609,63.26530612244898,414.19174827057645,245
26,6490.374443574805,-1436.3266100336277,60.90534979423868,367.8910930106358,243
27,6822.355408617486,-1104.3456449909463,62.44897959183674,437.52336356677097,245
28,6719.389199216896,-1207.311854391537,63.48547717842323,379.0887661075585,241
29,6264.237875434022,-1662.463178174411,61.92468619246861,397.0998818966191,239
30,6586.372139722884,-1340.328913885549,62.916666666666664,355.0893854768692,240
31,6585.700252252732,-1341.0008013557008,62.655601659751035,408.7138844938038,241
32,6412.073031584899,-1514.628022023534,62.82051282051282,368.5312473957724,234
33,5889.910006048743,-2036.79104755969,60.60606060606061,368.5312473957729,231
34,6031.892862407319,-1894.808191201114,61.41078838174274,481.4913542209897,241
35,6624.406287492143,-1302.2947661162898,63.24786324786324,377.112372889108,234
