side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.5226320217127325,4.0,2627.03,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2627.03,2646.25,-0.732,-33.26,MH,10,0.734,-1.529,33.3,MILD_UP,0.19302238923803686,0.19302238923803686,0.19302238923803686,-33.06697761076196,1
S,200.0,1.5505558742809298,4.0,2579.72,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.72,2523.54,2.178,83.11,TP,2,3.866,-0.423,1.0,MILD_UP,0.32868175993197574,0.0,0.32868175993197574,83.43868175993198,2
S,200.0,1.5372199377425926,4.0,2602.1,1084,1092,2024-10-23 16:00:00,2024-10-24 00:00:00,2602.1,2539.53,2.405,92.18,TP,8,2.809,-0.321,27.3,MILD_UP,0.3903915112855002,0.0,0.7904002117581954,92.57039151128551,3
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11,4
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666,4
S,200.0,1.2623592863882953,4.0,3168.67,1618,1620,2024-11-14 22:00:00,2024-11-15 00:00:00,3168.67,3079.25,2.822,108.88,TP,2,3.52,-0.903,2.0,UP,0.3887119832611159,0.0,0.3887119832611159,109.26871198326111,5
S,200.0,1.2818787214541632,4.0,3120.42,1732,1743,2024-11-19 16:00:00,2024-11-20 03:00:00,3120.42,3143.29,-0.733,-33.32,BE,11,1.393,-1.029,33.3,MILD_UP,0.6113745445805372,0.6113745445805372,1.460734544580537,-32.708625455419465,6
S,200.0,1.0878463090734543,4.0,3676.99,2241,2244,2024-12-10 21:00:00,2024-12-11 00:00:00,3676.99,3568.08,2.962,114.48,TP,3,3.332,-1.509,6.1,MILD_UP,0.3880004618397113,0.0,0.3880004618397113,114.86800046183971,7
S,200.0,1.1886083773118432,4.0,3365.28,2621,2633,2024-12-26 17:00:00,2024-12-27 05:00:00,3365.28,3328.8,1.084,39.36,MHx,12,1.792,-0.522,32.3,DOWN,0.25048804353377074,0.25048804353377074,0.25048804353377074,39.61048804353377,8
S,200.0,1.0928513858721636,4.0,3660.15,2910,2915,2025-01-07 18:00:00,2025-01-07 23:00:00,3660.15,3567.95,2.519,96.76,TP,5,4.376,-0.13,6.1,MILD_UP,0.0,0.0,0.0,96.76,9
