name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,expectancy,avg_win,avg_loss,mh_pct,tail5_mean,exposure_hours,exposure_pct,position_hours,max_simultaneous
base,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631,29.467290162113127,70.06258076209826,-40.24179470654819,27.881040892193308,-100.55641096308288,1622,9.258519321879103,1631,2
oi_quality,0,False,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631,29.467290162113127,70.06258076209826,-40.24179470654819,27.881040892193308,-100.55641096308288,1622,9.258519321879103,1631,2
oi_both,0,False,193,5594.268849255604,5594.268849255604,-8.251150744395304,2.989134824531238,65.80310880829016,247.77374906674686,-218.955138124139,47,-2371.782193124702,1,-167.78402024567558,1130,28.985848959873596,66.19434610098216,-42.61231978135046,24.352331606217618,-101.11775295954214,1126,6.427307494720018,1130,2
oi_long,0,False,238,7109.859641617531,7109.859641617531,-2.5303583824684575,3.0078661093802617,63.86554621848739,341.7477282312061,-241.92390117956074,65,-3094.0042892053193,1,-167.78402024567558,1471,29.873359838729122,70.07146384545155,-41.17445189408261,27.310924369747898,-101.21055894003888,1466,8.36805753753068,1471,2
oi_short,0,False,225,6465.413043324303,6465.413043324303,-12.926956675696935,2.981116706448556,64.88888888888889,367.8910930106358,-263.5934107696521,57,-2616.485787735661,2,-167.78402024567558,1299,28.735169081441345,66.63652440782208,-41.31037367364204,25.333333333333332,-100.37004798317628,1293,7.380558251041726,1299,2
base,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633,28.195288234307423,69.56689010967396,-40.62084161778744,28.62453531598513,-101.96210962881503,1624,9.269935498601518,1633,2
oi_quality,2,False,269,7584.532535028698,7584.532535028697,-7.277464971303248,2.8486663137490122,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1633,28.195288234307423,69.56689010967396,-40.62084161778744,28.62453531598513,-101.96210962881503,1624,9.269935498601518,1633,2
oi_both,2,False,193,5329.525261969654,5329.525261969651,-8.04473803034792,2.8362769819657117,64.76683937823834,265.1155774976651,-227.76698339486302,50,-2479.892488858888,1,-167.99400504668492,1136,27.614120528340163,65.8550315612966,-42.68167181165329,25.906735751295336,-102.57873457000872,1132,6.4615560248872645,1136,2
oi_long,2,False,238,6816.380303121433,6816.38030312143,-2.4196968785698223,2.872452080202113,63.4453781512605,344.8892940674523,-257.1625543653672,67,-3208.3209020337176,1,-167.99400504668492,1473,28.640253374459792,69.24986733936285,-41.843099599107596,28.15126050420168,-102.7022066009862,1468,8.379473714253097,1473,2
oi_short,2,False,225,6150.410312518444,6150.410312518446,-12.719687481554814,2.823488883902773,63.55555555555556,396.3582922820708,-275.88883606556647,60,-2740.5258733027536,2,-167.99400504668492,1305,27.335156944526425,66.59644006920031,-41.132690455819514,26.666666666666668,-101.73586677430524,1299,7.414806781208973,1305,2
base,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632,26.287985694064073,68.61135580175443,-41.10068127352058,29.213483146067414,-104.06922905650949,1624,9.269935498601518,1632,2
oi_quality,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632,26.287985694064073,68.61135580175443,-41.10068127352058,29.213483146067414,-104.06922905650949,1624,9.269935498601518,1632,2
oi_both,5,False,193,4867.562800253254,4867.562800253254,-8.037199746746861,2.581186288308556,63.212435233160626,308.6302725432279,-247.9285367253451,50,-2599.900114864628,1,-168.31398223679395,1146,25.220532643799242,65.13104443617335,-43.358093252956294,25.906735751295336,-104.77070699046183,1142,6.518636908499344,1146,2
oi_long,5,False,238,6230.009540551357,6230.009540551355,-2.41045944864531,2.6129810229999486,62.18487394957983,361.71165912430797,-292.28113490310443,67,-3369.527678138459,1,-168.31398223679395,1482,26.176510674585526,68.19208888338794,-42.91577349100069,28.15126050420168,-104.93884476027273,1477,8.430846509503967,1482,2
oi_short,5,False,223,5706.818313531561,5706.818313531561,-12.311686468438591,2.6505397326103535,62.33183856502242,399.7314833725968,-308.1693442096657,61,-2831.7228982757565,2,-168.31398223679395,1305,25.591113513594443,65.93068402056927,-41.1612710158044,27.3542600896861,-103.78417829770653,1299,7.414806781208973,1305,2
base,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631,29.255187103193315,71.50043386842847,-43.28715582700844,27.881040892193308,-108.95155406897497,1622,9.258519321879103,1631,2
oi_quality,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631,29.255187103193315,71.50043386842847,-43.28715582700844,27.881040892193308,-108.95155406897497,1622,9.258519321879103,1631,2
oi_both,0,True,193,5680.468802044656,5680.468802044655,-9.821197955344449,2.9254996242753477,65.80310880829016,279.15930566303905,-218.955138124139,47,-2509.496280741847,1,-167.78402024567558,1130,29.43248083960961,67.95744878134593,-44.69889686645871,24.352331606217618,-103.94580256112249,1126,6.427307494720018,1130,2
oi_long,0,True,238,7115.920006505081,7115.92000650508,-3.5699934949195375,2.8741707562384238,63.86554621848739,341.7477282312061,-256.8344182038363,65,-3349.8379647239663,1,-167.78402024567558,1471,29.898823556744034,71.79445095338706,-44.14926207453198,27.310924369747898,-106.89978864209655,1466,8.36805753753068,1471,2
oi_short,0,True,225,6488.496908376375,6488.496908376375,-14.57309162362463,2.8824202751547596,64.88888888888889,367.8910930106358,-263.5934107696521,57,-2791.109875352806,2,-167.78402024567558,1299,28.837764037228336,68.05059994259014,-43.63152763597195,25.333333333333332,-106.43366713327147,1293,7.380558251041726,1299,2
base,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633,27.88192315266325,70.93904070740568,-43.737836740373666,28.62453531598513,-110.87152218864762,1624,9.269935498601518,1633,2
oi_quality,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633,27.88192315266325,70.93904070740568,-43.737836740373666,28.62453531598513,-110.87152218864762,1624,9.269935498601518,1633,2
