bar,side,root_entry_bar,decision_ts,tp,close_return
422,S,417,2024-09-26 02:00:00,0.02,0.01604032822096446
900,S,890,2024-10-16 00:00:00,0.02,0.008525070335684282
2074,S,2070,2024-12-03 22:00:00,0.02,0.01793518423696594
2131,S,2128,2024-12-06 07:00:00,0.02,0.007350141108102837
3636,S,3635,2025-02-07 00:00:00,0.02,0.015526593614620166
3763,S,3754,2025-02-12 07:00:00,0.02,0.01820108553218802
4115,S,4113,2025-02-26 23:00:00,0.02,-0.0011431156068175685
4639,S,4634,2025-03-20 19:00:00,0.02,0.017062561070576465
4792,S,4786,2025-03-27 04:00:00,0.02,0.013916363690179567
4977,S,4975,2025-04-03 21:00:00,0.02,0.01886866139623644
5146,S,5141,2025-04-10 22:00:00,0.02,0.01492462311557785
5273,S,5267,2025-04-16 05:00:00,0.02,0.015547336638737308
5626,S,5625,2025-04-30 22:00:00,0.02,0.01924160786347129
5980,S,5974,2025-05-15 16:00:00,0.02,0.018321102448376148
7642,S,7638,2025-07-23 22:00:00,0.02,0.0193818796240095
7816,S,7808,2025-07-31 04:00:00,0.02,-0.000556352669028648
8001,L,7996,2025-08-07 21:00:00,0.04,0.03984598757092672
8196,S,8195,2025-08-16 00:00:00,0.02,0.014032392719986575
8677,S,8666,2025-09-05 01:00:00,0.02,0.017876376974988673
9167,S,9162,2025-09-25 11:00:00,0.02,0.010470951437281717
9509,S,9503,2025-10-09 17:00:00,0.02,0.019157696179343264
9627,S,9626,2025-10-14 15:00:00,0.02,0.01644816076528688
9793,S,9792,2025-10-21 13:00:00,0.02,0.0184091946519237
9999,S,9996,2025-10-30 03:00:00,0.02,0.008845054591757995
10022,S,10017,2025-10-31 02:00:00,0.02,0.012055581472143695
10167,L,10161,2025-11-06 03:00:00,0.04,0.03490003140374731
10208,S,10206,2025-11-07 20:00:00,0.02,0.012491514740108678
10310,S,10306,2025-11-12 02:00:00,0.02,0.01684796615113604
10864,S,10858,2025-12-05 04:00:00,0.02,0.01632175276630521
11194,L,11190,2025-12-18 22:00:00,0.04,0.03919147846643245
11315,S,11307,2025-12-23 23:00:00,0.02,0.014301262810632487
12014,S,12009,2026-01-22 02:00:00,0.02,0.009525857361293077
12204,S,12203,2026-01-30 00:00:00,0.02,0.018136976961795392
12516,S,12507,2026-02-12 00:00:00,0.02,0.010129480742178232
12688,S,12682,2026-02-19 04:00:00,0.02,0.01505981274244983
12898,S,12895,2026-02-27 22:00:00,0.02,0.008870478884623112
13045,S,13036,2026-03-06 01:00:00,0.02,0.011942213562704973
13066,S,13062,2026-03-06 22:00:00,0.02,0.019521933638054878
13352,S,13351,2026-03-18 20:00:00,0.02,0.018852090254706466
13378,S,13372,2026-03-19 22:00:00,0.02,0.013208514411597538
13542,S,13538,2026-03-26 18:00:00,0.02,0.01762459702732433
15179,S,15178,2026-06-02 23:00:00,0.02,0.016610588616831512
15849,S,15845,2026-06-30 21:00:00,0.02,0.019870268494950327
16185,L,16183,2026-07-14 21:00:00,0.035,0.03397497165973906
16233,S,16228,2026-07-16 21:00:00,0.02,0.019990470755166467
16406,S,16396,2026-07-24 02:00:00,0.02,0.01926240853228589
