bar,side,decision_ts
381,S,2024-09-24 09:00:00
562,S,2024-10-01 22:00:00
748,S,2024-10-09 16:00:00
1084,S,2024-10-23 16:00:00
1305,L,2024-11-01 21:00:00
1584,S,2024-11-13 12:00:00
1618,S,2024-11-14 22:00:00
1732,S,2024-11-19 16:00:00
1900,S,2024-11-26 16:00:00
2070,S,2024-12-03 18:00:00
2083,L,2024-12-04 07:00:00
2128,S,2024-12-06 04:00:00
2241,S,2024-12-10 21:00:00
2598,L,2024-12-25 18:00:00
2910,S,2025-01-07 18:00:00
3635,S,2025-02-06 23:00:00
3725,L,2025-02-10 17:00:00
3754,S,2025-02-11 22:00:00
3814,L,2025-02-14 10:00:00
3967,L,2025-02-20 19:00:00
3972,S,2025-02-21 00:00:00
4139,S,2025-02-27 23:00:00
4615,L,2025-03-19 19:00:00
4786,S,2025-03-26 22:00:00
4824,S,2025-03-28 12:00:00
4923,L,2025-04-01 15:00:00
4975,S,2025-04-03 19:00:00
4996,L,2025-04-04 16:00:00
5099,S,2025-04-08 23:00:00
5267,S,2025-04-15 23:00:00
5306,L,2025-04-17 14:00:00
5493,L,2025-04-25 09:00:00
5495,S,2025-04-25 11:00:00
5625,S,2025-04-30 21:00:00
5790,L,2025-05-07 18:00:00
5974,S,2025-05-15 10:00:00
6105,S,2025-05-20 21:00:00
6166,L,2025-05-23 10:00:00
6286,S,2025-05-28 10:00:00
6608,L,2025-06-10 20:00:00
7178,S,2025-07-04 14:00:00
7274,L,2025-07-08 14:00:00
7638,S,2025-07-23 18:00:00
7679,S,2025-07-25 11:00:00
7779,L,2025-07-29 15:00:00
7808,S,2025-07-30 20:00:00
8026,L,2025-08-08 22:00:00
8167,S,2025-08-14 19:00:00
8309,L,2025-08-20 17:00:00
8692,L,2025-09-05 16:00:00
8851,L,2025-09-12 07:00:00
9024,S,2025-09-19 12:00:00
9155,L,2025-09-24 23:00:00
9162,S,2025-09-25 06:00:00
9317,L,2025-10-01 17:00:00
9459,S,2025-10-07 15:00:00
9503,S,2025-10-09 11:00:00
9626,S,2025-10-14 14:00:00
9699,S,2025-10-17 15:00:00
9822,S,2025-10-22 18:00:00
9970,L,2025-10-28 22:00:00
9996,S,2025-10-30 00:00:00
10017,S,2025-10-30 21:00:00
10206,S,2025-11-07 18:00:00
10326,L,2025-11-12 18:00:00
10356,S,2025-11-14 00:00:00
10689,S,2025-11-27 21:00:00
10949,L,2025-12-08 17:00:00
11027,S,2025-12-11 23:00:00
11052,S,2025-12-13 00:00:00
11357,S,2025-12-25 17:00:00
11472,L,2025-12-30 12:00:00
11504,L,2025-12-31 20:00:00
11527,L,2026-01-01 19:00:00
11651,L,2026-01-06 23:00:00
11691,S,2026-01-08 15:00:00
11810,L,2026-01-13 14:00:00
11892,S,2026-01-17 00:00:00
11971,S,2026-01-20 07:00:00
12009,S,2026-01-21 21:00:00
12053,S,2026-01-23 17:00:00
12346,S,2026-02-04 22:00:00
12395,L,2026-02-06 23:00:00
12530,L,2026-02-12 14:00:00
12540,S,2026-02-13 00:00:00
12675,L,2026-02-18 15:00:00
12682,S,2026-02-18 22:00:00
12848,L,2026-02-25 20:00:00
12875,S,2026-02-26 23:00:00
12971,L,2026-03-02 23:00:00
13220,L,2026-03-13 08:00:00
13231,L,2026-03-13 19:00:00
13351,S,2026-03-18 19:00:00
13566,S,2026-03-27 18:00:00
13737,S,2026-04-03 21:00:00
13831,S,2026-04-07 19:00:00
13882,S,2026-04-09 22:00:00
14398,L,2026-05-01 10:00:00
14496,L,2026-05-05 12:00:00
14836,L,2026-05-19 16:00:00
14907,S,2026-05-22 15:00:00
15034,S,2026-05-27 22:00:00
15239,S,2026-06-05 11:00:00
15333,S,2026-06-09 09:00:00
15487,L,2026-06-15 19:00:00
15564,S,2026-06-19 00:00:00
15730,S,2026-06-25 22:00:00
15910,L,2026-07-03 10:00:00
16195,L,2026-07-15 07:00:00
16371,S,2026-07-22 15:00:00
16426,S,2026-07-24 22:00:00
16548,S,2026-07-30 00:00:00
17012,L,2026-08-18 08:00:00
17071,L,2026-08-20 19:00:00
17086,L,2026-08-21 10:00:00
17255,S,2026-08-28 11:00:00
17490,L,2026-09-07 06:00:00
