side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.5228523023623246,4.0,2626.65,382,392,2024-09-24 10:00:00,2024-09-24 20:00:00,2626.65,2636.28,-0.367,-18.67,MH,10,0.72,-1.544,27.3,MILD_UP,0.19305031397407343,0.19305031397407343,0.19305031397407343,-18.47694968602593
S,200.0,1.5287422655196004,4.0,2616.53,417,422,2024-09-25 21:00:00,2024-09-26 02:00:00,2616.53,2574.56,1.604,60.16,TP,5,2.116,-0.463,14.1,UP,0.1406210756994951,0.1406210756994951,0.1406210756994951,60.30062107569949
L,200.0,1.5061772092795578,4.0,2655.73,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2655.73,2579.72,-2.862,-118.48,MH,7,0.045,-3.41,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-118.87835224213305
S,200.0,1.5694952895522623,4.0,2548.59,563,564,2024-10-01 23:00:00,2024-10-02 00:00:00,2548.59,2523.54,0.983,35.32,TP,1,2.691,-0.091,28.3,MILD_UP,0.332696475200686,0.0,0.332696475200686,35.652696475200685
S,200.0,1.646002477233728,4.0,2430.13,749,761,2024-10-09 17:00:00,2024-10-10 05:00:00,2430.13,2355.01,3.091,119.65,TP,12,3.252,-1.708,16.2,DOWN,0.4049725734837231,0.4049725734837231,0.4049725734837231,120.05497257348372
S,200.0,1.5416040390025822,4.0,2594.7,890,900,2024-10-15 14:00:00,2024-10-16 00:00:00,2594.7,2572.58,0.853,30.1,TP,10,2.238,-3.625,6.1,MILD_UP,0.7997502601456816,0.4031602882799553,0.7997502601456816,30.899750260145684
S,200.0,1.5163921996785248,4.0,2637.84,1053,1063,2024-10-22 09:00:00,2024-10-22 19:00:00,2637.84,2632.46,0.204,4.16,MHx,10,0.942,-0.825,34.3,UP,0.40132973810541955,0.40132973810541955,0.40132973810541955,4.56132973810542
S,200.0,1.5528794266769157,4.0,2575.86,1085,1093,2024-10-23 17:00:00,2024-10-24 01:00:00,2575.86,2491.49,3.275,127.02,TP,8,3.552,-0.493,32.3,MILD_UP,0.39436838629273335,0.39436838629273335,0.39436838629273335,127.41436838629274
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666
