side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.5226320217127325,4.0,2627.03,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2627.03,2646.25,-0.732,-33.26,MH,10,0.734,-1.529,33.3,MILD_UP,0.19302238923803686,0.19302238923803686,0.19302238923803686,-33.06697761076196
S,200.0,1.5287422655196004,4.0,2616.53,417,422,2024-09-25 21:00:00,2024-09-26 02:00:00,2616.53,2574.56,1.604,60.16,TP,5,2.116,-0.463,14.1,UP,0.1406210756994951,0.1406210756994951,0.1406210756994951,60.30062107569949
L,200.0,1.5061772092795578,4.0,2655.73,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2655.73,2579.72,-2.862,-118.48,MH,7,0.045,-3.41,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-118.87835224213305
S,200.0,1.5505558742809298,4.0,2579.72,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.72,2523.54,2.178,83.11,TP,2,3.866,-0.423,1.0,MILD_UP,0.32868175993197574,0.0,0.32868175993197574,83.43868175993198
S,200.0,1.6428454082470838,4.0,2434.8,748,759,2024-10-09 16:00:00,2024-10-10 03:00:00,2434.8,2414.24,0.844,29.78,BE,11,1.101,-1.513,19.2,DOWN,0.40419582717266306,0.40419582717266306,0.5498027652823592,30.184195827172665
S,200.0,1.5416040390025822,4.0,2594.7,890,900,2024-10-15 14:00:00,2024-10-16 00:00:00,2594.7,2572.58,0.853,30.1,TP,10,2.238,-3.625,6.1,MILD_UP,0.7997502601456816,0.4031602882799553,0.7997502601456816,30.899750260145684
S,200.0,1.5163921996785248,4.0,2637.84,1053,1063,2024-10-22 09:00:00,2024-10-22 19:00:00,2637.84,2632.46,0.204,4.16,MHx,10,0.942,-0.825,34.3,UP,0.40132973810541955,0.40132973810541955,0.40132973810541955,4.56132973810542
S,200.0,1.5372199377425926,4.0,2602.1,1084,1092,2024-10-23 16:00:00,2024-10-24 00:00:00,2602.1,2539.53,2.405,92.18,TP,8,2.809,-0.321,27.3,MILD_UP,0.3903915112855002,0.0,0.7904002117581954,92.57039151128551
S,200.0,1.516748697492056,4.0,2637.22,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2637.22,2556.05,3.078,119.11,TP,6,3.653,-0.447,10.1,DOWN,0.0,0.0,0.0,119.11
S,200.0,1.5989574797232204,4.0,2501.63,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.63,2515.84,-0.568,-26.72,MH,10,1.372,-0.985,32.3,DOWN,0.4004153497983315,0.4004153497983315,0.4004153497983315,-26.319584650201666
L,200.0,1.5767772250297616,4.0,2536.82,1305,1307,2024-11-01 21:00:00,2024-11-01 23:00:00,2536.82,2562.0,0.993,35.7,MFE,2,2.012,-0.268,17.2,SIDE,0.0,0.0,0.0,35.7
L,200.0,1.637787022175636,4.0,2442.32,1396,1402,2024-11-05 16:00:00,2024-11-05 22:00:00,2442.32,2441.19,-0.046,-5.85,MH,6,0.215,-0.538,9.1,SIDE,0.0,-0.4000151296783386,0.0,-5.85
L,200.0,1.5184414716734742,4.0,2634.28,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87
L,200.0,1.3676195555920254,4.0,2924.79,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2924.79,2913.46,-0.387,-19.5,MFE,4,1.135,-0.565,2.0,MILD_UP,0.0,0.0,0.0,-19.5
S,200.0,1.2458691650496323,4.0,3210.61,1584,1586,2024-11-13 12:00:00,2024-11-13 14:00:00,3210.61,3143.86,2.079,79.16,TP,2,2.35,-0.71,4.0,UP,0.0,0.0,0.0,79.16
S,200.0,1.2623592863882953,4.0,3168.67,1618,1620,2024-11-14 22:00:00,2024-11-15 00:00:00,3168.67,3079.25,2.822,108.88,TP,2,3.52,-0.903,2.0,UP,0.3887119832611159,0.0,0.3887119832611159,109.26871198326111
S,200.0,1.2818787214541632,4.0,3120.42,1732,1743,2024-11-19 16:00:00,2024-11-20 03:00:00,3120.42,3143.29,-0.733,-33.32,BE,11,1.393,-1.029,33.3,MILD_UP,0.6113745445805372,0.6113745445805372,1.460734544580537,-32.708625455419465
L,200.0,1.2698372386119408,4.0,3150.01,1784,1785,2024-11-21 20:00:00,2024-11-21 21:00:00,3150.01,3288.05,4.382,171.29,TP,1,5.428,-0.047,6.1,DOWN,0.0,0.0,0.0,171.29
L,200.0,1.175899930915879,4.0,3401.65,1876,1879,2024-11-25 16:00:00,2024-11-25 19:00:00,3401.65,3504.57,3.026,117.02,TP,3,3.83,-0.083,22.2,MILD_UP,0.0,-0.9574028145164846,0.0,117.02
S,200.0,1.1775164999499554,4.0,3396.98,1900,1903,2024-11-26 16:00:00,2024-11-26 19:00:00,3396.98,3320.1,2.263,86.53,TP,3,2.354,-0.084,29.3,MILD_UP,0.0,0.0,0.49080144481274535,86.53
L,200.0,1.1567480342513095,4.0,3457.97,1927,1935,2024-11-27 19:00:00,2024-11-28 03:00:00,3457.97,3587.98,3.76,146.39,TP,8,4.001,-0.595,24.2,MILD_UP,-0.6457629247217299,-0.6457629247217299,-0.6457629247217299,145.74423707527825
S,200.0,1.1071101380843118,4.0,3613.01,2070,2074,2024-12-03 18:00:00,2024-12-03 22:00:00,3613.01,3548.21,1.794,67.74,TP,4,2.021,-0.233,15.2,UP,0.0,0.0,0.0,67.74
L,200.0,1.1002855240935023,4.0,3635.42,2083,2087,2024-12-04 07:00:00,2024-12-04 11:00:00,3635.42,3651.03,0.429,13.18,MFE,4,2.101,-0.592,11.1,MILD_UP,-0.7454401470886075,-0.7454401470886075,-0.7454401470886075,12.434559852911391
L,200.0,1.0727513121089487,4.0,3728.73,2094,2100,2024-12-04 18:00:00,2024-12-05 00:00:00,3728.73,3824.39,2.565,98.62,MFE,6,3.472,-1.026,1.0,MILD_UP,-0.8140225663619525,-0.8140225663619525,0.0,97.80597743363805
L,200.0,1.0192796750536395,4.0,3924.34,2118,2125,2024-12-05 18:00:00,2024-12-06 01:00:00,3924.34,3904.55,-0.504,-24.17,MH,7,0.909,-1.579,22.2,MILD_UP,-1.2362945188235475,-1.2362945188235475,-1.2362945188235475,-25.40629451882355
S,200.0,1.0433131452239732,4.0,3833.94,2128,2131,2024-12-06 04:00:00,2024-12-06 07:00:00,3833.94,3805.76,0.735,25.4,TP,3,5.711,-0.8,6.1,UP,0.0,0.0,0.0,25.4
S,200.0,1.0878463090734543,4.0,3676.99,2241,2244,2024-12-10 21:00:00,2024-12-11 00:00:00,3676.99,3568.08,2.962,114.48,TP,3,3.332,-1.509,6.1,MILD_UP,0.3880004618397113,0.0,0.3880004618397113,114.86800046183971
L,200.0,1.0885064602858416,4.0,3674.76,2259,2268,2024-12-11 15:00:00,2024-12-12 00:00:00,3674.76,3786.75,3.048,117.9,TP,9,3.952,-0.668,24.2,MILD_UP,-0.8096778589872535,-0.8096778589872535,-0.39754106390621424,117.09032214101275
L,200.0,1.031097913057824,4.0,3879.36,2279,2281,2024-12-12 11:00:00,2024-12-12 13:00:00,3879.36,3907.74,0.732,25.26,MFE,2,1.76,-0.807,22.2,MILD_UP,0.0,0.0,0.0,25.26
L,200.0,1.1581345926116804,4.0,3453.83,2579,2581,2024-12-24 23:00:00,2024-12-25 01:00:00,3453.83,3478.26,0.707,24.29,MFE,2,1.839,-0.35,23.2,DOWN,-0.11148045488148971,-0.11148045488148971,-0.11148045488148971,24.178519545118508
L,200.0,1.144990095835671,4.0,3493.48,2598,2599,2024-12-25 18:00:00,2024-12-25 19:00:00,3493.48,3513.09,0.561,18.45,MFE,1,1.532,-0.091,17.2,DOWN,0.0,0.0,0.0,18.45
S,200.0,1.1886083773118432,4.0,3365.28,2621,2633,2024-12-26 17:00:00,2024-12-27 05:00:00,3365.28,3328.8,1.084,39.36,MHx,12,1.792,-0.522,32.3,DOWN,0.25048804353377074,0.25048804353377074,0.25048804353377074,39.61048804353377
S,200.0,1.0928513858721636,4.0,3660.15,2910,2915,2025-01-07 18:00:00,2025-01-07 23:00:00,3660.15,3567.95,2.519,96.76,TP,5,4.376,-0.13,6.1,MILD_UP,0.0,0.0,0.0,96.76
S,200.0,1.2093360744951023,4.0,3307.6,2931,2941,2025-01-08 15:00:00,2025-01-09 01:00:00,3307.6,3313.17,-0.168,-10.74,MH,10,0.033,-2.337,23.2,MILD_UP,0.8101949339811344,0.8101949339811344,0.8101949339811344,-9.929805066018865
