bar,side,root_entry_bar,decision_ts,base_action,candidate_action
391,S,381,2024-09-24 19:00:00,CLOSE,HOLD
757,S,748,2024-10-10 01:00:00,HOLD,EXTEND
899,S,890,2024-10-15 23:00:00,HOLD,EXTEND
1061,S,1053,2024-10-22 17:00:00,EXTEND,HOLD
1090,S,1084,2024-10-23 22:00:00,HOLD,EXTEND
1304,S,1294,2024-11-01 20:00:00,CLOSE,HOLD
1402,L,1396,2024-11-05 22:00:00,CLOSE,HOLD
1434,L,1428,2024-11-07 06:00:00,EXTEND,HOLD
1742,S,1732,2024-11-20 02:00:00,EXTEND,HOLD
1932,L,1927,2024-11-28 00:00:00,HOLD,EXTEND
2099,L,2094,2024-12-04 23:00:00,HOLD,EXTEND
2125,L,2118,2024-12-06 01:00:00,CLOSE,HOLD
2266,L,2259,2024-12-11 22:00:00,EXTEND,HOLD
2629,S,2621,2024-12-27 01:00:00,HOLD,EXTEND
2941,S,2931,2025-01-09 01:00:00,CLOSE,HOLD
3076,L,3070,2025-01-14 16:00:00,EXTEND,HOLD
3155,L,3149,2025-01-17 23:00:00,EXTEND,HOLD
3278,S,3268,2025-01-23 02:00:00,EXTEND,HOLD
3414,L,3408,2025-01-28 18:00:00,CLOSE,HOLD
3462,L,3456,2025-01-30 18:00:00,EXTEND,HOLD
3661,L,3658,2025-02-08 01:00:00,HOLD,CLOSE
3761,S,3754,2025-02-12 05:00:00,HOLD,EXTEND
3793,L,3787,2025-02-13 13:00:00,CLOSE,HOLD
3810,S,3800,2025-02-14 06:00:00,CLOSE,HOLD
3972,L,3967,2025-02-21 00:00:00,HOLD,CLOSE
3982,S,3972,2025-02-21 10:00:00,CLOSE,HOLD
4140,L,4134,2025-02-28 00:00:00,CLOSE,HOLD
4496,L,4490,2025-03-14 20:00:00,EXTEND,HOLD
4596,S,4587,2025-03-19 00:00:00,HOLD,EXTEND
4791,S,4786,2025-03-27 03:00:00,HOLD,EXTEND
5000,L,4996,2025-04-04 20:00:00,HOLD,CLOSE
5122,L,5119,2025-04-09 22:00:00,HOLD,EXTEND
5312,L,5306,2025-04-17 20:00:00,CLOSE,HOLD
5342,L,5336,2025-04-19 02:00:00,EXTEND,HOLD
5498,L,5493,2025-04-25 14:00:00,CLOSE,HOLD
5505,S,5495,2025-04-25 21:00:00,CLOSE,HOLD
5796,L,5790,2025-05-08 00:00:00,CLOSE,HOLD
6115,S,6105,2025-05-21 07:00:00,CLOSE,HOLD
6296,S,6286,2025-05-28 20:00:00,CLOSE,HOLD
6467,L,6462,2025-06-04 23:00:00,HOLD,CLOSE
6611,L,6608,2025-06-10 23:00:00,HOLD,CLOSE
6657,S,6647,2025-06-12 21:00:00,EXTEND,HOLD
7140,L,7135,2025-07-03 00:00:00,HOLD,EXTEND
7281,L,7274,2025-07-08 21:00:00,EXTEND,HOLD
7310,L,7305,2025-07-10 02:00:00,HOLD,EXTEND
7446,S,7438,2025-07-15 18:00:00,EXTEND,HOLD
7626,S,7618,2025-07-23 06:00:00,CLOSE,HOLD
7686,S,7679,2025-07-25 18:00:00,HOLD,CLOSE
7830,L,7823,2025-07-31 18:00:00,EXTEND,HOLD
7955,S,7948,2025-08-05 23:00:00,HOLD,EXTEND
7976,L,7970,2025-08-06 20:00:00,CLOSE,HOLD
7999,L,7996,2025-08-07 19:00:00,HOLD,EXTEND
8029,L,8026,2025-08-09 01:00:00,HOLD,CLOSE
8315,L,8309,2025-08-20 23:00:00,HOLD,CLOSE
8362,L,8357,2025-08-22 22:00:00,HOLD,CLOSE
8509,L,8503,2025-08-29 01:00:00,HOLD,CLOSE
8651,L,8646,2025-09-03 23:00:00,HOLD,EXTEND
8675,S,8666,2025-09-04 23:00:00,HOLD,EXTEND
8697,L,8692,2025-09-05 21:00:00,HOLD,EXTEND
8817,L,8813,2025-09-10 21:00:00,HOLD,EXTEND
8840,L,8834,2025-09-11 20:00:00,EXTEND,HOLD
8967,S,8962,2025-09-17 03:00:00,HOLD,CLOSE
8979,L,8975,2025-09-17 15:00:00,HOLD,EXTEND
9161,L,9155,2025-09-25 05:00:00,CLOSE,HOLD
9322,L,9317,2025-10-01 22:00:00,HOLD,EXTEND
9338,L,9332,2025-10-02 14:00:00,EXTEND,HOLD
9349,L,9346,2025-10-03 01:00:00,HOLD,EXTEND
9466,S,9459,2025-10-07 22:00:00,HOLD,CLOSE
9488,S,9480,2025-10-08 20:00:00,CLOSE,HOLD
9767,L,9763,2025-10-20 11:00:00,HOLD,CLOSE
9830,S,9822,2025-10-23 02:00:00,HOLD,EXTEND
9849,L,9843,2025-10-23 21:00:00,CLOSE,HOLD
9969,S,9959,2025-10-28 21:00:00,CLOSE,HOLD
9973,L,9970,2025-10-29 01:00:00,HOLD,CLOSE
10448,L,10442,2025-11-17 20:00:00,EXTEND,HOLD
10477,L,10471,2025-11-19 01:00:00,EXTEND,HOLD
10646,S,10637,2025-11-26 02:00:00,HOLD,CLOSE
10699,S,10689,2025-11-28 07:00:00,CLOSE,HOLD
10810,L,10803,2025-12-02 22:00:00,EXTEND,HOLD
11058,S,11052,2025-12-13 06:00:00,HOLD,CLOSE
11344,S,11334,2025-12-25 04:00:00,CLOSE,HOLD
11353,L,11347,2025-12-25 13:00:00,CLOSE,HOLD
11389,L,11386,2025-12-27 01:00:00,HOLD,CLOSE
11488,L,11483,2025-12-31 04:00:00,HOLD,CLOSE
11507,L,11504,2025-12-31 23:00:00,HOLD,CLOSE
11533,L,11527,2026-01-02 01:00:00,CLOSE,HOLD
11655,L,11651,2026-01-07 03:00:00,HOLD,CLOSE
11699,S,11691,2026-01-08 23:00:00,HOLD,EXTEND
11816,L,11810,2026-01-13 20:00:00,EXTEND,HOLD
11902,S,11892,2026-01-17 10:00:00,CLOSE,HOLD
12061,S,12053,2026-01-24 01:00:00,HOLD,CLOSE
12515,S,12507,2026-02-11 23:00:00,HOLD,EXTEND
12536,L,12530,2026-02-12 20:00:00,EXTEND,HOLD
12712,S,12706,2026-02-20 04:00:00,HOLD,CLOSE
12836,S,12826,2026-02-25 08:00:00,CLOSE,HOLD
12851,L,12848,2026-02-25 23:00:00,HOLD,EXTEND
13682,L,13677,2026-04-01 14:00:00,EXTEND,HOLD
13723,S,13713,2026-04-03 07:00:00,CLOSE,HOLD
13747,S,13737,2026-04-04 07:00:00,CLOSE,HOLD
13838,S,13831,2026-04-08 02:00:00,HOLD,CLOSE
13888,S,13882,2026-04-10 04:00:00,HOLD,CLOSE
14002,L,13995,2026-04-14 22:00:00,EXTEND,HOLD
14502,L,14496,2026-05-05 18:00:00,CLOSE,HOLD
14841,L,14836,2026-05-19 21:00:00,CLOSE,HOLD
14850,S,14840,2026-05-20 06:00:00,CLOSE,HOLD
14917,S,14907,2026-05-23 01:00:00,EXTEND,HOLD
14989,L,14983,2026-05-26 01:00:00,EXTEND,HOLD
15343,S,15333,2026-06-09 19:00:00,CLOSE,HOLD
15395,L,15389,2026-06-11 23:00:00,CLOSE,HOLD
15541,S,15533,2026-06-18 01:00:00,HOLD,CLOSE
15574,S,15564,2026-06-19 10:00:00,CLOSE,HOLD
15658,L,15652,2026-06-22 22:00:00,HOLD,EXTEND
15699,L,15692,2026-06-24 15:00:00,EXTEND,HOLD
15729,L,15723,2026-06-25 21:00:00,CLOSE,HOLD
15738,S,15730,2026-06-26 06:00:00,HOLD,CLOSE
15916,L,15910,2026-07-03 16:00:00,EXTEND,HOLD
16051,S,16043,2026-07-09 07:00:00,CLOSE,HOLD
16202,L,16195,2026-07-15 14:00:00,EXTEND,HOLD
16348,L,16341,2026-07-21 16:00:00,EXTEND,HOLD
16379,S,16371,2026-07-22 23:00:00,HOLD,CLOSE
16404,S,16396,2026-07-24 00:00:00,HOLD,EXTEND
16436,S,16426,2026-07-25 08:00:00,CLOSE,HOLD
16554,S,16548,2026-07-30 06:00:00,HOLD,CLOSE
16573,L,16567,2026-07-31 01:00:00,EXTEND,HOLD
16879,L,16874,2026-08-12 19:00:00,HOLD,EXTEND
17018,L,17012,2026-08-18 14:00:00,CLOSE,HOLD
17209,S,17201,2026-08-26 13:00:00,CLOSE,HOLD
17263,S,17255,2026-08-28 19:00:00,CLOSE,HOLD
