side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.5229366090345393,4.0,2626.5045940000005,381,397,2024-09-24 09:00:00,2024-09-25 01:00:00,2626.5,2626.53,-0.001,-4.03,BE,16,1.386,-1.55,33.3,MILD_UP,0.38155035962598427,0.38155035962598427,0.38155035962598427,-3.648449640374016
S,200.0,1.5290480751346271,4.0,2616.006694,417,422,2024-09-25 21:00:00,2024-09-26 02:00:00,2616.01,2575.07,1.565,58.59,TP,5,2.096,-0.483,14.1,UP,0.1406492055406032,0.1406492055406032,0.1406492055406032,58.73064920554061
L,200.0,1.5058760340727433,4.0,2656.261146,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2656.26,2579.2,-2.901,-120.04,MH,7,0.025,-3.429,8.1,MILD_UP,-0.3982725876155251,-0.3982725876155251,-0.3982725876155251,-120.43827258761553
S,200.0,1.5508660474904277,4.0,2579.204056,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2579.2,2524.04,2.139,81.54,TP,2,3.846,-0.443,1.0,MILD_UP,0.32874750943386244,0.0,0.32874750943386244,81.86874750943387
S,200.0,1.6431740430556947,4.0,2434.3130400000005,748,758,2024-10-09 16:00:00,2024-10-10 02:00:00,2434.31,2433.59,0.03,-2.81,BE,10,0.503,-1.533,19.2,DOWN,0.4042766825091648,0.4042766825091648,0.5499127478319255,-2.4057233174908355
S,200.0,1.5419124214868796,4.0,2594.18106,890,900,2024-10-15 14:00:00,2024-10-16 00:00:00,2594.18,2573.09,0.813,28.51,TP,10,2.218,-3.646,6.1,MILD_UP,0.7999102421941204,0.40324093646724873,0.7999102421941204,29.30991024219412
S,200.0,1.516695538786282,4.0,2637.312432,1053,1067,2024-10-22 09:00:00,2024-10-22 23:00:00,2637.31,2638.89,-0.06,-6.39,BE,14,1.187,-0.845,34.3,UP,0.40141002010944143,0.40141002010944143,0.40141002010944143,-5.988589979890558
S,200.0,1.5375274432312387,4.0,2601.57958,1084,1092,2024-10-23 16:00:00,2024-10-24 00:00:00,2601.58,2540.04,2.366,90.62,TP,8,2.79,-0.341,27.3,MILD_UP,0.3904696052065415,0.0,0.7905583234228799,91.01046960520655
S,200.0,1.5170521079136388,4.0,2636.692556,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2636.69,2556.56,3.039,117.56,TP,6,3.634,-0.467,10.1,DOWN,0.0,0.0,0.0,117.56
S,200.0,1.5992773351902583,4.0,2501.1296740000003,1294,1306,2024-11-01 10:00:00,2024-11-01 22:00:00,2501.13,2575.1,-2.958,-122.31,MH,12,1.353,-3.033,32.3,DOWN,0.40049544888810906,0.40049544888810906,0.40049544888810906,-121.9095045511119
L,200.0,1.576461932643233,4.0,2537.327364,1305,1307,2024-11-01 21:00:00,2024-11-01 23:00:00,2537.33,2561.49,0.952,34.09,MFE,2,1.992,-0.288,17.2,SIDE,0.0,0.0,0.0,34.09
L,200.0,1.6374595302695822,4.0,2442.808464,1396,1404,2024-11-05 16:00:00,2024-11-06 00:00:00,2442.81,2439.73,-0.126,-9.04,MFE,8,1.506,-0.688,9.1,SIDE,-0.399532459098275,-0.7994676017480836,0.0,-9.439532459098274
L,200.0,1.5181378441046534,4.0,2634.806856,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.81,2735.72,3.83,149.2,TP,7,4.221,-0.044,14.1,SIDE,0.0,-0.3999260091905575,0.0,149.2
L,200.0,1.3673460863747504,4.0,2925.374958,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2925.37,2912.88,-0.427,-21.09,MFE,4,1.115,-0.585,2.0,MILD_UP,0.0,0.0,0.0,-21.09
S,200.0,1.2461183887273777,4.0,3209.9678780000004,1584,1586,2024-11-13 12:00:00,2024-11-13 14:00:00,3209.97,3144.49,2.04,77.59,TP,2,2.33,-0.73,4.0,UP,0.0,0.0,0.0,77.59
S,200.0,1.2626118087500453,4.0,3168.036266,1618,1620,2024-11-14 22:00:00,2024-11-15 00:00:00,3168.04,3079.87,2.783,107.33,TP,2,3.5,-0.923,2.0,UP,0.3887897412093577,0.0,0.3887897412093577,107.71878974120935
S,200.0,1.28213514848386,4.0,3119.795916,1732,1747,2024-11-19 16:00:00,2024-11-20 07:00:00,3119.8,3095.15,0.79,27.6,MHx,15,1.712,-1.049,33.3,MILD_UP,0.611496843949327,0.611496843949327,1.4610267499305232,28.211496843949327
L,200.0,1.2695833219475514,4.0,3150.640002,1784,1785,2024-11-21 20:00:00,2024-11-21 21:00:00,3150.64,3287.39,4.34,169.62,TP,1,5.407,-0.067,6.1,DOWN,0.0,0.0,0.0,169.62
