bar,side,root_entry_bar,decision_ts,base_action,candidate_action
391,S,381,2024-09-24 19:00:00,CLOSE,HOLD
758,S,748,2024-10-10 02:00:00,EXTEND,HOLD
1061,S,1053,2024-10-22 17:00:00,EXTEND,HOLD
1304,S,1294,2024-11-01 20:00:00,CLOSE,HOLD
1402,L,1396,2024-11-05 22:00:00,CLOSE,HOLD
1434,L,1428,2024-11-07 06:00:00,EXTEND,HOLD
1742,S,1732,2024-11-20 02:00:00,EXTEND,HOLD
1934,L,1927,2024-11-28 02:00:00,EXTEND,HOLD
2125,L,2118,2024-12-06 01:00:00,CLOSE,HOLD
2266,L,2259,2024-12-11 22:00:00,EXTEND,HOLD
2631,S,2621,2024-12-27 03:00:00,EXTEND,HOLD
3076,L,3070,2025-01-14 16:00:00,EXTEND,HOLD
3155,L,3149,2025-01-17 23:00:00,EXTEND,HOLD
3278,S,3268,2025-01-23 02:00:00,EXTEND,HOLD
3414,L,3408,2025-01-28 18:00:00,CLOSE,HOLD
3462,L,3456,2025-01-30 18:00:00,EXTEND,HOLD
3793,L,3787,2025-02-13 13:00:00,CLOSE,HOLD
3810,S,3800,2025-02-14 06:00:00,CLOSE,HOLD
3974,L,3967,2025-02-21 02:00:00,CLOSE,HOLD
4140,L,4134,2025-02-28 00:00:00,CLOSE,HOLD
4496,L,4490,2025-03-14 20:00:00,EXTEND,HOLD
4597,S,4587,2025-03-19 01:00:00,EXTEND,HOLD
4956,S,4946,2025-04-03 00:00:00,CLOSE,HOLD
5002,L,4996,2025-04-04 22:00:00,CLOSE,HOLD
5312,L,5306,2025-04-17 20:00:00,CLOSE,HOLD
5342,L,5336,2025-04-19 02:00:00,EXTEND,HOLD
5676,S,5666,2025-05-03 00:00:00,CLOSE,HOLD
6115,S,6105,2025-05-21 07:00:00,CLOSE,HOLD
6296,S,6286,2025-05-28 20:00:00,CLOSE,HOLD
6468,L,6462,2025-06-05 00:00:00,EXTEND,HOLD
6657,S,6647,2025-06-12 21:00:00,EXTEND,HOLD
7281,L,7274,2025-07-08 21:00:00,EXTEND,HOLD
7446,S,7438,2025-07-15 18:00:00,EXTEND,HOLD
7687,S,7679,2025-07-25 19:00:00,CLOSE,HOLD
7830,L,7823,2025-07-31 18:00:00,EXTEND,HOLD
7958,S,7948,2025-08-06 02:00:00,EXTEND,HOLD
7976,L,7970,2025-08-06 20:00:00,CLOSE,HOLD
8031,L,8026,2025-08-09 03:00:00,EXTEND,HOLD
8652,L,8646,2025-09-04 00:00:00,EXTEND,HOLD
8676,S,8666,2025-09-05 00:00:00,EXTEND,HOLD
