bar,side,allowed,decision_ts
381,S,True,2024-09-24 09:00:00
417,S,True,2024-09-25 21:00:00
555,L,True,2024-10-01 15:00:00
562,S,True,2024-10-01 22:00:00
748,S,True,2024-10-09 16:00:00
890,S,True,2024-10-15 14:00:00
1053,S,True,2024-10-22 09:00:00
1084,S,True,2024-10-23 16:00:00
1277,S,True,2024-10-31 17:00:00
1294,S,True,2024-11-01 10:00:00
1305,L,True,2024-11-01 21:00:00
1396,L,True,2024-11-05 16:00:00
1428,L,True,2024-11-07 00:00:00
1471,L,True,2024-11-08 19:00:00
1584,S,True,2024-11-13 12:00:00
1618,S,True,2024-11-14 22:00:00
1732,S,True,2024-11-19 16:00:00
1784,L,True,2024-11-21 20:00:00
1876,L,True,2024-11-25 16:00:00
1900,S,True,2024-11-26 16:00:00
1927,L,True,2024-11-27 19:00:00
2070,S,True,2024-12-03 18:00:00
2083,L,True,2024-12-04 07:00:00
2094,L,True,2024-12-04 18:00:00
2118,L,True,2024-12-05 18:00:00
2128,S,True,2024-12-06 04:00:00
2241,S,True,2024-12-10 21:00:00
2259,L,True,2024-12-11 15:00:00
2279,L,True,2024-12-12 11:00:00
2579,L,True,2024-12-24 23:00:00
2598,L,True,2024-12-25 18:00:00
2621,S,True,2024-12-26 17:00:00
2910,S,True,2025-01-07 18:00:00
2931,S,True,2025-01-08 15:00:00
3070,L,True,2025-01-14 10:00:00
3149,L,True,2025-01-17 17:00:00
3268,S,True,2025-01-22 16:00:00
3408,L,True,2025-01-28 12:00:00
3456,L,True,2025-01-30 12:00:00
3568,L,True,2025-02-04 04:00:00
3608,L,True,2025-02-05 20:00:00
3635,S,True,2025-02-06 23:00:00
3658,L,True,2025-02-07 22:00:00
3725,L,True,2025-02-10 17:00:00
3754,S,True,2025-02-11 22:00:00
3787,L,True,2025-02-13 07:00:00
3800,S,True,2025-02-13 20:00:00
3814,L,True,2025-02-14 10:00:00
3939,L,True,2025-02-19 15:00:00
3967,L,True,2025-02-20 19:00:00
3972,S,True,2025-02-21 00:00:00
3986,L,True,2025-02-21 14:00:00
4113,S,True,2025-02-26 21:00:00
4134,L,True,2025-02-27 18:00:00
4139,S,True,2025-02-27 23:00:00
4240,S,True,2025-03-04 04:00:00
4275,L,True,2025-03-05 15:00:00
4396,L,True,2025-03-10 16:00:00
4422,L,True,2025-03-11 18:00:00
4490,L,True,2025-03-14 14:00:00
4587,S,True,2025-03-18 15:00:00
4615,L,True,2025-03-19 19:00:00
4634,S,True,2025-03-20 14:00:00
4786,S,True,2025-03-26 22:00:00
4824,S,True,2025-03-28 12:00:00
4923,L,True,2025-04-01 15:00:00
4946,S,True,2025-04-02 14:00:00
4975,S,True,2025-04-03 19:00:00
4996,L,True,2025-04-04 16:00:00
5081,L,True,2025-04-08 05:00:00
5099,S,True,2025-04-08 23:00:00
5119,L,True,2025-04-09 19:00:00
5141,S,True,2025-04-10 17:00:00
5164,L,True,2025-04-11 16:00:00
5237,L,True,2025-04-14 17:00:00
5262,L,True,2025-04-15 18:00:00
5267,S,True,2025-04-15 23:00:00
5306,L,True,2025-04-17 14:00:00
5336,L,True,2025-04-18 20:00:00
5434,L,True,2025-04-22 22:00:00
5442,L,True,2025-04-23 06:00:00
5471,S,True,2025-04-24 11:00:00
5493,L,True,2025-04-25 09:00:00
5495,S,True,2025-04-25 11:00:00
5625,S,True,2025-04-30 21:00:00
5666,S,True,2025-05-02 14:00:00
5790,L,True,2025-05-07 18:00:00
5835,L,True,2025-05-09 15:00:00
5974,S,True,2025-05-15 10:00:00
6105,S,True,2025-05-20 21:00:00
6148,L,True,2025-05-22 16:00:00
6166,L,True,2025-05-23 10:00:00
6286,S,True,2025-05-28 10:00:00
6324,S,True,2025-05-30 00:00:00
6462,L,True,2025-06-04 18:00:00
6514,L,True,2025-06-06 22:00:00
6608,L,True,2025-06-10 20:00:00
6647,S,True,2025-06-12 11:00:00
7135,L,True,2025-07-02 19:00:00
7178,S,True,2025-07-04 14:00:00
7274,L,True,2025-07-08 14:00:00
7305,L,True,2025-07-09 21:00:00
7319,L,True,2025-07-10 11:00:00
7346,L,True,2025-07-11 14:00:00
7438,S,True,2025-07-15 10:00:00
7618,S,True,2025-07-22 22:00:00
7638,S,True,2025-07-23 18:00:00
7679,S,True,2025-07-25 11:00:00
7779,L,True,2025-07-29 15:00:00
7808,S,True,2025-07-30 20:00:00
7823,L,True,2025-07-31 11:00:00
7948,S,True,2025-08-05 16:00:00
7970,L,True,2025-08-06 14:00:00
7996,L,True,2025-08-07 16:00:00
8026,L,True,2025-08-08 22:00:00
8167,S,True,2025-08-14 19:00:00
8195,S,True,2025-08-15 23:00:00
8309,L,True,2025-08-20 17:00:00
8357,L,True,2025-08-22 17:00:00
8503,L,True,2025-08-28 19:00:00
8646,L,True,2025-09-03 18:00:00
8666,S,True,2025-09-04 14:00:00
8692,L,True,2025-09-05 16:00:00
8813,L,True,2025-09-10 17:00:00
8834,L,True,2025-09-11 14:00:00
8851,L,True,2025-09-12 07:00:00
8962,S,True,2025-09-16 22:00:00
8975,L,True,2025-09-17 11:00:00
9024,S,True,2025-09-19 12:00:00
9155,L,True,2025-09-24 23:00:00
9162,S,True,2025-09-25 06:00:00
9317,L,True,2025-10-01 17:00:00
9332,L,True,2025-10-02 08:00:00
9346,L,True,2025-10-02 22:00:00
9459,S,True,2025-10-07 15:00:00
9480,S,True,2025-10-08 12:00:00
9503,S,True,2025-10-09 11:00:00
9539,S,True,2025-10-10 23:00:00
9626,S,True,2025-10-14 14:00:00
9675,L,True,2025-10-16 15:00:00
9699,S,True,2025-10-17 15:00:00
9763,L,True,2025-10-20 07:00:00
9792,S,True,2025-10-21 12:00:00
9822,S,True,2025-10-22 18:00:00
9843,L,True,2025-10-23 15:00:00
9959,S,True,2025-10-28 11:00:00
9970,L,True,2025-10-28 22:00:00
9996,S,True,2025-10-30 00:00:00
10017,S,True,2025-10-30 21:00:00
10040,L,True,2025-10-31 20:00:00
10161,L,True,2025-11-05 21:00:00
10179,S,True,2025-11-06 15:00:00
10206,S,True,2025-11-07 18:00:00
10306,S,True,2025-11-11 22:00:00
10326,L,True,2025-11-12 18:00:00
10356,S,True,2025-11-14 00:00:00
10442,L,True,2025-11-17 14:00:00
10471,L,True,2025-11-18 19:00:00
10490,S,True,2025-11-19 14:00:00
10524,S,True,2025-11-21 00:00:00
10637,S,True,2025-11-25 17:00:00
10662,S,True,2025-11-26 18:00:00
10677,L,True,2025-11-27 09:00:00
10689,S,True,2025-11-27 21:00:00
10803,L,True,2025-12-02 15:00:00
10823,L,True,2025-12-03 11:00:00
10858,S,True,2025-12-04 22:00:00
10882,S,True,2025-12-05 22:00:00
10949,L,True,2025-12-08 17:00:00
11027,S,True,2025-12-11 23:00:00
11052,S,True,2025-12-13 00:00:00
11190,L,True,2025-12-18 18:00:00
11214,L,True,2025-12-19 18:00:00
11307,S,True,2025-12-23 15:00:00
11334,S,True,2025-12-24 18:00:00
11347,L,True,2025-12-25 07:00:00
11357,S,True,2025-12-25 17:00:00
11386,L,True,2025-12-26 22:00:00
11472,L,True,2025-12-30 12:00:00
11483,L,True,2025-12-30 23:00:00
11504,L,True,2025-12-31 20:00:00
11527,L,True,2026-01-01 19:00:00
11651,L,True,2026-01-06 23:00:00
11691,S,True,2026-01-08 15:00:00
11810,L,True,2026-01-13 14:00:00
11892,S,True,2026-01-17 00:00:00
11971,S,True,2026-01-20 07:00:00
12009,S,True,2026-01-21 21:00:00
12053,S,True,2026-01-23 17:00:00
12131,L,True,2026-01-26 23:00:00
12203,S,True,2026-01-29 23:00:00
12318,S,True,2026-02-03 18:00:00
12346,S,True,2026-02-04 22:00:00
12395,L,True,2026-02-06 23:00:00
12507,S,True,2026-02-11 15:00:00
12530,L,True,2026-02-12 14:00:00
12540,S,True,2026-02-13 00:00:00
12557,L,True,2026-02-13 17:00:00
12629,L,True,2026-02-16 17:00:00
12675,L,True,2026-02-18 15:00:00
12682,S,True,2026-02-18 22:00:00
12706,S,True,2026-02-19 22:00:00
12826,S,True,2026-02-24 22:00:00
12835,L,True,2026-02-25 07:00:00
12848,L,True,2026-02-25 20:00:00
12875,S,True,2026-02-26 23:00:00
12895,S,True,2026-02-27 19:00:00
12971,L,True,2026-03-02 23:00:00
13036,S,True,2026-03-05 16:00:00
13062,S,True,2026-03-06 18:00:00
13157,L,True,2026-03-10 17:00:00
13220,L,True,2026-03-13 08:00:00
13231,L,True,2026-03-13 19:00:00
13351,S,True,2026-03-18 19:00:00
13372,S,True,2026-03-19 16:00:00
13538,S,True,2026-03-26 14:00:00
13566,S,True,2026-03-27 18:00:00
13637,L,True,2026-03-30 17:00:00
13677,L,True,2026-04-01 09:00:00
13713,S,True,2026-04-02 21:00:00
13737,S,True,2026-04-03 21:00:00
13831,S,True,2026-04-07 19:00:00
13850,L,True,2026-04-08 14:00:00
13882,S,True,2026-04-09 22:00:00
13995,L,True,2026-04-14 15:00:00
14183,L,True,2026-04-22 11:00:00
14193,L,True,2026-04-22 21:00:00
14398,L,True,2026-05-01 10:00:00
14496,L,True,2026-05-05 12:00:00
14836,L,True,2026-05-19 16:00:00
14840,S,True,2026-05-19 20:00:00
14907,S,True,2026-05-22 15:00:00
14983,L,True,2026-05-25 19:00:00
15034,S,True,2026-05-27 22:00:00
15178,S,True,2026-06-02 22:00:00
15208,S,True,2026-06-04 04:00:00
15239,S,True,2026-06-05 11:00:00
15333,S,True,2026-06-09 09:00:00
15389,L,True,2026-06-11 17:00:00
15487,L,True,2026-06-15 19:00:00
15533,S,True,2026-06-17 17:00:00
15564,S,True,2026-06-19 00:00:00
15652,L,True,2026-06-22 16:00:00
15674,S,True,2026-06-23 14:00:00
15692,L,True,2026-06-24 08:00:00
15723,L,True,2026-06-25 15:00:00
15730,S,True,2026-06-25 22:00:00
15845,S,True,2026-06-30 17:00:00
15894,L,True,2026-07-02 18:00:00
15910,L,True,2026-07-03 10:00:00
16043,S,True,2026-07-08 23:00:00
16183,L,True,2026-07-14 19:00:00
16195,L,True,2026-07-15 07:00:00
16228,S,True,2026-07-16 16:00:00
16250,S,True,2026-07-17 14:00:00
16341,L,True,2026-07-21 09:00:00
16371,S,True,2026-07-22 15:00:00
16396,S,True,2026-07-23 16:00:00
16420,L,True,2026-07-24 16:00:00
16426,S,True,2026-07-24 22:00:00
16548,S,True,2026-07-30 00:00:00
16567,L,True,2026-07-30 19:00:00
16874,L,True,2026-08-12 14:00:00
17012,L,True,2026-08-18 08:00:00
17071,L,True,2026-08-20 19:00:00
17086,L,True,2026-08-21 10:00:00
17201,S,True,2026-08-26 05:00:00
17255,S,True,2026-08-28 11:00:00
17490,L,True,2026-09-07 06:00:00
