bar,side,root_entry_bar,decision_ts
387,S,381,2024-09-24 15:00:00
558,L,555,2024-10-01 18:00:00
751,S,748,2024-10-09 19:00:00
893,S,890,2024-10-15 17:00:00
1059,S,1053,2024-10-22 15:00:00
1087,S,1084,2024-10-23 19:00:00
1298,S,1294,2024-11-01 14:00:00
1399,L,1396,2024-11-05 19:00:00
1736,S,1732,2024-11-19 20:00:00
2073,S,2070,2024-12-03 21:00:00
2098,L,2094,2024-12-04 22:00:00
2939,S,2931,2025-01-08 23:00:00
3154,L,3149,2025-01-17 22:00:00
3272,S,3268,2025-01-22 20:00:00
3412,L,3408,2025-01-28 16:00:00
3459,L,3456,2025-01-30 15:00:00
3661,L,3658,2025-02-08 01:00:00
3972,L,3967,2025-02-21 00:00:00
3975,S,3972,2025-02-21 03:00:00
3989,L,3986,2025-02-21 17:00:00
4137,L,4134,2025-02-27 21:00:00
4143,S,4139,2025-02-28 03:00:00
4244,S,4240,2025-03-04 08:00:00
4425,L,4422,2025-03-11 21:00:00
4949,S,4946,2025-04-02 17:00:00
5000,L,4996,2025-04-04 20:00:00
5085,L,5081,2025-04-08 09:00:00
5309,L,5306,2025-04-17 17:00:00
5339,L,5336,2025-04-18 23:00:00
5498,S,5495,2025-04-25 14:00:00
5672,S,5666,2025-05-02 20:00:00
5794,L,5790,2025-05-07 22:00:00
6113,S,6105,2025-05-21 05:00:00
6289,S,6286,2025-05-28 13:00:00
6465,L,6462,2025-06-04 21:00:00
6611,L,6608,2025-06-10 23:00:00
6651,S,6647,2025-06-12 15:00:00
7182,S,7178,2025-07-04 18:00:00
7277,L,7274,2025-07-08 17:00:00
7442,S,7438,2025-07-15 14:00:00
7621,S,7618,2025-07-23 01:00:00
7682,S,7679,2025-07-25 14:00:00
7782,L,7779,2025-07-29 18:00:00
7812,S,7808,2025-07-31 00:00:00
7829,L,7823,2025-07-31 17:00:00
7951,S,7948,2025-08-05 19:00:00
7974,L,7970,2025-08-06 18:00:00
8029,L,8026,2025-08-09 01:00:00
8313,L,8309,2025-08-20 21:00:00
8360,L,8357,2025-08-22 20:00:00
8507,L,8503,2025-08-28 23:00:00
8649,L,8646,2025-09-03 21:00:00
8669,S,8666,2025-09-04 17:00:00
8838,L,8834,2025-09-11 18:00:00
8965,S,8962,2025-09-17 01:00:00
9160,L,9155,2025-09-25 04:00:00
9320,L,9317,2025-10-01 20:00:00
9463,S,9459,2025-10-07 19:00:00
9484,S,9480,2025-10-08 16:00:00
9506,S,9503,2025-10-09 14:00:00
9766,L,9763,2025-10-20 10:00:00
9825,S,9822,2025-10-22 21:00:00
9848,L,9843,2025-10-23 20:00:00
9964,S,9959,2025-10-28 16:00:00
10182,S,10179,2025-11-06 18:00:00
10474,L,10471,2025-11-18 22:00:00
10493,S,10490,2025-11-19 17:00:00
10642,S,10637,2025-11-25 22:00:00
10669,S,10662,2025-11-27 01:00:00
10692,S,10689,2025-11-28 00:00:00
10806,L,10803,2025-12-02 18:00:00
11031,S,11027,2025-12-12 03:00:00
11056,S,11052,2025-12-13 04:00:00
11312,S,11307,2025-12-23 20:00:00
11338,S,11334,2025-12-24 22:00:00
11361,S,11357,2025-12-25 21:00:00
11486,L,11483,2025-12-31 02:00:00
11509,L,11504,2026-01-01 01:00:00
11530,L,11527,2026-01-01 22:00:00
11654,L,11651,2026-01-07 02:00:00
11898,S,11892,2026-01-17 06:00:00
11975,S,11971,2026-01-20 11:00:00
12012,S,12009,2026-01-22 00:00:00
12056,S,12053,2026-01-23 20:00:00
12322,S,12318,2026-02-03 22:00:00
12513,S,12507,2026-02-11 21:00:00
12533,L,12530,2026-02-12 17:00:00
12560,L,12557,2026-02-13 20:00:00
12632,L,12629,2026-02-16 20:00:00
12712,S,12706,2026-02-20 04:00:00
12829,S,12826,2026-02-25 01:00:00
13039,S,13036,2026-03-05 19:00:00
13160,L,13157,2026-03-10 20:00:00
13716,S,13713,2026-04-03 00:00:00
13740,S,13737,2026-04-04 00:00:00
13837,S,13831,2026-04-08 01:00:00
13885,S,13882,2026-04-10 01:00:00
14000,L,13995,2026-04-14 20:00:00
14196,L,14193,2026-04-23 00:00:00
14499,L,14496,2026-05-05 15:00:00
14839,L,14836,2026-05-19 19:00:00
14846,S,14840,2026-05-20 02:00:00
14913,S,14907,2026-05-22 21:00:00
15037,S,15034,2026-05-28 01:00:00
15211,S,15208,2026-06-04 07:00:00
15337,S,15333,2026-06-09 13:00:00
15394,L,15389,2026-06-11 22:00:00
15541,S,15533,2026-06-18 01:00:00
15568,S,15564,2026-06-19 04:00:00
15696,L,15692,2026-06-24 12:00:00
15726,L,15723,2026-06-25 18:00:00
15739,S,15730,2026-06-26 07:00:00
16046,S,16043,2026-07-09 02:00:00
16198,L,16195,2026-07-15 10:00:00
16255,S,16250,2026-07-17 19:00:00
16374,S,16371,2026-07-22 18:00:00
16424,L,16420,2026-07-24 20:00:00
16431,S,16426,2026-07-25 03:00:00
16551,S,16548,2026-07-30 03:00:00
16572,L,16567,2026-07-31 00:00:00
17015,L,17012,2026-08-18 11:00:00
17206,S,17201,2026-08-26 10:00:00
17259,S,17255,2026-08-28 15:00:00
