side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
L,200.0,1.5058760340727433,4.0,2656.261146,555.0,558.0,2024-10-01 15:00:00,2024-10-01 18:00:00,2656.26,2633.67,-0.85,-38.01,ACX,3.0,0.025,-0.871,8.1,MILD_UP,-0.3982725876155251,-0.3982725876155251,-0.3982725876155251,-38.40827258761552,200.0,1.5058760340727433,4.0,2656.261146,555.0,562.0,2024-10-01 22:00:00,2656.26,2579.2,-2.901,-120.04,MH,7.0,0.025,-3.429,8.1,MILD_UP,-0.3982725876155251,-0.3982725876155251,-0.3982725876155251,-120.43827258761553,both
L,200.0,1.682612677642864,4.0,2377.255356,622.0,629.0,2024-10-04 10:00:00,2024-10-04 17:00:00,2377.26,2379.74,0.105,0.19,BE,7.0,0.639,-0.726,16.2,DOWN,-0.1497672755690281,-0.1497672755690281,-0.1497672755690281,0.040232724430971895,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.634327813636292,4.0,2447.4894,730.0,735.0,2024-10-08 22:00:00,2024-10-09 03:00:00,2447.49,2435.02,-0.509,-24.37,MH,5.0,0.32,-1.94,10.1,DOWN,-0.33110217048098306,-0.33110217048098306,-0.33110217048098306,-24.701102170480983,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.6248258691379822,4.0,2461.8022619999997,742.0,745.0,2024-10-09 10:00:00,2024-10-09 13:00:00,2461.8,2443.51,-0.743,-33.72,ACX,3.0,0.006,-0.98,19.2,DOWN,0.0,0.0,0.0,-33.72,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.576461932643233,4.0,2537.327364,1305.0,1307.0,2024-11-01 21:00:00,2024-11-01 23:00:00,2537.33,2561.49,0.952,34.09,MFE,2.0,1.992,-0.288,17.2,SIDE,0.0,0.0,0.0,34.09,200.0,1.576461932643233,4.0,2537.327364,1305.0,1307.0,2024-11-01 23:00:00,2537.33,2561.49,0.952,34.09,MFE,2.0,1.992,-0.288,17.2,SIDE,0.0,0.0,0.0,34.09,both
L,200.0,1.6374595302695822,4.0,2442.808464,1396.0,1399.0,2024-11-05 16:00:00,2024-11-05 19:00:00,2442.81,2434.17,-0.354,-18.14,ACX,3.0,0.184,-0.558,9.1,SIDE,0.0,-0.3999351426498086,0.0,-18.14,200.0,1.6374595302695822,4.0,2442.808464,1396.0,1402.0,2024-11-05 22:00:00,2442.81,2440.7,-0.086,-7.45,MH,6.0,0.195,-0.558,9.1,SIDE,0.0,-0.3999351426498086,0.0,-7.45,both
L,200.0,1.5181378441046534,4.0,2634.806856,1428.0,1435.0,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.81,2735.72,3.83,149.2,TP,7.0,4.221,-0.044,14.1,SIDE,0.0,-0.3999260091905575,0.0,149.2,200.0,1.5181378441046534,4.0,2634.806856,1428.0,1435.0,2024-11-07 07:00:00,2634.81,2735.72,3.83,149.2,TP,7.0,4.221,-0.044,14.1,SIDE,0.0,-0.3999260091905575,0.0,149.2,both
L,200.0,1.3673460863747504,4.0,2925.374958,1471.0,1475.0,2024-11-08 19:00:00,2024-11-08 23:00:00,2925.37,2912.88,-0.427,-21.09,MFE,4.0,1.115,-0.585,2.0,MILD_UP,0.0,0.0,0.0,-21.09,200.0,1.3673460863747504,4.0,2925.374958,1471.0,1475.0,2024-11-08 23:00:00,2925.37,2912.88,-0.427,-21.09,MFE,4.0,1.115,-0.585,2.0,MILD_UP,0.0,0.0,0.0,-21.09,both
L,200.0,1.2695833219475514,4.0,3150.640002,1784.0,1785.0,2024-11-21 20:00:00,2024-11-21 21:00:00,3150.64,3287.39,4.34,169.62,TP,1.0,5.407,-0.067,6.1,DOWN,0.0,0.0,0.0,169.62,200.0,1.2695833219475514,4.0,3150.640002,1784.0,1785.0,2024-11-21 21:00:00,3150.64,3287.39,4.34,169.62,TP,1.0,5.407,-0.067,6.1,DOWN,0.0,0.0,0.0,169.62,both
L,200.0,1.1756647979562878,4.0,3402.3303300000002,1876.0,1879.0,2024-11-25 16:00:00,2024-11-25 19:00:00,3402.33,3503.87,2.984,115.38,TP,3.0,3.809,-0.103,22.2,MILD_UP,0.0,-0.9572113722420361,0.0,115.38,200.0,1.1756647979562878,4.0,3402.3303300000002,1876.0,1879.0,2024-11-25 19:00:00,3402.33,3503.87,2.984,115.38,TP,3.0,3.809,-0.103,22.2,MILD_UP,0.0,-0.9572113722420361,0.0,115.38,both
L,200.0,1.1565167309051283,4.0,3458.6615939999997,1927.0,1935.0,2024-11-27 19:00:00,2024-11-28 03:00:00,3458.66,3587.26,3.718,144.73,TP,8.0,3.981,-0.615,24.2,MILD_UP,-0.6456337979621374,-0.6456337979621374,-0.6456337979621374,144.08436620203784,200.0,1.1565167309051283,4.0,3458.6615939999997,1927.0,1935.0,2024-11-28 03:00:00,3458.66,3587.26,3.718,144.73,TP,8.0,3.981,-0.615,24.2,MILD_UP,-0.6456337979621374,-0.6456337979621374,-0.6456337979621374,144.08436620203784,both
L,200.0,1.100065510991304,4.0,3636.147084,2083.0,2087.0,2024-12-04 07:00:00,2024-12-04 11:00:00,3636.15,3650.3,0.389,11.57,MFE,4.0,2.081,-0.612,11.1,MILD_UP,-0.7452910888708334,-0.7452910888708334,-0.7452910888708334,10.824708911129166,200.0,1.100065510991304,4.0,3636.147084,2083.0,2087.0,2024-12-04 11:00:00,3636.15,3650.3,0.389,11.57,MFE,4.0,2.081,-0.612,11.1,MILD_UP,-0.7452910888708334,-0.7452910888708334,-0.7452910888708334,10.824708911129166,both
