side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.5233937185720183,4.0,2625.7164850000004,381,387,2024-09-24 09:00:00,2024-09-24 15:00:00,2625.72,2640.56,-0.565,-26.61,ACX,6,0.685,-0.893,33.3,MILD_UP,0.0,0.0,0.0,-26.61
S,200.0,1.5323415108608793,4.0,2610.384155,395,398,2024-09-24 23:00:00,2024-09-25 02:00:00,2610.38,2648.06,-1.443,-61.74,ACX,3,0.206,-1.756,13.1,UP,0.18965337506042285,0.18965337506042285,0.18965337506042285,-61.55034662493958
S,200.0,1.5295070190291147,4.0,2615.2217350000005,417,422,2024-09-25 21:00:00,2024-09-26 02:00:00,2615.22,2575.85,1.506,56.22,TP,5,2.067,-0.513,14.1,UP,0.1406914214102002,0.1406914214102002,0.1406914214102002,56.3606914214102
L,200.0,1.5054244970310424,4.0,2657.0578649999998,555,558,2024-10-01 15:00:00,2024-10-01 18:00:00,2657.06,2632.88,-0.91,-40.39,ACX,3,0.0,-0.901,8.1,MILD_UP,-0.3981531655502731,-0.3981531655502731,-0.3981531655502731,-40.78815316555028
S,200.0,1.5513315400509553,4.0,2578.43014,562,564,2024-10-01 22:00:00,2024-10-02 00:00:00,2578.43,2524.8,2.08,79.2,TP,2,3.817,-0.474,1.0,MILD_UP,0.32884618302348745,0.0,0.32884618302348745,79.52884618302349
L,200.0,1.68210814610534,4.0,2377.96839,622,629,2024-10-04 10:00:00,2024-10-04 17:00:00,2377.97,2379.03,0.045,-2.21,BE,7,0.609,-0.756,16.2,DOWN,-0.1497223678402218,-0.1497223678402218,-0.1497223678402218,-2.359722367840222
L,200.0,1.6338377603188596,4.0,2448.2235,730,735,2024-10-08 22:00:00,2024-10-09 03:00:00,2448.22,2434.29,-0.569,-26.76,MH,5,0.289,-1.969,10.1,DOWN,-0.331002889470344,-0.331002889470344,-0.331002889470344,-27.091002889470346
L,200.0,1.6243386649793201,4.0,2462.540655,742,745,2024-10-09 10:00:00,2024-10-09 13:00:00,2462.54,2442.78,-0.803,-36.1,ACX,3,0.0,-1.01,19.2,DOWN,0.0,0.0,0.0,-36.1
S,200.0,1.6436672418680178,4.0,2433.5826,748,751,2024-10-09 16:00:00,2024-10-09 19:00:00,2433.58,2434.87,-0.053,-6.11,ACX,3,0.302,-0.233,19.2,DOWN,0.0,0.0,0.1456797779986954,-6.11
S,200.0,1.54237522661589,4.0,2593.40265,890,893,2024-10-15 14:00:00,2024-10-15 17:00:00,2593.4,2618.07,-0.951,-42.04,ACX,3,0.062,-1.18,6.1,MILD_UP,0.40336196926458756,0.40336196926458756,0.40336196926458756,-41.63663803073541
S,200.0,1.5171507750660576,4.0,2636.5210800000004,1053,1059,2024-10-22 09:00:00,2024-10-22 15:00:00,2636.52,2655.23,-0.709,-32.38,ACX,6,0.381,-0.875,34.3,UP,0.0,0.0,0.0,-32.38
S,200.0,1.537988932208697,4.0,2600.79895,1084,1087,2024-10-23 16:00:00,2024-10-23 19:00:00,2600.8,2582.58,0.7,24.02,ACX,3,1.471,-0.371,27.3,MILD_UP,0.0,0.0,0.4002088048751328,24.02
S,200.0,1.517507451217665,4.0,2635.90139,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2635.9,2557.33,2.981,115.24,TP,6,3.605,-0.497,10.1,DOWN,0.0,0.0,0.0,115.24
S,200.0,1.5997573584024216,4.0,2500.3791850000002,1294,1298,2024-11-01 10:00:00,2024-11-01 14:00:00,2500.38,2511.8,-0.457,-22.26,ACX,4,1.323,-0.784,32.3,DOWN,0.0,0.0,0.0,-22.26
L,200.0,1.5759892304145544,4.0,2538.08841,1305,1307,2024-11-01 21:00:00,2024-11-01 23:00:00,2538.09,2560.72,0.892,31.67,MFE,2,1.961,-0.318,17.2,SIDE,0.0,0.0,0.0,31.67
L,200.0,1.6369685379066827,4.0,2443.54116,1396,1399,2024-11-05 16:00:00,2024-11-05 19:00:00,2443.54,2433.44,-0.413,-20.53,ACX,3,0.154,-0.588,9.1,SIDE,0.0,-0.3998152220673049,0.0,-20.53
L,200.0,1.5176826303582953,4.0,2635.59714,1428,1435,2024-11-07 00:00:00,2024-11-07 07:00:00,2635.6,2734.9,3.768,146.71,TP,7,4.19,-0.074,14.1,SIDE,0.0,-0.39980609134672235,0.0,146.71
L,200.0,1.3669360875482512,4.0,2926.252395,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2926.25,2912.0,-0.487,-23.48,MFE,4,1.085,-0.615,2.0,MILD_UP,0.0,0.0,0.0,-23.48
S,200.0,1.24649241125526,4.0,3209.004695,1584,1586,2024-11-13 12:00:00,2024-11-13 14:00:00,3209.0,3145.43,1.981,75.24,TP,2,2.301,-0.76,4.0,UP,0.0,0.0,0.0,75.24
S,200.0,1.262990781779185,4.0,3167.085665,1618,1620,2024-11-14 22:00:00,2024-11-15 00:00:00,3167.09,3080.79,2.725,104.99,TP,2,3.472,-0.953,2.0,UP,0.3889064364793556,0.0,0.3889064364793556,105.37890643647935
S,200.0,1.2825199814448855,4.0,3118.8597900000004,1732,1736,2024-11-19 16:00:00,2024-11-19 20:00:00,3118.86,3130.14,-0.362,-18.47,ACX,4,0.829,-0.435,33.3,MILD_UP,0.0,0.0,0.849784892446223,-18.47
L,200.0,1.2692026372932943,4.0,3151.585005,1784,1785,2024-11-21 20:00:00,2024-11-21 21:00:00,3151.59,3286.41,4.278,167.12,TP,1,5.376,-0.097,6.1,DOWN,0.0,0.0,0.0,167.12
L,200.0,1.1753122747784899,4.0,3403.350825,1876,1879,2024-11-25 16:00:00,2024-11-25 19:00:00,3403.35,3502.82,2.923,112.9,TP,3,3.778,-0.133,22.2,MILD_UP,0.0,-0.9569243523403145,0.0,112.9
S,200.0,1.1781055527263187,4.0,3395.2815100000003,1900,1903,2024-11-26 16:00:00,2024-11-26 19:00:00,3395.28,3321.76,2.165,82.62,TP,3,2.306,-0.134,29.3,MILD_UP,0.0,0.0,0.49104696829689387,82.62
L,200.0,1.156169949276671,4.0,3459.6989849999995,1927,1935,2024-11-27 19:00:00,2024-11-28 03:00:00,3459.7,3586.19,3.656,142.24,TP,8,3.95,-0.645,24.2,MILD_UP,-0.6454402046194201,-0.6454402046194201,-0.6454402046194201,141.59455979538058
S,200.0,1.1076639700693467,4.0,3611.203495,2070,2073,2024-12-03 18:00:00,2024-12-03 21:00:00,3611.2,3609.46,0.048,-2.07,ACX,3,0.649,-0.283,15.2,UP,0.0,0.0,0.0,-2.07
L,200.0,1.0997356562653695,4.0,3637.23771,2083,2087,2024-12-04 07:00:00,2024-12-04 11:00:00,3637.24,3649.2,0.329,9.16,MFE,4,2.05,-0.641,11.1,MILD_UP,-0.7450676132819665,-0.7450676132819665,-0.7450676132819665,8.414932386718034
L,200.0,1.0722152045066953,4.0,3730.594365,2094,2098,2024-12-04 18:00:00,2024-12-04 22:00:00,3730.59,3708.82,-0.584,-27.34,ACX,4,0.629,-1.076,1.0,MILD_UP,0.0,0.0,0.0,-27.34
L,200.0,1.0187702899086852,4.0,3926.30217,2118,2125,2024-12-05 18:00:00,2024-12-06 01:00:00,3926.3,3902.6,-0.604,-28.15,MH,7,0.858,-1.628,22.2,MILD_UP,-1.2356766804833057,-1.2356766804833057,-1.2356766804833057,-29.385676680483304
S,200.0,1.0438350627553508,4.0,3832.0230300000003,2128,2131,2024-12-06 04:00:00,2024-12-06 07:00:00,3832.02,3807.66,0.636,21.43,TP,3,5.663,-0.85,6.1,UP,0.0,0.0,0.0,21.43
S,200.0,1.088390504325617,4.0,3675.151505,2241,2244,2024-12-10 21:00:00,2024-12-11 00:00:00,3675.15,3569.86,2.865,110.59,TP,3,3.284,-1.56,6.1,MILD_UP,0.388194559119271,0.0,0.388194559119271,110.97819455911927
L,200.0,1.0879624790463185,4.0,3676.59738,2259,2268,2024-12-11 15:00:00,2024-12-12 00:00:00,3676.6,3784.86,2.945,113.78,TP,9,3.9,-0.718,24.2,MILD_UP,-0.8092732223760655,-0.8092732223760655,-0.3973423927098593,112.97072677762394
L,200.0,1.0305826217469505,4.0,3881.29968,2279,2281,2024-12-12 11:00:00,2024-12-12 13:00:00,3881.3,3905.79,0.631,21.24,MFE,2,1.709,-0.856,22.2,MILD_UP,0.0,0.0,0.0,21.24
L,200.0,1.1575558147043283,4.0,3455.5569149999997,2579,2581,2024-12-24 23:00:00,2024-12-25 01:00:00,3455.56,3476.52,0.607,20.27,MFE,2,1.788,-0.4,23.2,DOWN,-0.1114247425102346,-0.1114247425102346,-0.1114247425102346,20.158575257489765
L,200.0,1.144417886892225,4.0,3495.2267399999996,2598,2599,2024-12-25 18:00:00,2024-12-25 19:00:00,3495.23,3511.33,0.461,14.43,MFE,1,1.482,-0.141,17.2,DOWN,0.0,0.0,0.0,14.43
S,200.0,1.189202978801244,4.0,3363.59736,2621,2633,2024-12-26 17:00:00,2024-12-27 05:00:00,3363.6,3330.46,0.985,35.4,MHx,12,1.743,-0.572,32.3,DOWN,0.2506133502088752,0.2506133502088752,0.2506133502088752,35.65061335020887
S,200.0,1.093398084914621,4.0,3658.3199250000002,2910,2915,2025-01-07 18:00:00,2025-01-07 23:00:00,3658.32,3569.73,2.421,92.86,TP,5,4.328,-0.18,6.1,MILD_UP,0.0,0.0,0.0,92.86
S,200.0,1.209941045017611,4.0,3305.9462000000003,2931,2939,2025-01-08 15:00:00,2025-01-08 23:00:00,3305.95,3370.52,-1.953,-82.14,ACX,8,0.0,-2.27,23.2,MILD_UP,0.4057551703763358,0.4057551703763358,0.4057551703763358,-81.73424482962366
L,200.0,1.2740561691964811,4.0,3139.579005,3070,3078,2025-01-14 10:00:00,2025-01-14 18:00:00,3139.58,3240.9,3.227,125.09,MHx,8,3.703,-0.294,22.2,DOWN,-0.30100527799904814,-0.30100527799904814,-0.30100527799904814,124.78899472200095
L,200.0,1.1738456794093337,4.0,3407.60295,3149,3154,2025-01-17 17:00:00,2025-01-17 22:00:00,3407.6,3399.1,-0.25,-13.98,ACX,5,0.899,-0.517,8.1,DOWN,0.0,0.0,0.0,-13.98
S,200.0,1.2175609238188718,4.0,3285.25655,3268,3272,2025-01-22 16:00:00,2025-01-22 20:00:00,3285.26,3327.19,-1.276,-55.06,ACX,4,0.388,-1.347,18.2,MILD_UP,0.0,0.0,0.40020253517187265,-55.06
L,200.0,1.248801644088575,4.0,3203.070735,3408,3412,2025-01-28 12:00:00,2025-01-28 16:00:00,3203.07,3193.02,-0.314,-16.55,ACX,4,0.59,-0.486,6.1,DOWN,-0.1614150986353088,-0.1614150986353088,0.0,-16.71141509863531
L,200.0,1.2492581943881043,4.0,3201.90015,3456,3459,2025-01-30 12:00:00,2025-01-30 15:00:00,3201.9,3183.51,-0.574,-26.98,ACX,3,0.404,-0.641,23.2,DOWN,0.0,0.0,0.0,-26.98
L,200.0,1.4473659248225186,4.0,2763.64113,3568,3571,2025-02-04 04:00:00,2025-02-04 07:00:00,2763.64,2866.43,3.719,144.77,TP,3,5.634,-2.534,10.1,DOWN,0.0,0.0,0.0,144.77
L,200.0,1.428581994976113,4.0,2799.9792899999998,3608,3611,2025-02-05 20:00:00,2025-02-05 23:00:00,2799.98,2784.37,-0.558,-26.3,MFE,3,1.0,-1.181,17.2,DOWN,0.0,0.0,0.0,-26.3
S,200.0,1.4569154321235758,4.0,2745.52655,3635,3636,2025-02-06 23:00:00,2025-02-07 00:00:00,2745.53,2705.6,1.454,54.17,TP,1,2.375,-0.511,20.2,DOWN,-0.30523590252660276,-0.30523590252660276,0.0,53.8647640974734
L,200.0,1.4410690146811125,4.0,2775.7171649999996,3658,3661,2025-02-07 22:00:00,2025-02-08 01:00:00,2775.72,2691.03,-3.051,-126.03,ACX,3,0.735,-3.101,22.2,DOWN,0.046930332140003764,0.046930332140003764,0.046930332140003764,-125.98306966786
L,200.0,1.5125094104317913,4.0,2644.611645,3725,3731,2025-02-10 17:00:00,2025-02-10 23:00:00,2644.61,2648.16,0.134,1.36,MFE,6,1.552,-0.553,24.2,DOWN,0.0,0.0,0.0,1.36
S,200.0,1.520049301127028,4.0,2631.493595,3754,3763,2025-02-11 22:00:00,2025-02-12 07:00:00,2631.49,2586.18,1.722,64.88,TP,9,2.987,-1.702,19.2,DOWN,-0.05000225159202792,-0.05000225159202792,-0.05000225159202792,64.82999774840796
L,200.0,1.4569974487974673,4.0,2745.372,3787,3793,2025-02-13 07:00:00,2025-02-13 13:00:00,2745.37,2719.32,-0.949,-41.96,MH,6,0.406,-1.206,21.2,DOWN,-0.38045577211394305,-0.38045577211394305,-0.38045577211394305,-42.34045577211394
S,200.0,1.5075153503221645,4.0,2653.37265,3800,3810,2025-02-13 20:00:00,2025-02-14 06:00:00,2653.37,2666.93,-0.511,-24.44,MH,10,1.607,-0.922,0.0,DOWN,0.04098094698224782,0.04098094698224782,0.04098094698224782,-24.399019053017753
L,200.0,1.490551145688569,4.0,2683.5711149999997,3814,3817,2025-02-14 10:00:00,2025-02-14 13:00:00,2683.57,2697.04,0.502,16.08,MFE,3,1.384,-0.182,24.2,DOWN,0.0,0.0,0.0,16.08
L,200.0,1.481954117815045,4.0,2699.1388949999996,3939,3945,2025-02-19 15:00:00,2025-02-19 21:00:00,2699.14,2701.97,0.105,0.19,MFE,6,1.37,-0.104,21.2,SIDE,-0.29177759189865127,-0.29177759189865127,-0.29177759189865127,-0.10177759189865127
L,200.0,1.4568063226035395,4.0,2745.73218,3967,3972,2025-02-20 19:00:00,2025-02-21 00:00:00,2745.73,2709.89,-1.305,-56.21,ACX,5,0.902,-1.447,0.0,MILD_UP,-0.252952662702886,-0.252952662702886,0.0,-56.46295266270289
S,200.0,1.4760722915630242,4.0,2709.8943750000003,3972,3975,2025-02-21 00:00:00,2025-02-21 03:00:00,2709.89,2737.84,-1.031,-45.25,ACX,3,0.157,-1.48,31.3,MILD_UP,0.0,0.0,0.2562979105043531,-45.25
S,200.0,1.6455934540184833,4.0,2430.7340249999997,4113,4115,2025-02-26 21:00:00,2025-02-26 23:00:00,2430.73,2435.95,-0.214,-12.58,TP,2,2.569,-0.34,3.0,DOWN,0.0,0.0,0.0,-12.58
S,200.0,1.7343449622969664,4.0,2306.34625,4139,4143,2025-02-27 23:00:00,2025-02-28 03:00:00,2306.35,2326.97,-0.894,-39.77,ACX,4,0.723,-1.327,14.1,DOWN,0.20249575343721837,0.20249575343721837,0.20249575343721837,-39.567504246562784
S,200.0,1.8982393149360612,4.0,2107.215865,4240,4244,2025-03-04 04:00:00,2025-03-04 08:00:00,2107.22,2149.29,-1.997,-83.87,ACX,4,0.574,-3.108,26.3,DOWN,-0.17567316028156418,-0.17567316028156418,0.0,-84.04567316028157
L,200.0,1.8259047312295626,4.0,2190.6947999999998,4275,4278,2025-03-05 15:00:00,2025-03-05 18:00:00,2190.69,2236.91,2.11,80.39,MFE,3,3.246,-0.157,1.0,DOWN,-0.28796680417317144,-0.28796680417317144,-0.28796680417317144,80.10203319582683
L,200.0,1.9274905985441375,4.0,2075.2371,4396,4398,2025-03-10 16:00:00,2025-03-10 18:00:00,2075.24,2099.93,1.19,43.59,MFE,2,3.747,-1.373,19.2,DOWN,0.0,-0.1029584810695173,0.0,43.59
L,200.0,2.0864542287481016,4.0,1917.128085,4422,4425,2025-03-11 18:00:00,2025-03-11 21:00:00,1917.13,1893.26,-1.245,-53.79,ACX,3,0.562,-1.617,10.1,DOWN,0.0,0.0,0.0,-53.79
L,200.0,2.1099746146052905,4.0,1895.7574049999998,4490,4497,2025-03-14 14:00:00,2025-03-14 21:00:00,1895.76,1900.85,0.269,6.74,BE,7,0.656,-0.442,23.2,DOWN,-0.30665211680921806,-0.30665211680921806,-0.30665211680921806,6.433347883190782
S,200.0,2.10910255152873,4.0,1896.541255,4587,4599,2025-03-18 15:00:00,2025-03-19 03:00:00,1896.54,1890.4,0.324,8.94,MHx,12,1.339,-0.831,24.2,DOWN,0.22270644070171391,0.22270644070171391,0.22270644070171391,9.162706440701713
L,200.0,2.026479562619242,4.0,1973.86644,4615,4617,2025-03-19 19:00:00,2025-03-19 21:00:00,1973.87,2002.11,1.431,53.23,MFE,2,2.982,-0.059,20.2,DOWN,0.0,0.0,0.0,53.23
S,200.0,1.98501123475418,4.0,2015.1019450000001,4634,4639,2025-03-20 14:00:00,2025-03-20 19:00:00,2015.1,1982.7,1.608,60.32,TP,5,2.223,-0.321,26.3,DOWN,0.06185390109382281,0.06185390109382281,0.06185390109382281,60.38185390109382
S,200.0,1.974239681369166,4.0,2026.096445,4786,4792,2025-03-26 22:00:00,2025-03-27 04:00:00,2026.1,1999.9,1.293,47.72,TP,6,2.255,-0.532,10.1,MILD_UP,-0.08877281358606501,-0.08877281358606501,-0.08877281358606501,47.63122718641393
S,200.0,2.001981471170999,4.0,1998.02049,4824,4825,2025-03-28 12:00:00,2025-03-28 13:00:00,1998.02,1937.28,3.04,117.61,TP,1,5.071,-0.293,25.3,MILD_UP,0.0,0.0,0.0,117.61
L,200.0,2.153167276766615,4.0,1857.7284,4923,4927,2025-04-01 15:00:00,2025-04-01 19:00:00,1857.73,1871.55,0.744,25.77,MFE,4,1.814,-0.337,4.0,DOWN,-0.11481147151888792,-0.11481147151888792,-0.11481147151888792,25.655188528481112
S,200.0,2.1573199002200716,4.0,1854.15246,4946,4949,2025-04-02 14:00:00,2025-04-02 17:00:00,1854.15,1867.84,-0.738,-33.54,ACX,3,0.187,-1.153,24.2,DOWN,-0.0018098607705657602,-0.0018098607705657602,-0.0018098607705657602,-33.54180986077056
S,200.0,2.2327735596049125,4.0,1791.4938050000003,4975,4977,2025-04-03 19:00:00,2025-04-03 21:00:00,1791.49,1759.45,1.789,67.55,TP,2,2.457,-0.576,4.0,DOWN,0.0,0.0,0.0,67.55
L,200.0,2.2004760906060112,4.0,1817.78844,4996,5000,2025-04-04 16:00:00,2025-04-04 20:00:00,1817.79,1782.27,-1.954,-82.16,ACX,4,0.93,-3.315,10.1,DOWN,0.0,0.0,0.08367770035989446,-82.16
