name,slip,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,expectancy,avg_win,avg_loss,mh_pct,tail5_mean,exposure_hours,exposure_pct,position_hours,max_simultaneous,loss_total
base,0,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631,29.467290162113127,70.06258076209826,-40.24179470654819,27.881040892193308,-100.55641096308288,1622,9.258519321879103,1631,2,3983.937675948271
base,2,269,7582.922535028697,7582.922535028697,-7.277464971303248,2.847548867168684,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-168.83400504668492,1633,28.1893031041959,69.56689010967396,-40.63678221184684,28.62453531598513,-102.07710962881504,1624,9.269935498601518,1633,2,4104.315003396531
base,5,267,7014.882180315111,7014.882180315108,-6.867819684892545,2.655476236953708,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-170.39398223679396,1632,26.272966967472314,68.61135580175443,-41.13961331235553,29.213483146067414,-104.35565762793806,1624,9.269935498601518,1632,2,4237.380171172619
P_extreme_age,0,204,4594.567490995845,4594.567490995846,-1.382509004153643,2.229908176461769,60.29411764705882,456.62925109919365,-417.4153323557772,57,-2669.8750157864783,5,-167.78402024567558,1288,22.522389661744345,67.72574876116322,-46.11974822996581,27.941176470588236,-129.63438801617926,1287,7.346309720874479,1288,2,3735.6996066272304
P_extreme_age,2,201,3991.1493280421296,3991.149328042129,-0.9006719578706157,2.0348584773315337,58.70646766169154,462.4957582508436,-422.47423520281774,58,-2767.5268159751613,5,-168.83400504668492,1270,19.856464318617558,66.50728481532863,-46.466388917670464,28.855721393034827,-130.95979865591957,1269,7.2435641303727385,1270,2,3856.7102801666483
P_extreme_age,5,199,3445.1227800720435,3445.122780072044,-0.3472199279561661,1.829758039170354,57.286432160804026,471.300531364876,-430.066995853704,60,-3002.832832353384,5,-170.39398223679396,1270,17.312174774231377,66.64108327405049,-48.84659662552601,30.150753768844222,-136.17478196475187,1269,7.2435641303727385,1270,2,4151.960713169711
Q_volume_clock,0,264,6911.627984855277,6911.627984855277,-3.882015144722758,2.512280038338814,61.74242424242424,354.7721157347587,-299.10823604461984,73,-3909.309027011461,2,-183.70162021035142,1715,26.180409033542716,70.44149717856219,-45.250852032181776,27.651515151515152,-121.08750605685462,1700,9.703750214053313,1715,2,4570.336055250359
Q_volume_clock,2,260,6264.907728804139,6264.907728804136,-3.4022711958636442,2.338956521021905,60.76923076923077,424.0601932967793,-374.7471317523082,72,-3973.647707369718,2,-184.65158589317278,1708,24.095798956938985,69.26490869600279,-45.87203769768926,27.692307692307693,-124.42447417046661,1693,9.663793595524858,1708,2,4678.947845164304
Q_volume_clock,5,258,5649.917237801171,5649.917237801172,-3.1327621988289738,2.1709731599411874,60.85271317829457,459.97523179823565,-409.4678337618643,71,-4043.4452811834044,2,-186.07153444312985,1708,21.898904022485162,66.71906436277112,-47.77203828865244,27.51937984496124,-126.68670962376478,1693,9.663793595524858,1708,2,4824.975867153897
R_breakout_renewal,0,267,8076.447142478637,8076.447142478641,-3.1428575213592818,2.8820094393633617,63.670411985018724,444.5631401946566,-314.8152060139446,73,-3323.6160982472175,4,-186.8789361228484,1887,30.248865702167194,72.75201649240628,-44.24119238381885,27.34082397003745,-120.08801870595032,1875,10.702665677264685,1887,2,4291.395661230428
R_breakout_renewal,2,267,7668.864303796114,7668.864303796112,-2.9256962038874947,2.7230956110565705,63.29588014981273,464.8228725721974,-329.4914055726804,73,-3446.8022518479506,4,-187.92892790843007,1899,28.722338216464838,71.71299532471528,-45.41461128653847,27.34082397003745,-121.52227232513543,1887,10.771162737599179,1899,2,4450.63190608077
R_breakout_renewal,5,267,7494.723301056114,7494.72330105611,-2.9766989438898763,2.6125390175763523,63.29588014981273,507.46868419439215,-363.7413150444736,73,-3622.1576076727956,4,-189.50891558063873,1913,28.070124723056594,71.84911987148395,-47.42630568596611,27.34082397003745,-123.67293847656337,1901,10.851075974656087,1913,2,4647.777957224679
T_anchored_close_exit,0,266,4331.754689080882,4331.754689080886,-10.405310919114129,1.937391184685281,48.87218045112782,538.9767856340959,-477.5783583330217,8,-289.3026266553734,0,-122.10304620269393,1108,16.284792064213857,68.86791839008994,-33.97849045316771,3.007518796992481,-90.93406037154773,1108,6.324561904218277,1108,1,4621.074701630809
T_anchored_close_exit,2,263,4031.09062322618,4031.0906232261796,-10.169376773820431,1.8539466718839541,48.669201520912544,564.5409264850123,-499.9379115932211,7,-254.14131456053855,0,-123.6630555915756,1093,15.327340772723117,68.37212522908045,-34.96697337848976,2.661596958174905,-92.54048243458321,1093,6.238940578800159,1093,1,4720.5414060961175
T_anchored_close_exit,5,260,3553.5939629016757,3553.5939629016766,-10.166037098323935,1.71757265574052,48.07692307692308,636.8142080997955,-533.5072415265386,7,-270.8505065491638,0,-125.98306966786,1085,13.667669088083372,68.04669349041198,-36.68327943259128,2.6923076923076925,-95.92820134202996,1085,6.193275871910497,1085,1,4952.242723399822
