bar,side,decision_ts
381,S,2024-09-24 09:00:00
417,S,2024-09-25 21:00:00
562,S,2024-10-01 22:00:00
748,S,2024-10-09 16:00:00
890,S,2024-10-15 14:00:00
1084,S,2024-10-23 16:00:00
1471,L,2024-11-08 19:00:00
1584,S,2024-11-13 12:00:00
1618,S,2024-11-14 22:00:00
1876,L,2024-11-25 16:00:00
1900,S,2024-11-26 16:00:00
1927,L,2024-11-27 19:00:00
2070,S,2024-12-03 18:00:00
2083,L,2024-12-04 07:00:00
2094,L,2024-12-04 18:00:00
2118,L,2024-12-05 18:00:00
2128,S,2024-12-06 04:00:00
2241,S,2024-12-10 21:00:00
2259,L,2024-12-11 15:00:00
2279,L,2024-12-12 11:00:00
2579,L,2024-12-24 23:00:00
2598,L,2024-12-25 18:00:00
2621,S,2024-12-26 17:00:00
3754,S,2025-02-11 22:00:00
3939,L,2025-02-19 15:00:00
3967,L,2025-02-20 19:00:00
3972,S,2025-02-21 00:00:00
4113,S,2025-02-26 21:00:00
4134,L,2025-02-27 18:00:00
4139,S,2025-02-27 23:00:00
4240,S,2025-03-04 04:00:00
4275,L,2025-03-05 15:00:00
4634,S,2025-03-20 14:00:00
4786,S,2025-03-26 22:00:00
4824,S,2025-03-28 12:00:00
5336,L,2025-04-18 20:00:00
5442,L,2025-04-23 06:00:00
5471,S,2025-04-24 11:00:00
5493,L,2025-04-25 09:00:00
5495,S,2025-04-25 11:00:00
5666,S,2025-05-02 14:00:00
5790,L,2025-05-07 18:00:00
5835,L,2025-05-09 15:00:00
5974,S,2025-05-15 10:00:00
6105,S,2025-05-20 21:00:00
6647,S,2025-06-12 11:00:00
7305,L,2025-07-09 21:00:00
7346,L,2025-07-11 14:00:00
7438,S,2025-07-15 10:00:00
7638,S,2025-07-23 18:00:00
7679,S,2025-07-25 11:00:00
7779,L,2025-07-29 15:00:00
8646,L,2025-09-03 18:00:00
8666,S,2025-09-04 14:00:00
8692,L,2025-09-05 16:00:00
8962,S,2025-09-16 22:00:00
8975,L,2025-09-17 11:00:00
9024,S,2025-09-19 12:00:00
9155,L,2025-09-24 23:00:00
9317,L,2025-10-01 17:00:00
9332,L,2025-10-02 08:00:00
9346,L,2025-10-02 22:00:00
9459,S,2025-10-07 15:00:00
9480,S,2025-10-08 12:00:00
9503,S,2025-10-09 11:00:00
9970,L,2025-10-28 22:00:00
10017,S,2025-10-30 21:00:00
10161,L,2025-11-05 21:00:00
10179,S,2025-11-06 15:00:00
10206,S,2025-11-07 18:00:00
10662,S,2025-11-26 18:00:00
10677,L,2025-11-27 09:00:00
11190,L,2025-12-18 18:00:00
11214,L,2025-12-19 18:00:00
11307,S,2025-12-23 15:00:00
11334,S,2025-12-24 18:00:00
11347,L,2025-12-25 07:00:00
11357,S,2025-12-25 17:00:00
11386,L,2025-12-26 22:00:00
11810,L,2026-01-13 14:00:00
11892,S,2026-01-17 00:00:00
11971,S,2026-01-20 07:00:00
12203,S,2026-01-29 23:00:00
12318,S,2026-02-03 18:00:00
12557,L,2026-02-13 17:00:00
12629,L,2026-02-16 17:00:00
13157,L,2026-03-10 17:00:00
13538,S,2026-03-26 14:00:00
13850,L,2026-04-08 14:00:00
13882,S,2026-04-09 22:00:00
13995,L,2026-04-14 15:00:00
14183,L,2026-04-22 11:00:00
14193,L,2026-04-22 21:00:00
14496,L,2026-05-05 12:00:00
14836,L,2026-05-19 16:00:00
14840,S,2026-05-19 20:00:00
14907,S,2026-05-22 15:00:00
14983,L,2026-05-25 19:00:00
15034,S,2026-05-27 22:00:00
15178,S,2026-06-02 22:00:00
15208,S,2026-06-04 04:00:00
15333,S,2026-06-09 09:00:00
15487,L,2026-06-15 19:00:00
15674,S,2026-06-23 14:00:00
15692,L,2026-06-24 08:00:00
15723,L,2026-06-25 15:00:00
15730,S,2026-06-25 22:00:00
16183,L,2026-07-14 19:00:00
16195,L,2026-07-15 07:00:00
16228,S,2026-07-16 16:00:00
16250,S,2026-07-17 14:00:00
16341,L,2026-07-21 09:00:00
16371,S,2026-07-22 15:00:00
16396,S,2026-07-23 16:00:00
16420,L,2026-07-24 16:00:00
16426,S,2026-07-24 22:00:00
16548,S,2026-07-30 00:00:00
16567,L,2026-07-30 19:00:00
16874,L,2026-08-12 14:00:00
17071,L,2026-08-20 19:00:00
17086,L,2026-08-21 10:00:00
17201,S,2026-08-26 05:00:00
17255,S,2026-08-28 11:00:00
