side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.5229366090345393,4.0,2626.5045940000005,381,391,2024-09-24 09:00:00,2024-09-24 19:00:00,2626.5,2646.78,-0.772,-34.88,MH,10,0.714,-1.55,33.3,MILD_UP,0.19306100143832453,0.19306100143832453,0.19306100143832453,-34.68693899856168
L,200.0,1.5058760340727433,4.0,2656.261146,555,562,2024-10-01 15:00:00,2024-10-01 22:00:00,2656.26,2579.2,-2.901,-120.04,MH,7,0.025,-3.429,8.1,MILD_UP,-0.3982725876155251,-0.3982725876155251,-0.3982725876155251,-120.43827258761553
S,200.0,1.6431740430556947,4.0,2434.3130400000005,748,759,2024-10-09 16:00:00,2024-10-10 03:00:00,2434.31,2414.72,0.805,28.19,BE,11,1.081,-1.533,19.2,DOWN,0.4042766825091648,0.4042766825091648,0.5499127478319255,28.594276682509165
S,200.0,1.5419124214868796,4.0,2594.18106,890,900,2024-10-15 14:00:00,2024-10-16 00:00:00,2594.18,2573.09,0.813,28.51,TP,10,2.218,-3.646,6.1,MILD_UP,0.7999102421941204,0.40324093646724873,0.7999102421941204,29.30991024219412
S,200.0,1.516695538786282,4.0,2637.312432,1053,1063,2024-10-22 09:00:00,2024-10-22 19:00:00,2637.31,2632.99,0.164,2.56,MHx,10,0.922,-0.845,34.3,UP,0.40141002010944143,0.40141002010944143,0.40141002010944143,2.9614100201094415
S,200.0,1.5375274432312387,4.0,2601.57958,1084,1092,2024-10-23 16:00:00,2024-10-24 00:00:00,2601.58,2540.04,2.366,90.62,TP,8,2.79,-0.341,27.3,MILD_UP,0.3904696052065415,0.0,0.7905583234228799,91.01046960520655
S,200.0,1.5170521079136388,4.0,2636.692556,1277,1283,2024-10-31 17:00:00,2024-10-31 23:00:00,2636.69,2556.56,3.039,117.56,TP,6,3.634,-0.467,10.1,DOWN,0.0,0.0,0.0,117.56
S,200.0,1.5992773351902583,4.0,2501.1296740000003,1294,1304,2024-11-01 10:00:00,2024-11-01 20:00:00,2501.13,2516.34,-0.608,-28.33,MH,10,1.353,-1.005,32.3,DOWN,0.40049544888810906,0.40049544888810906,0.40049544888810906,-27.92950455111189
L,200.0,1.6374595302695822,4.0,2442.808464,1396,1402,2024-11-05 16:00:00,2024-11-05 22:00:00,2442.81,2440.7,-0.086,-7.45,MH,6,0.195,-0.558,9.1,SIDE,0.0,-0.3999351426498086,0.0,-7.45
L,200.0,1.4867357244706185,4.0,2690.457984,1433,1436,2024-11-07 05:00:00,2024-11-07 08:00:00,2690.46,2721.95,1.17,42.81,MFE,3,2.065,-0.291,21.2,SIDE,-0.40477838563859914,-0.40477838563859914,0.0,42.4052216143614
L,200.0,1.3673460863747504,4.0,2925.374958,1471,1475,2024-11-08 19:00:00,2024-11-08 23:00:00,2925.37,2912.88,-0.427,-21.09,MFE,4,1.115,-0.585,2.0,MILD_UP,0.0,0.0,0.0,-21.09
S,200.0,1.2461183887273777,4.0,3209.9678780000004,1584,1586,2024-11-13 12:00:00,2024-11-13 14:00:00,3209.97,3144.49,2.04,77.59,TP,2,2.33,-0.73,4.0,UP,0.0,0.0,0.0,77.59
S,200.0,1.28213514848386,4.0,3119.795916,1732,1742,2024-11-19 16:00:00,2024-11-20 02:00:00,3119.8,3120.72,-0.03,-5.19,MH,10,1.373,-1.049,33.3,MILD_UP,0.611496843949327,0.611496843949327,1.4610267499305232,-4.578503156050673
L,200.0,1.2695833219475514,4.0,3150.640002,1784,1785,2024-11-21 20:00:00,2024-11-21 21:00:00,3150.64,3287.39,4.34,169.62,TP,1,5.407,-0.067,6.1,DOWN,0.0,0.0,0.0,169.62
L,200.0,1.1756647979562878,4.0,3402.3303300000002,1876,1879,2024-11-25 16:00:00,2024-11-25 19:00:00,3402.33,3503.87,2.984,115.38,TP,3,3.809,-0.103,22.2,MILD_UP,0.0,-0.9572113722420361,0.0,115.38
S,200.0,1.1777520503600276,4.0,3396.300604,1900,1903,2024-11-26 16:00:00,2024-11-26 19:00:00,3396.3,3320.76,2.224,84.96,TP,3,2.335,-0.104,29.3,MILD_UP,0.0,0.0,0.49089962473769294,84.96
L,200.0,1.1565167309051283,4.0,3458.6615939999997,1927,1935,2024-11-27 19:00:00,2024-11-28 03:00:00,3458.66,3587.26,3.718,144.73,TP,8,3.981,-0.615,24.2,MILD_UP,-0.6456337979621374,-0.6456337979621374,-0.6456337979621374,144.08436620203784
S,200.0,1.1073316044051928,4.0,3612.2873980000004,2070,2074,2024-12-03 18:00:00,2024-12-03 22:00:00,3612.29,3548.92,1.754,66.17,TP,4,2.001,-0.253,15.2,UP,0.0,0.0,0.0,66.17
L,200.0,1.100065510991304,4.0,3636.147084,2083,2087,2024-12-04 07:00:00,2024-12-04 11:00:00,3636.15,3650.3,0.389,11.57,MFE,4,2.081,-0.612,11.1,MILD_UP,-0.7452910888708334,-0.7452910888708334,-0.7452910888708334,10.824708911129166
L,200.0,1.072536804747999,4.0,3729.475746,2094,2100,2024-12-04 18:00:00,2024-12-05 00:00:00,3729.48,3823.63,2.524,96.98,MFE,6,3.451,-1.046,1.0,MILD_UP,-0.813859794403072,-0.813859794403072,0.0,96.16614020559693
L,200.0,1.0190758598816634,4.0,3925.124868,2118,2125,2024-12-05 18:00:00,2024-12-06 01:00:00,3925.12,3903.77,-0.544,-25.76,MH,7,0.889,-1.599,22.2,MILD_UP,-1.2360473093616753,-1.2360473093616753,-1.2360473093616753,-26.99604730936168
S,200.0,1.0450974254033287,4.0,3827.3943679999998,2129,2131,2024-12-06 05:00:00,2024-12-06 07:00:00,3827.39,3806.52,0.545,17.81,TP,2,5.549,-0.972,16.2,UP,0.0,0.0,0.0,17.81
S,200.0,1.0880639218578256,4.0,3676.254602,2241,2244,2024-12-10 21:00:00,2024-12-11 00:00:00,3676.25,3568.79,2.923,112.92,TP,3,3.313,-1.529,6.1,MILD_UP,0.38807807745520234,0.0,0.38807807745520234,113.3080780774552
L,200.0,1.0882888025253368,4.0,3675.494952,2259,2268,2024-12-11 15:00:00,2024-12-12 00:00:00,3675.49,3785.99,3.006,116.25,TP,9,3.932,-0.688,24.2,MILD_UP,-0.8095159557960945,-0.8095159557960945,-0.39746157159189593,115.4404840442039
L,200.0,1.030891734710882,4.0,3880.135872,2279,2281,2024-12-12 11:00:00,2024-12-12 13:00:00,3880.14,3906.96,0.691,23.65,MFE,2,1.739,-0.826,22.2,MILD_UP,0.0,0.0,0.0,23.65
L,200.0,1.1447611436069496,4.0,3494.178696,2598,2599,2024-12-25 18:00:00,2024-12-25 19:00:00,3494.18,3512.39,0.521,16.84,MFE,1,1.512,-0.111,17.2,DOWN,0.0,0.0,0.0,16.84
S,200.0,1.1888461465411515,4.0,3364.606944,2621,2633,2024-12-26 17:00:00,2024-12-27 05:00:00,3364.61,3329.47,1.044,37.78,MHx,12,1.772,-0.542,32.3,DOWN,0.2505381511640036,0.2505381511640036,0.2505381511640036,38.030538151164
S,200.0,1.093069999872138,4.0,3659.41797,2910,2915,2025-01-07 18:00:00,2025-01-07 23:00:00,3659.42,3568.66,2.48,95.2,TP,5,4.356,-0.15,6.1,MILD_UP,0.0,0.0,0.0,95.2
S,200.0,1.209577990093121,4.0,3306.93848,2931,2941,2025-01-08 15:00:00,2025-01-09 01:00:00,3306.94,3313.83,-0.208,-12.34,MH,10,0.013,-2.358,23.2,MILD_UP,0.8103570053822109,0.8103570053822109,0.8103570053822109,-11.529642994617788
L,200.0,1.2744383096191554,4.0,3138.6376020000002,3070,3078,2025-01-14 10:00:00,2025-01-14 18:00:00,3138.64,3241.87,3.289,127.57,MHx,8,3.734,-0.264,22.2,DOWN,-0.30109556152574246,-0.30109556152574246,-0.30109556152574246,127.26890443847425
L,200.0,1.174197762696499,4.0,3406.58118,3149,3156,2025-01-17 17:00:00,2025-01-18 00:00:00,3406.58,3419.76,0.387,11.47,MFE,7,1.275,-0.487,8.1,DOWN,-0.40162729954376136,-0.40162729954376136,0.0,11.068372700456239
S,200.0,1.2171955824734573,4.0,3286.24262,3268,3279,2025-01-22 16:00:00,2025-01-23 03:00:00,3286.24,3249.57,1.116,40.64,BE,11,1.498,-1.384,18.2,MILD_UP,0.3989322005689282,0.3989322005689282,0.7990146509632938,41.03893220056893
L,200.0,1.2491762096686856,4.0,3202.1102939999996,3408,3414,2025-01-28 12:00:00,2025-01-28 18:00:00,3202.11,3195.07,-0.22,-12.79,MH,6,0.621,-0.632,6.1,DOWN,-0.16146351348193008,-0.16146351348193008,-0.16146351348193008,-12.95146351348193
L,200.0,1.2496328969059172,4.0,3200.94006,3456,3464,2025-01-30 12:00:00,2025-01-30 20:00:00,3200.94,3220.52,0.612,20.46,MHx,8,0.876,-0.748,23.2,DOWN,-0.39859659922029284,-0.39859659922029284,-0.39859659922029284,20.061403400779707
L,200.0,1.4204731689877128,4.0,2815.96308,3570,3571,2025-02-04 06:00:00,2025-02-04 07:00:00,2815.96,2867.29,1.823,68.9,MFE,1,3.671,-0.274,0.0,DOWN,0.0,0.0,0.0,68.9
L,200.0,1.4290104838768256,4.0,2799.1397159999997,3608,3611,2025-02-05 20:00:00,2025-02-05 23:00:00,2799.14,2785.2,-0.498,-23.92,MFE,3,1.03,-1.151,17.2,DOWN,0.0,0.0,0.0,-23.92
L,200.0,1.512963072522503,4.0,2643.8186579999997,3725,3731,2025-02-10 17:00:00,2025-02-10 23:00:00,2643.82,2648.95,0.194,3.76,MFE,6,1.582,-0.523,24.2,DOWN,0.0,0.0,0.0,3.76
L,200.0,1.45743446062974,4.0,2744.5488,3787,3793,2025-02-13 07:00:00,2025-02-13 13:00:00,2744.55,2720.14,-0.89,-39.58,MH,6,0.436,-1.176,21.2,DOWN,-0.38056988602279546,-0.38056988602279546,-0.38056988602279546,-39.960569886022796
S,200.0,1.5070630052480531,4.0,2654.1690599999997,3800,3810,2025-02-13 20:00:00,2025-02-14 06:00:00,2654.17,2666.13,-0.451,-22.03,MH,10,1.637,-0.891,0.0,DOWN,0.04096865023880446,0.04096865023880446,0.04096865023880446,-21.9890313497612
L,200.0,1.4909982216170896,4.0,2682.766446,3814,3817,2025-02-14 10:00:00,2025-02-14 13:00:00,2682.77,2697.85,0.562,18.49,MFE,3,1.414,-0.152,24.2,DOWN,0.0,0.0,0.0,18.49
L,200.0,1.4823986151509223,4.0,2698.329558,3939,3945,2025-02-19 15:00:00,2025-02-19 21:00:00,2698.33,2702.78,0.165,2.6,MFE,6,1.401,-0.074,21.2,SIDE,-0.291865107673066,-0.291865107673066,-0.291865107673066,2.308134892326934
L,200.0,1.4572432771094195,4.0,2744.908872,3967,3974,2025-02-20 19:00:00,2025-02-21 02:00:00,2744.91,2733.62,-0.411,-20.45,MH,7,0.932,-1.431,0.0,MILD_UP,-0.25302853332757197,-0.25302853332757197,-0.25302853332757197,-20.703028533327572
L,200.0,1.4516205721138757,4.0,2755.540998,3986,3990,2025-02-21 14:00:00,2025-02-21 18:00:00,2755.54,2780.16,0.894,31.74,MFE,4,2.734,-0.326,17.2,MILD_UP,-0.26489836461507804,-0.26489836461507804,-0.26489836461507804,31.47510163538492
S,200.0,1.6450996772269195,4.0,2431.46361,4113,4115,2025-02-26 21:00:00,2025-02-26 23:00:00,2431.46,2435.22,-0.154,-10.17,TP,2,2.598,-0.31,3.0,DOWN,0.0,0.0,0.0,-10.17
L,200.0,1.695761935237775,4.0,2358.82167,4134,4140,2025-02-27 18:00:00,2025-02-28 00:00:00,2358.82,2321.86,-1.567,-66.69,MH,6,0.959,-2.932,9.1,DOWN,-0.19799094078224797,-0.19799094078224797,0.0,-66.88799094078225
S,200.0,1.7741120837355357,4.0,2254.64898,4145,4150,2025-02-28 05:00:00,2025-02-28 10:00:00,2254.65,2193.03,2.733,105.32,TP,5,3.444,-2.599,22.2,DOWN,0.16765971348675307,0.16765971348675307,0.16765971348675307,105.48765971348675
L,200.0,1.8264523931165542,4.0,2190.0379199999998,4275,4278,2025-03-05 15:00:00,2025-03-05 18:00:00,2190.04,2237.58,2.171,82.84,MFE,3,3.277,-0.127,1.0,DOWN,-0.28805317693987,-0.28805317693987,-0.28805317693987,82.55194682306013
L,200.0,1.9280687300973902,4.0,2074.6148399999997,4396,4398,2025-03-10 16:00:00,2025-03-10 18:00:00,2074.61,2100.56,1.251,46.02,MFE,2,3.778,-1.343,19.2,DOWN,0.0,-0.10298936243756455,0.0,46.02
L,200.0,2.087080039854505,4.0,1916.553234,4422,4426,2025-03-11 18:00:00,2025-03-11 22:00:00,1916.55,1902.11,-0.754,-34.15,MFE,4,2.777,-2.692,10.1,DOWN,0.0,0.0,0.0,-34.15
L,200.0,2.1106074804165096,4.0,1895.188962,4490,4497,2025-03-14 14:00:00,2025-03-14 21:00:00,1895.19,1901.42,0.329,9.15,BE,7,0.687,-0.413,23.2,DOWN,-0.3067440940488129,-0.3067440940488129,-0.3067440940488129,8.843255905951187
S,200.0,2.108469694191804,4.0,1897.110502,4587,4599,2025-03-18 15:00:00,2025-03-19 03:00:00,1897.11,1889.84,0.383,11.33,MHx,12,1.369,-0.801,24.2,DOWN,0.22263961540444394,0.22263961540444394,0.22263961540444394,11.552639615404445
L,200.0,2.0270873849235667,4.0,1973.274576,4615,4617,2025-03-19 19:00:00,2025-03-19 21:00:00,1973.27,2002.71,1.492,55.67,MFE,2,3.013,-0.029,20.2,DOWN,0.0,0.0,0.0,55.67
S,200.0,1.984415612259255,4.0,2015.706778,4634,4639,2025-03-20 14:00:00,2025-03-20 19:00:00,2015.71,1982.11,1.667,62.68,TP,5,2.252,-0.291,26.3,DOWN,0.061835341211518215,0.061835341211518215,0.061835341211518215,62.74183534121152
S,200.0,2.0013807565867308,4.0,1998.620196,4824,4825,2025-03-28 12:00:00,2025-03-28 13:00:00,1998.62,1936.7,3.098,119.93,TP,1,5.1,-0.263,25.3,MILD_UP,0.0,0.0,0.0,119.93
L,200.0,2.153813097785441,4.0,1857.1713599999998,4923,4927,2025-04-01 15:00:00,2025-04-01 19:00:00,1857.17,1872.12,0.805,28.19,MFE,4,1.844,-0.308,4.0,DOWN,-0.11484590807303276,-0.11484590807303276,-0.11484590807303276,28.07515409192697
S,200.0,2.1566725747849187,4.0,1854.7089839999999,4946,4956,2025-04-02 14:00:00,2025-04-03 00:00:00,1854.71,1900.47,-2.467,-102.69,MH,10,0.217,-3.412,24.2,DOWN,0.17284290579572567,-0.0018093177037212219,0.17284290579572567,-102.51715709420428
S,200.0,2.232103593543819,4.0,1792.0315220000002,4975,4977,2025-04-03 19:00:00,2025-04-03 21:00:00,1792.03,1758.92,1.848,69.9,TP,2,2.487,-0.546,4.0,DOWN,0.0,0.0,0.0,69.9
L,200.0,2.201136101431028,4.0,1817.2433760000001,4996,5002,2025-04-04 16:00:00,2025-04-04 22:00:00,1817.24,1800.97,-0.896,-39.82,MH,6,0.961,-3.286,10.1,DOWN,0.0,0.0,0.08370279865034434,-39.82
L,200.0,2.546904357330824,4.0,1570.534044,5081,5087,2025-04-08 05:00:00,2025-04-08 11:00:00,1570.53,1588.63,1.152,42.09,MFE,6,3.022,-1.932,15.2,DOWN,0.017318152958166633,0.017318152958166633,0.017318152958166633,42.10731815295817
L,200.0,2.692284496723512,4.0,1485.727086,5119,5123,2025-04-09 19:00:00,2025-04-09 23:00:00,1485.73,1470.06,-1.055,-46.19,MFE,4,1.03,-3.143,23.2,DOWN,0.0,0.0,0.0,-46.19
S,200.0,2.513065427155783,4.0,1591.6816000000001,5141,5146,2025-04-10 17:00:00,2025-04-10 22:00:00,1591.68,1568.55,1.453,54.12,TP,5,2.305,-2.257,17.2,DOWN,0.0,0.0,0.0,54.12
L,200.0,2.5768208300105067,4.0,1552.300398,5164,5165,2025-04-11 16:00:00,2025-04-11 17:00:00,1552.3,1550.48,-0.117,-8.69,MFE,1,1.29,-1.02,6.1,DOWN,0.0,0.0,0.23423315336932612,-8.69
L,200.0,2.442155242199116,4.0,1637.897514,5237,5240,2025-04-14 17:00:00,2025-04-14 20:00:00,1637.9,1674.3,2.222,84.89,MFE,3,3.277,-0.446,9.1,DOWN,0.0,0.0,0.0,84.89
L,200.0,2.427126229717612,4.0,1648.039542,5262,5267,2025-04-15 18:00:00,2025-04-15 23:00:00,1648.04,1619.25,-1.747,-73.89,MH,5,0.767,-2.914,0.0,DOWN,0.0,0.0,0.0,-73.89
