bar,side,decision_ts
417,S,2024-09-25 21:00:00
562,S,2024-10-01 22:00:00
1305,L,2024-11-01 21:00:00
1428,L,2024-11-07 00:00:00
1618,S,2024-11-14 22:00:00
2128,S,2024-12-06 04:00:00
2579,L,2024-12-24 23:00:00
3568,L,2025-02-04 04:00:00
3635,S,2025-02-06 23:00:00
3658,L,2025-02-07 22:00:00
3754,S,2025-02-11 22:00:00
3972,S,2025-02-21 00:00:00
4139,S,2025-02-27 23:00:00
4240,S,2025-03-04 04:00:00
4786,S,2025-03-26 22:00:00
5099,S,2025-04-08 23:00:00
5267,S,2025-04-15 23:00:00
5434,L,2025-04-22 22:00:00
5625,S,2025-04-30 21:00:00
6105,S,2025-05-20 21:00:00
6324,S,2025-05-30 00:00:00
6514,L,2025-06-06 22:00:00
7305,L,2025-07-09 21:00:00
7618,S,2025-07-22 22:00:00
8026,L,2025-08-08 22:00:00
8195,S,2025-08-15 23:00:00
8962,S,2025-09-16 22:00:00
9155,L,2025-09-24 23:00:00
9346,L,2025-10-02 22:00:00
9539,S,2025-10-10 23:00:00
9970,L,2025-10-28 22:00:00
9996,S,2025-10-30 00:00:00
10017,S,2025-10-30 21:00:00
10306,S,2025-11-11 22:00:00
10356,S,2025-11-14 00:00:00
10524,S,2025-11-21 00:00:00
10858,S,2025-12-04 22:00:00
10882,S,2025-12-05 22:00:00
11027,S,2025-12-11 23:00:00
11052,S,2025-12-13 00:00:00
11386,L,2025-12-26 22:00:00
11483,L,2025-12-30 23:00:00
11651,L,2026-01-06 23:00:00
11892,S,2026-01-17 00:00:00
12131,L,2026-01-26 23:00:00
12203,S,2026-01-29 23:00:00
12346,S,2026-02-04 22:00:00
12395,L,2026-02-06 23:00:00
12540,S,2026-02-13 00:00:00
12682,S,2026-02-18 22:00:00
12706,S,2026-02-19 22:00:00
12826,S,2026-02-24 22:00:00
12875,S,2026-02-26 23:00:00
12971,L,2026-03-02 23:00:00
13713,S,2026-04-02 21:00:00
13737,S,2026-04-03 21:00:00
13882,S,2026-04-09 22:00:00
14193,L,2026-04-22 21:00:00
15034,S,2026-05-27 22:00:00
15178,S,2026-06-02 22:00:00
15564,S,2026-06-19 00:00:00
15730,S,2026-06-25 22:00:00
16043,S,2026-07-08 23:00:00
16426,S,2026-07-24 22:00:00
16548,S,2026-07-30 00:00:00
