bar,decision_ts,daily_debit,L_month_debit,S_month_debit
0,2024-09-08 12:00:00,0.0,0.0,0.0
1,2024-09-08 13:00:00,0.0,0.0,0.0
2,2024-09-08 14:00:00,0.0,0.0,0.0
3,2024-09-08 15:00:00,0.0,0.0,0.0
4,2024-09-08 16:00:00,0.0,0.0,0.0
5,2024-09-08 17:00:00,0.0,0.0,0.0
6,2024-09-08 18:00:00,0.0,0.0,0.0
7,2024-09-08 19:00:00,0.0,0.0,0.0
8,2024-09-08 20:00:00,0.0,0.0,0.0
9,2024-09-08 21:00:00,0.0,0.0,0.0
10,2024-09-08 22:00:00,0.0,0.0,0.0
11,2024-09-08 23:00:00,0.0,0.0,0.0
12,2024-09-09 00:00:00,0.0,0.0,0.0
13,2024-09-09 01:00:00,0.0,0.0,0.0
14,2024-09-09 02:00:00,0.0,0.0,0.0
15,2024-09-09 03:00:00,0.0,0.0,0.0
16,2024-09-09 04:00:00,0.0,0.0,0.0
17,2024-09-09 05:00:00,0.0,0.0,0.0
18,2024-09-09 06:00:00,0.0,0.0,0.0
19,2024-09-09 07:00:00,0.0,0.0,0.0
20,2024-09-09 08:00:00,0.0,0.0,0.0
21,2024-09-09 09:00:00,0.0,0.0,0.0
22,2024-09-09 10:00:00,0.0,0.0,0.0
23,2024-09-09 11:00:00,0.0,0.0,0.0
24,2024-09-09 12:00:00,0.0,0.0,0.0
25,2024-09-09 13:00:00,0.0,0.0,0.0
26,2024-09-09 14:00:00,0.0,0.0,0.0
27,2024-09-09 15:00:00,0.0,0.0,0.0
28,2024-09-09 16:00:00,0.0,0.0,0.0
29,2024-09-09 17:00:00,0.0,0.0,0.0
30,2024-09-09 18:00:00,0.0,0.0,0.0
31,2024-09-09 19:00:00,0.0,0.0,0.0
32,2024-09-09 20:00:00,0.0,0.0,0.0
33,2024-09-09 21:00:00,0.0,0.0,0.0
34,2024-09-09 22:00:00,0.0,0.0,0.0
35,2024-09-09 23:00:00,0.0,0.0,0.0
36,2024-09-10 00:00:00,0.0,0.0,0.0
37,2024-09-10 01:00:00,0.0,0.0,0.0
38,2024-09-10 02:00:00,0.0,0.0,0.0
39,2024-09-10 03:00:00,0.0,0.0,0.0
40,2024-09-10 04:00:00,0.0,0.0,0.0
41,2024-09-10 05:00:00,0.0,0.0,0.0
42,2024-09-10 06:00:00,0.0,0.0,0.0
