case,family,n,pnl,delta,wr,mdd,mh_n,mh_pnl,d_discover,d_validate,d_holdout,folds_better,worst_fold_delta
BASELINE,baseline,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
L_DEFAULT=4,mh_parameter,269,7095.47,-956.5,59.48,299.61,84,-3489.18,-515.43,-304.52,-136.55,1,-367.71
L_DEFAULT=5,mh_parameter,281,7521.59,-530.38,60.85,311.1,80,-3623.84,-179.99,-292.38,-58.01,1,-311.38
L_DEFAULT=6,mh_parameter,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
L_DEFAULT=7,mh_parameter,278,7708.38,-343.59,63.31,304.56,74,-3586.6,-210.88,11.08,-143.79,1,-125.47
L_DEFAULT=8,mh_parameter,270,7507.84,-544.13,62.96,316.45,72,-3526.29,-436.4,41.69,-149.42,2,-330.43
L_DEFAULT=9,mh_parameter,267,7522.09,-529.88,62.55,328.45,71,-3447.66,-613.42,154.37,-70.83,3,-502.88
L_MILD_UP=5,mh_parameter,277,7665.39,-386.58,62.82,394.47,79,-3614.0,-58.4,-387.62,59.44,3,-262.62
L_MILD_UP=6,mh_parameter,276,7935.57,-116.4,63.41,372.59,79,-3556.21,44.79,-254.6,93.41,3,-168.56
L_MILD_UP=7,mh_parameter,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
L_MILD_UP=8,mh_parameter,278,7989.75,-62.22,62.95,328.07,79,-3443.74,-15.13,-5.87,-41.22,2,-41.22
L_MILD_UP=9,mh_parameter,278,7890.91,-161.06,63.31,352.46,76,-3368.76,-47.19,-78.42,-35.45,0,-56.06
L_CONDITIONAL=3,mh_parameter,280,7907.79,-144.18,62.14,348.2,86,-3853.4,51.52,-179.02,-16.68,3,-160.92
L_CONDITIONAL=4,mh_parameter,281,7927.45,-124.52,62.63,331.21,82,-3678.86,-39.79,-69.86,-14.87,1,-68.75
L_CONDITIONAL=5,mh_parameter,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
L_CONDITIONAL=6,mh_parameter,278,7978.68,-73.29,63.67,326.56,78,-3622.62,0.57,-75.3,1.44,3,-78.84
S_DEFAULT=6,mh_parameter,279,7230.77,-821.2,59.5,309.82,80,-3461.07,-51.81,-483.81,-285.58,2,-649.17
S_DEFAULT=7,mh_parameter,279,7549.35,-502.62,60.93,307.07,86,-3749.87,66.75,-465.65,-103.72,2,-524.18
S_DEFAULT=8,mh_parameter,279,7656.98,-394.99,62.01,320.37,77,-3682.11,57.65,-441.19,-11.45,1,-378.5
S_DEFAULT=9,mh_parameter,278,7621.73,-430.24,62.59,321.61,75,-3702.85,-42.94,-323.59,-63.71,1,-227.17
S_DEFAULT=10,mh_parameter,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
S_DEFAULT=11,mh_parameter,278,8269.35,217.38,64.03,340.89,74,-3653.78,78.05,-124.43,263.76,3,-52.76
