window,case,slip_bps,trades,pnl,pf,mdd,overlay_trades,overlay_pnl,threshold,delta_pnl,delta_mdd,data_sha256
IS,baseline,0.0,396,2191.59,1.205,1071.67,0,0.0,,,,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<35,0.0,442,2232.74,1.196,1116.28,57,-10.81,35.0,41.15,44.61,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<35,2.0,437,1315.52,1.111,1270.12,56,-102.02,35.0,-10.47,56.16,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<35,5.0,429,264.72,1.022,1541.29,54,-212.22,35.0,-104.07,-118.82,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<40,0.0,454,2465.21,1.214,1100.64,70,437.72,40.0,273.62,28.97,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<40,2.0,450,1550.16,1.128,1275.2,69,290.8,40.0,224.17,61.24,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<40,5.0,438,451.46,1.037,1520.32,69,94.14,40.0,82.67,-139.79,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<45,0.0,467,2969.91,1.255,938.83,88,768.37,45.0,778.32,-132.84,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<45,2.0,463,2035.3,1.167,1115.07,87,593.82,45.0,709.31,-98.89,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,TBR<45,5.0,452,702.2,1.056,1432.07,86,202.87,45.0,333.41,-228.04,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.75,0.0,510,1407.73,1.107,1436.44,189,-380.08,0.75,-783.86,364.77,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.75,2.0,499,814.07,1.061,1514.58,181,-278.11,0.75,-511.92,300.62,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.75,5.0,456,-456.18,0.965,1860.51,154,-919.84,0.75,-824.97,200.4,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.80,0.0,509,1362.09,1.103,1549.68,168,-297.59,0.8,-829.5,478.01,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.80,2.0,490,220.25,1.017,1623.06,157,-539.9,0.8,-1105.74,409.1,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.80,5.0,453,-1038.4,0.92,2413.9,135,-888.83,0.8,-1407.19,753.79,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.85,0.0,479,1442.0,1.115,1538.9,133,-220.21,0.85,-749.59,467.23,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.85,2.0,469,317.44,1.024,1442.2,125,-107.46,0.85,-1008.55,228.24,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
IS,CLV>=0.85,5.0,459,-961.06,0.928,2019.52,122,-370.1,0.85,-1329.85,359.41,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,baseline,0.0,275,8047.92,2.944,330.1,0,0.0,,,,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<35,0.0,315,8046.13,2.655,276.3,52,17.72,35.0,-1.79,-53.8,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<35,2.0,305,7514.08,2.537,281.35,51,-94.85,35.0,-181.98,-74.02,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<35,5.0,308,7097.39,2.384,344.87,51,-58.62,35.0,42.98,-48.83,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<40,0.0,322,7884.89,2.523,317.26,65,42.38,40.0,-163.03,-12.84,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<40,2.0,314,7305.61,2.393,343.84,64,-91.02,40.0,-390.45,-11.53,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<40,5.0,317,6859.37,2.248,397.05,64,-86.03,40.0,-195.04,3.35,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<45,0.0,322,7050.8,2.281,390.28,79,-227.58,45.0,-997.12,60.18,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<45,2.0,315,6546.75,2.174,431.86,75,-429.23,45.0,-1149.31,76.49,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
OOS,TBR<45,5.0,314,6375.55,2.144,394.12,75,-99.67,45.0,-678.86,0.42,6a15df708f3644306c490f7a8757844dad635463d33f1d2184423406501014ee
